Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ABLG2609_1-renamed	2.921535149942746	3.698461024318243
ABLG2609_2-renamed	2.733602327643038	3.7890956680722154
ABLG2611_1-renamed	3.390116325993168	2.3371253274186903
ABLG2611_2-renamed	3.068950857650963	2.810720844721271
ABLG2612_1-renamed	2.7006610827284216	3.2218063781691377
ABLG2612_2-renamed	2.4732286942582156	3.3421204569356164
ABLG2620_1-renamed	2.243208707432256	2.782817221483059
ABLG2620_2-renamed	1.9511236097050528	2.9090963392475304
ABLG2622_1-renamed	1.9004737117027333	2.588831239206465
ABLG2622_2-renamed	1.7390730366309437	2.5729905516761393
ABLG2625_1-renamed	2.727022397550316	3.520691098623063
ABLG2625_2-renamed	2.584626320026232	3.4798637802190355
ABLG2920_1-renamed	3.390264252652173	3.620011283429723
ABLG2920_2-renamed	3.2359353439707057	3.5841254371779847
ABLG2923_1-renamed	3.341164720169794	3.75696930002891
ABLG2923_2-renamed	3.1545467109176744	3.9369776989075445
ABLG2924_1-renamed	2.7888345638333427	2.9414776646823904
ABLG2924_2-renamed	2.565209731971798	2.922159921280196
ABLG2926_1-renamed	3.7451822943016246	4.3549289277280785
ABLG2926_2-renamed	3.640306266293556	4.118692629344973
ABLG2928_1-renamed	3.793801846671302	4.06096885561359
ABLG2928_2-renamed	3.6511603345676815	4.277363015636874
ABLG2929_1-renamed	5.238679322485399	5.340631499142616
ABLG2929_2-renamed	4.863651456419354	5.391401825380179
ABLG2930_1-renamed	4.927786360581264	4.54888761074719
ABLG2930_2-renamed	4.560440079226448	4.509675866774331
ABLG2931_1-renamed	5.4281979362660175	5.838594231174112
ABLG2931_2-renamed	5.033596103621412	6.10494113438003
ABLG2935_1-renamed	4.110255173930768	4.125862651285879
ABLG2935_2-renamed	3.843086376565976	4.1043607499829875
ABLG2937_1-renamed	3.886538076394619	3.9960469220660317
ABLG2937_2-renamed	3.6434925821163313	4.1458779903169765
GM100_R1	0.0	0.0
GM100_R2	0.2071039587504803	0.0
GM101_R1	0.0	0.0
GM101_R2	0.0	0.0
GM102_R1	0.0	0.0
GM102_R2	0.0	0.0
GM103_R1	0.0	0.0
GM103_R2	0.0	0.0
GM104_R1	0.0	0.0
GM104_R2	0.14411314632145888	0.0
GM105_R1	0.10703172934647738	0.0
GM105_R2	0.10227577658022988	0.0
GM106_R1	0.24860399961257582	0.0
GM106_R2	0.11076567720427022	0.0
GM107_R1	0.0	0.0
GM107_R2	0.12929816384883808	0.0
GM108_R1	0.0	0.0
GM108_R2	0.13561062762446616	0.0
GM109_R1	0.0	0.0
GM109_R2	0.10691264653464524	0.0
GM10_R1	0.1079682752277687	0.0
GM10_R2	0.10988947317702712	0.0
GM110_R1	0.0	0.0
GM110_R2	0.0	0.0
GM111_R1	0.1270536055378474	0.0
GM111_R2	0.13197085716440154	0.0
GM112_R1	0.0	0.0
GM112_R2	0.0	0.0
GM113_R1	0.0	0.0
GM113_R2	0.11352624583308517	0.0
GM114_R1	0.0	0.0
GM114_R2	0.224580291255486	0.0
GM115_R1	0.0	0.0
GM115_R2	0.12358404971805301	0.0
GM116_R1	0.0	0.0
GM116_R2	0.0	0.0
GM117_R1	0.0	0.0
GM117_R2	0.0	0.0
GM118_R1	0.0	0.0
GM118_R2	0.10774036388689164	0.0
GM119_R1	0.10169586800658824	0.0
GM119_R2	0.0	0.0
GM11_R1	0.0	0.0
GM11_R2	0.0	0.0
GM120_R1	0.10530753139739277	0.0
GM120_R2	0.11058682701408608	0.0
GM121_R1	0.11478672079019679	0.0
GM121_R2	0.1179316910580234	0.0
GM122_R1	0.0	0.0
GM122_R2	0.0	0.0
GM123_R1	0.0	0.0
GM123_R2	0.0	0.0
GM124_R1	0.0	0.0
GM124_R2	0.0	0.0
GM125_R1	0.0	0.0
GM125_R2	0.21047330303648362	0.0
GM126_R1	0.10423134154928357	0.0
GM126_R2	0.0	0.0
GM127_R1	0.10084406593290976	0.0
GM127_R2	0.0	0.0
GM128_R1	0.0	0.0
GM128_R2	0.11536454023764495	0.0
GM129_R1	0.0	0.0
GM129_R2	0.0	0.0
GM12_R1	0.11297541969182322	0.0
GM12_R2	0.1028801453719502	0.0
GM130_R1	0.0	0.0
GM130_R2	0.0	0.0
GM131_R1	0.0	0.0
GM131_R2	0.0	0.0
GM132_R1	0.0	0.0
GM132_R2	0.46368354328203715	0.0
GM133_R1	0.0	0.0
GM133_R2	0.0	0.0
GM134_R1	0.0	0.0
GM134_R2	0.0	0.0
GM135_R1	0.10473961539475282	0.0
GM135_R2	0.14608614513136914	0.0
GM136_R1	0.10201588546549817	0.0
GM136_R2	0.15376276993515445	0.0
GM137_R1	0.0	0.0
GM137_R2	0.0	0.0
GM138_R1	0.0	0.0
GM138_R2	0.12285502978390207	0.0
GM139_R1	0.0	0.0
GM139_R2	0.0	0.0
GM13_R1	0.10072968821077936	0.0
GM13_R2	0.10028917937020744	0.0
GM140_R1	0.0	0.0
GM140_R2	0.0	0.0
GM141_R1	0.10067328864114956	0.0
GM141_R2	0.12347607670526489	0.0
GM142_R1	0.0	0.0
GM142_R2	0.0	0.0
GM143_R1	0.0	0.0
GM143_R2	0.0	0.0
GM144_R1	0.0	0.0
GM144_R2	0.15630127229939653	0.0
GM145_R1	0.0	0.0
GM145_R2	0.0	0.0
GM146_R1	0.0	0.0
GM146_R2	0.11235213298518183	0.0
GM147_R1	0.0	0.0
GM147_R2	0.10565704591586526	0.0
GM148_R1	0.0	0.0
GM148_R2	0.0	0.0
GM149_R1	0.0	0.0
GM149_R2	0.1255505032630032	0.0
GM14_R1	0.11066797309693818	0.0
GM14_R2	0.10137405016219178	0.0
GM150_R1	0.0	0.0
GM150_R2	0.10069412275306641	0.0
GM151_R1	0.0	0.0
GM151_R2	0.12454330657650753	0.0
GM152_R1	0.0	0.0
GM152_R2	0.0	0.0
GM153_R1	0.0	0.0
GM153_R2	0.0	0.0
GM154_R1	0.0	0.0
GM154_R2	0.0	0.0
GM155_R1	0.10748702298134932	0.0
GM155_R2	0.16297666542571407	0.0
GM156_R1	0.0	0.0
GM156_R2	0.0	0.0
GM15_R1	0.1083831666836656	0.0
GM15_R2	0.17190607049414766	0.10182471922249606
GM160_R1	0.0	0.0
GM160_R2	0.0	0.0
GM16_R1	0.1103206682698776	0.0
GM16_R2	0.10804887782386707	0.0
GM17_R1	0.11336847708105702	0.0
GM17_R2	0.10129696706912235	0.0
GM18_R1	0.10869340344031332	0.0
GM18_R2	0.10314998681780832	0.0
GM19_R1	0.10326539235592093	0.0
GM19_R2	0.10348360757365509	0.0
GM1_R1	0.11303661391904231	0.0
GM1_R2	0.10436268615249364	0.0
GM20_R1	0.1088888989356754	0.0
GM20_R2	0.16490886719787679	0.10090170365642293
GM21_R1	0.10959569719050932	0.0
GM21_R2	0.11087507679644423	0.10282171885592759
GM22_R1	0.11069946320783434	0.0
GM22_R2	0.10220582230174699	0.0
GM23_R1	0.1169034246063456	0.0
GM23_R2	0.11430205752326857	0.0
GM24_R1	0.10348991787345915	0.0
GM24_R2	0.10449272715517871	0.0
GM25_R1	0.11196815451189858	0.0
GM25_R2	0.12077084569453622	0.10438589544012805
GM26_R1	0.1036998131223254	0.0
GM26_R2	0.10413361047422615	0.10312141665312441
GM27_R1	0.11027032372033134	0.0
GM27_R2	0.1274261868986752	0.10094942167855397
GM28_R1	0.10679615896849366	0.0
GM28_R2	0.10524347599792684	0.0
GM29_R1	0.1027135840331572	0.0
GM29_R2	0.10247108081796873	0.0
GM2_R1	0.11084987370783722	0.0
GM2_R2	0.10297326988620381	0.0
GM30_R1	0.1064783905171922	0.0
GM30_R2	0.10216169900973847	0.10077285043777508
GM31_R1	0.10684166792350724	0.0
GM31_R2	0.17275597414818566	0.10317673440254022
GM32_R1	0.10163181170146109	0.0
GM32_R2	0.0	0.0
GM33_R1	0.11206550820936449	0.0
GM33_R2	0.10280723304910044	0.0
GM34_R1	0.1038663206211961	0.0
GM34_R2	0.10021168360018402	0.0
GM35_R1	0.1049030888117183	0.0
GM35_R2	0.10213216246882217	0.0
GM36_R1	0.10143708237980786	0.0
GM36_R2	0.13172171272454197	0.0
GM37_R1	0.0	0.0
GM37_R2	0.0	0.0
GM38_R1	0.0	0.0
GM38_R2	0.0	0.0
GM39_R1	0.10709781963372693	0.0
GM39_R2	0.11054581082664292	0.0
GM3_R1	0.0	0.0
GM3_R2	0.16947289007519467	0.0
GM40_R1	0.0	0.0
GM40_R2	0.10933687358986828	0.0
GM41_R1	0.10841516217860304	0.0
GM41_R2	0.10848612999150634	0.101625908077521
GM42_R1	0.0	0.0
GM42_R2	0.1628069898467641	0.0
GM43_R1	0.0	0.0
GM43_R2	0.10314267404005295	0.0
GM44_R1	0.0	0.0
GM44_R2	0.23122026877118346	0.0
GM45_R1	0.0	0.0
GM45_R2	0.10906016692451925	0.0
GM46_R1	0.0	0.0
GM46_R2	0.0	0.0
GM47_R1	0.10473094137865982	0.0
GM47_R2	0.10694657802046989	0.0
GM48_R1	0.0	0.0
GM48_R2	0.0	0.0
GM49_R1	0.0	0.0
GM49_R2	0.0	0.0
GM4_R1	0.0	0.0
GM4_R2	0.0	0.0
GM50_R1	0.1233662233988021	0.0
GM50_R2	0.1790183506466253	0.10162177158807656
GM51_R1	0.10616052559661968	0.0
GM51_R2	0.10318036407433835	0.0
GM52_R1	0.0	0.0
GM52_R2	0.14088681562085265	0.0
GM53_R1	0.11036076743179814	0.0
GM53_R2	0.10288862755959913	0.0
GM54_R1	0.0	0.0
GM54_R2	0.15028079897288088	0.0
GM55_R1	0.11070742914718157	0.0
GM55_R2	0.10864075439241738	0.0
GM56_R1	0.11976635353700607	0.0
GM56_R2	0.0	0.0
GM57_R1	0.12630823677855987	0.0
GM57_R2	0.15503722029904535	0.0
GM58_R1	0.0	0.0
GM58_R2	0.16019597315917367	0.0
GM59_R1	0.0	0.0
GM59_R2	0.11273315048268753	0.0
GM5_R1	0.0	0.0
GM5_R2	0.13014829457197513	0.0
GM60_R1	0.10277196816910912	0.0
GM60_R2	0.0	0.0
GM61_R1	0.0	0.0
GM61_R2	0.0	0.0
GM62_R1	0.0	0.0
GM62_R2	0.0	0.0
GM63_R1	0.0	0.0
GM63_R2	0.15490436802395902	0.0
