gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Montipora_capitata_HIv3___TS.g3858.t1,30.121619719347116,-3.1867322693365776,0.7935681874614051,-4.015700628739686,5.9269453148501305e-5,7.353999736200362e-4,33vs30
Montipora_capitata_HIv3___RNAseq.g37027.t1,50.30822033421604,-2.2058502987115993,0.5540623087083408,-3.981231468088839,6.855914516553484e-5,8.305741513508858e-4,33vs30
Montipora_capitata_HIv3___RNAseq.g37239.t1,746.5695615740036,1.7022041096949672,0.16231596351180907,10.486979055335649,9.914783890003831e-26,3.70854229085685e-23,33vs30
Montipora_capitata_HIv3___RNAseq.g50028.t1,55.491062872598384,1.5989208668684594,0.43494335998237926,3.6761588151000533,2.367721547904218e-4,0.002394933671609709,33vs30
Montipora_capitata_HIv3___RNAseq.g41639.t1,20.1251868048543,-1.749389639648948,0.3937649389439139,-4.44272576512487,8.882635027491531e-6,1.4393396144727702e-4,33vs30
Montipora_capitata_HIv3___RNAseq.g35641.t1,205.9342569000737,-1.5156013790178688,0.21176106138025894,-7.157129687295561,8.23837539927271e-13,6.267448810107721e-11,33vs30
Montipora_capitata_HIv3___RNAseq.g9717.t1,39.630339044715264,-2.345777861757184,0.655729852553792,-3.577354077477738,3.4708986847691584e-4,0.00328500342574304,33vs30
Montipora_capitata_HIv3___RNAseq.g48635.t1,21.73135459012735,-19.85745237428207,4.366583650047466,-4.547594633636805,5.426252314072555e-6,9.495412675132423e-5,33vs30
Montipora_capitata_HIv3___RNAseq.g27000.t1,295.21410233802806,1.6776563576641126,0.2631726774503601,6.37473606271515,1.83278311692633e-10,9.11517675382142e-9,33vs30
Montipora_capitata_HIv3___TS.g40258.t1,65.26781884138653,2.3410524615482635,0.6969000092210591,3.359237237153879,7.815793948436953e-4,0.006398758073426223,33vs30
Montipora_capitata_HIv3___RNAseq.g13036.t1,40.527173709449286,-1.500206885450998,0.45079499393792727,-3.3279138092149503,8.749893287471999e-4,0.007010066224153158,33vs30
Montipora_capitata_HIv3___RNAseq.g48731.t1,37.72566767367034,-2.8159528390438733,0.5225381249558967,-5.388990208669551,7.08546656015709e-8,2.0485099294856746e-6,33vs30
Montipora_capitata_HIv3___RNAseq.g14443.t1,27.54693448047234,-2.0717090414904886,0.6123884145985151,-3.3829984240454833,7.169904372760569e-4,0.00596927266214497,33vs30
Montipora_capitata_HIv3___RNAseq.g12616.t1,831.1186043044328,-2.1152825075370583,0.18783189964085362,-11.261572244020378,2.0310239960264277e-29,9.350001237091919e-27,33vs30
Montipora_capitata_HIv3___RNAseq.g27564.t1,139.16210140009753,-1.6445113158657192,0.3261217915601302,-5.04262934408204,4.591781681874916e-7,1.0833225797159295e-5,33vs30
Montipora_capitata_HIv3___RNAseq.g30709.t1,1920.9024487156425,1.9439049345905663,0.16118989233144912,12.059719790577084,1.723683513383725e-33,1.0671384068721173e-30,33vs30
Montipora_capitata_HIv3___RNAseq.g40907.t1,69.30903082129778,-1.6621444579838773,0.516678241804298,-3.21698171802142,0.0012954685341959155,0.009642969346166446,33vs30
Montipora_capitata_HIv3___RNAseq.g12934.t1,58.02211072286635,-2.199285517769863,0.6110571618947941,-3.5991485820249904,3.192607472975881e-4,0.0030554410751497314,33vs30
