Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
Q91Y78	Q7ZVQ8	P23347	Q96M86	Q8VE97			P22680	P01693
Q8BGC9	Q5ZM35	Q811A3	P00348	Q9YGS0			A0A2P1BRQ0	Q8IXT5
Q9PTH3	Q9Z0P5	C3KJE6	A7UA95	Q6NZ06			G3H0N9	Q1LYL8
P35295	P11966	Q60780	O43815	Q28BT8			O42242	Q6DRJ7
O08810	Q8R151	Q4R6V2	P17077	O35685			Q96AD5	P07354
O70127	Q8R151	E7FH61	Q78YZ6	Q15024			Q58DW0	Q5R7K9
Q9UNX4	Q8R151	P0CT39	Q98T91	Q5ZHZ0			O75132	Q6NUF4
Q8K4T4	Q58DT4	Q4R4J0	Q9Y4H2	Q8I7P9			P31943	O15034
Q8K1S5	A3KMV5	P35580	Q96LD4	Q6PBK1			P28020	Q00780
Q9NVS2	A5D6R3	Q8JFR5	O88582	Q3SZV5			P79729	Q9GKY7
Q63081	P27093	Q9N0W7	Q8IXH6	Q8TE73			Q14534	P21328
Q6GQJ7	Q5SZI1	Q8WYQ3	Q15399	O14841			Q9QXS1	Q69ZW3
P60901	A0A2R8QPS5	B8JKF4	P10620	Q6R2W3			Q27409	P51464
P54149	Q92110	Q15034	Q91YL3	Q9Y105			Q08CZ0	Q6NTY6
Q00688	P20821	Q9W7R4	Q9D0B6	Q5SUC9			Q9UPW8	Q90X49
Q9QUR6	P0CT39	P57102	O88956	F1R983			Q4U3L0	Q01196
Q1M199	O57656	P19367	Q99999	Q6PFJ1			Q9WUR9	O70138
Q498Z6	Q9BX93	Q6DIC0	Q9DBX3	Q99NI3			Q9Y5C1	P59384
Q66KG0	P63074	Q14558	P27615	Q6PCS4			P36968	O93512
Q3TTY0	P09479	P52429	P04696	P18700			Q6TEQ0	Q6DJ83
Q9UBI9	Q92038	Q6DHQ3	B0S5Y3	Q49LS6			P97501	Q8BGZ2
Q5BKK4	Q8IZU9	Q3T0P5	P50282	Q5T5P2			Q99315	Q63ZU3
P14380	A2ASS6	O70209	P50282	Q1LZ95			Q9Y2H5	Q90275
P0CT40	P21329	P43367	Q9N2I7	Q6P1R4			P21328	P85108
Q9P2I0	Q8CI12	P68563	P80456	Q5XJD3			Q8BYK4	P51910
Q96S38	Q02290	Q02357	Q6DFH5	A4FUW8			Q5SZI1	P15988
Q5RGU1	Q02290	Q1RMA6	Q63563	Q01063			Q98UK5	Q6DRD4
Q5TYS0		Q8NFH4	Q95SX7	Q5ZJ66			Q6NYP0	Q9YGM8
Q91437		Q1XHU0	Q6DHB1	Q8WYQ3			P11722	D4A9R4
A4FV61		Q6TXF1	Q9JIL5	Q7SXS8			P50053	A0A2R9YJI3
P04323		Q9UJU6	P27448	Q6ZN57			Q0P4F7	Q5CZR5
P51916		Q803M0	Q3V3Q7	O43670			Q7TSQ1	P35331
O43150		Q9Y606	Q95M12	Q8C7R4			Q7T3B0	Q6DIV5
Q9QXK7		P18298	Q8BH83	Q503X2			Q3B8Q1	Q6AZL2
O57521		Q92162	Q9ERI6	Q8R4P9			Q8IXL6	Q06985
Q64595		Q9DBX3	P56476	Q91WQ5			Q9H222	Q1LW01
