darkturquoise	red	darkgreen	darkgrey	orange	floralwhite	brown	darkolivegreen	bisque4	darkred	darkorange2	darkmagenta	greenyellow	midnightblue	skyblue3	paleturquoise	thistle2	salmon	lightcyan	sienna3
O00506	P29318	Q9WUR9	Q3T904	Q0VD22	Q3TWI9	Q6P9K8	P31230	Q5R5U3	Q8NFQ8	Q6NSR8	Q95P23	P14380	Q91636	Q62158	Q9BQR3		Q5R636	P10043	Q8JFQ2
Q501V0	Q69ZP3	Q5TYS5	P31942	Q5RED0	P56400	Q8K212	Q5RG49	A9JSM3	P05712	Q9CZN7	Q5F3J5	Q99J09	P79733	Q99N42	Q9JLT0		A1XQX0	Q91756	Q0P5B7
Q5ZHP7	Q5E975	Q9Y3C5	Q9QZI8	Q86UV5	P13752	P28828	Q6NWH0	O75121	Q17QX9	O60762	Q96QT4	Q96LU5	Q4KM52	Q03110	P10242		P10994	Q9ULR3	Q90476
Q9JI90	Q9EPR4	O73688	Q8C9J3	Q6IQC7	P32847	Q8NBN3	Q8K2J9	O43451	O95785	Q810D6	A3QK16	Q5RHX6	Q6I7B0	Q2EMV9	Q02817		Q6R2W3	Q80TR4	Q923L3
Q62280	Q4R543	Q0P4F7	Q4V8T0	Q5XIY2	Q28178	P97305	Q803F5	A9JSM3	Q8WUF5	Q58DV5	Q99L45	Q6DGA7	Q8N957	Q1XHU0	A2T737		Q8K1Y2	Q9NT68	P15881
Q0IHM1	Q6UPE0	Q32KH9	Q641F0	Q1NZ26	P83299	Q1ED39	P04323	Q9R013	Q7T3C7	Q06056	Q6PF24	P81601	Q53QZ3	P04323	Q8JFQ6		Q01196	Q8NDX1	P91443
Q803R2	Q3ZBV2	Q9H3L0	Q9CW07	Q4R4S5	Q8C552	Q6DFA6	Q6DRC5	Q5XIS1	P19221	Q9CPW7	Q49LS6	Q3T0M7	Q5ZIV9	P14381	P36633		A2BGL3	Q641G3	Q9H165
P29274	Q7T3S5	A2RRT9	Q8R0W1	O93343	Q92051	Q6P0D0	A0JMG9	P70699	Q96LR5	Q5ZIK9	Q6P158	P05452	Q5BLG4	Q1LXK4	Q6INN8		Q9UKE5	P84335	Q8VHE6
Q91ZV3	Q6TCH7	P36514	Q95SX7	Q9H2D1	P30804	Q13243	A1A4K8	Q9D8U8	Q7ZZ00		Q7SXN5	Q3ZT31	Q5BQN8	Q2EMV9	Q13887		O43184	Q8BYH8	Q9UJQ4
A5PJT0	Q9UK45	P21743	Q9H3P2	P08548	Q0VCW4	Q803A7	A9JRE2	Q3B7D3	Q9HB90		Q9D9M5	Q03422	Q5CZR5	Q9WUB0	O19005		Q9C0D9	Q2KN97	Q8AYS8
