darkturquoise	red	darkgreen	darkgrey	orange	floralwhite	brown	darkolivegreen	bisque4	darkred	darkorange2	darkmagenta	greenyellow	midnightblue	skyblue3	paleturquoise	thistle2	salmon	lightcyan	sienna3
Q5M8X6	A6QL88	Q56A24	P48489	Q588U8		P50579	Q6NXA9	E9QCD3	Q2TB18		A2VDB3	Q9DGE2						O54698	
P42659	B2RZ17	Q9C0D4	Q03164	Q06AV1		O55173	Q9H1I8	P27925	P11506		Q6DBY0	Q9GZU5						Q61739	
O88831	A7Y2W8	O57321	P79403	Q924A5		Q2VJ60	P35789	Q9GKM4	Q6PC62		Q00839	Q28298						B0LPN4	
Q04202	Q8IUF1	P54922	Q5E9M1	Q9JLR9		Q8CBE3	P49368	Q9HBH5	Q91453		Q5DU09	A1A5Y5						Q6ZN04	
P79110	Q6GLU8	Q5R7A4	Q4KMC9	A7S338		A2BIE7	A5D7C1	Q1L8T5	Q9ULL5		B7ZMP1	Q5T4B2						Q9W7J1	
Q96QV1	Q9D2R8	A0AUS0	Q6P2D0	Q8K1N2		Q810A7	Q9BWU0	Q5R766	Q5YCC5		Q96S38	Q4QQW4						Q9C0H5	
Q5RG45	Q2V2M9	Q63340	Q90VV1	P10394		Q70E73	Q6PGP7	Q9HB40	Q64337		O88484	Q13042						Q6P6Y1	
Q1L8J7	Q8NA23	Q90Z08	Q6NVJ5	Q9Z2F7		Q69ZF8	A8YPR9	Q9D4H7	A0PJR5		Q6AZD4	Q5U2R1						Q8BLY1	
P82471	P59113	O43772	Q9CZU3	B0UYI1		Q4R866	A2VD33	Q2VPU4	O75351		Q9CR58	P97834						Q9Y2L6	
Q2TA45	Q8C5Q4	P09131	Q98UK5	Q4QRC6		B2RWS6	A8E657	G3X987	Q4DC43		A4FUW8	Q86WZ6						Q9UMS6	
Q95M17	Q04799	Q6PE25	Q9CZV8	Q6PH61		Q7ZVX0	Q9CZN7	Q9ULE0	Q68VK5		Q6NZS4	Q5ZJ81						Q08DF4	
E9QAG8	Q9HCM9	Q503L4	Q5SNQ9	Q98SV0		P62262	Q8TE57	A8E7D2	Q7ZV55		B4J8H6	Q64727						Q9Z138	
Q9IBD0	O92815	P32856	P54001	Q6NZ21		E1C1R4	P21328	Q6NYZ4	O89113		Q9JJG0	Q7UP05						P53668	
Q12955	P62311	Q7SXF6	Q60668	Q7Z401		Q9H2F5	P08108	Q8BQN6	Q8N5Y2		Q6NXY1	P08582						O75420	
O92815	Q9UNF0	Q8R3J4	Q1L990	P04323		A7Z019	A1L1R6	Q9QZI9	Q7RTR2		Q6PC19	Q923G2						D3ZLH5	
Q96T58	Q1XHU0	P62755	A2VE13	Q96LD4		Q9UL63	Q68FN7	A6QP81	Q9CQD1		P33198	P47856						P08069	
Q5F371	Q8VC85	Q5ZID2	Q28060	P29597		Q8BGY9	Q5R9Z5	Q6Y288	F1M4A4		P51910	P41224						Q6GP04	
Q6A065	Q9Z210	P14380	Q91974	Q95SX7		Q8BN78	Q5RCG9	Q8BGQ2	P35072		Q6AYM1	O54824						O35867	
A4IHB9	B2GUW6	Q96IP4	O95208	P05201		P10447	Q9YGN1	Q70EK8	E7F6D7		F1MNN4	O93434						Q9H2G2	
Q15652	Q802W2	Q6NY73	Q5NBY9	Q9QX47		P11799	Q32PI8	P49321	Q86UY8		Q2PW47	Q6BEA2						Q6GL52	
Q66II5	Q8C1W1	O89049	Q13190	Q2L6K8		Q9MZ16	Q4V921	Q330K2	P56533		A3QJU3	Q4KLI2						Q7ZY18	
Q3UZV7	Q9TU32	Q0Z8U2	Q68Y62	P20000		P43351	P16116	Q8BIK4	D3YWE6		Q8NB91	Q5R1S9						Q86YP4	
Q9NWH9	Q8IWR1	Q8R0N6	Q5SPC5	O14792		P08621	P56960	Q80XP9	Q5XIY4		Q62735	Q9H237						Q6PEY0	
Q502K9	Q3U4G3	A4IHG1	Q8IZD4	Q8BG09		P70106	O96028	P84096	Q3SZJ2		Q5XJD3	Q9YI97						Q1RMR1	
Q9JIT3	P02640	P15651	Q803I4	Q90YT7		Q5ZKW8	Q9Y6I9	Q7LHG5	Q99315		A5PLL7	O08688						Q7RTR2	
P81127	Q7T322	Q6NWG0	P39447	Q5RDU7		Q15059	Q91YE6	P20825	Q92172		Q6DEZ2	Q5ZJU0						P45481	
Q80YE4	Q9NZE8	Q61827	Q8TD16	Q9PTE6		Q5RFL8	Q9QYJ0	Q99J45	Q7RTR2		Q6YND2	O75718						Q92503	
P57682	O62695	Q9UHD8	M0RC99	P11369		Q8C6D4	O93257	O43345	Q68EL6		P35033	Q9UJX5						Q8R0S2	
Q8TDM6	P12007	P07154	P50234	A1L0Z6		Q8BP86	Q99KQ4	F1RCE7	P21329		Q01063	A2V9Y8						Q9UM01	
A1A5H6	Q5R9U9	Q6DHK1	Q803Q2	P58875		Q8C754	Q9JJ22	A5D6U8	Q8MJJ7		Q91502	Q8K126						Q5RA50	
Q8BMP6	Q03147	Q9UHV9	Q5PR61	Q7TT23		Q9CR40	Q27954	Q8NEZ2	Q7RTR2		F6P3G4	Q91918						Q6IR74	
Q6UXX5	Q3TL44	P20290	Q1L673	Q60648		Q60996	P40306	Q5R579	P35072		Q4V909	Q9H0R3						Q98932	
Q64617	Q8WP19	Q5BL31	P04323	A8Y5U1		Q99JR8	A0M8U1	Q687X5	Q99615		P13216	Q90275						Q91736	
P26818	Q5I0D1	Q2YDP8	Q28EM1	Q6IQ85		Q59I64	Q5RBR6	A6QLE7	Q9Y4W6		Q59HJ6	B9ENE7						P87378	
P51186	Q6AXM5	Q5BJI9	Q08C69	Q06056		A8WFS8	G3V0H7	Q8BW74	P08548		Q9BYE7	Q99807						Q68D51	
Q3TGW2	Q5RHD1	P14087	Q9JHI2	O73770		O88766	Q6GNG3	Q08BB3	P31030		Q9BV44	A4Z944						Q6IEI0	
Q7ZVR8	Q8TB37	Q8R331	Q86WA8	Q90XY5		O94829	Q24UI6	Q9UIM3	P16884		Q8R5B6	Q8CA03						O43159	
Q69Z38	Q0D2A9	Q90688	Q96DT6	Q8BXK9		O88766	Q6R2W3	Q6DHC1	Q7T3H7		Q9NQC7	Q0IIC2						Q59I64	
Q9DAZ9	Q5REY8	Q9R0T3	Q641X1	Q9QXS1		Q96PD5	Q96ER9	O95487	Q3SZ72		Q9Z248	Q9ERU2						Q9UMZ2	
B3DLH6	Q02374	Q5CZQ0	Q2TBU3	A1YB07		Q91V92	O43292	P30658	P11369		P19623	Q9D0D3						A4UTP7	
O88746	E7E2N8	Q9IA76	Q8QZY6	Q5R4R4		Q9Y4F3	Q5R8Y6	Q96QH2	Q99L90		P46199	O15297						P16591	
Q9BY84	P62341	P97450	Q5E9S4	Q566W7		P0C588	Q8VCW4	Q60843	Q9W790		Q8K3P4	Q99KG7						Q8VCC9	
Q6R5J1	Q9DCR2	Q5U3N0	Q9NP66	Q9HCM9		Q5XI67	Q4QQY7	Q9H2Y9	Q6NWF6		Q99L13	Q03237						Q6IQC7	
Q924W6	P78536	Q9CXD9	Q9HBL0	Q9UM44		Q5RAD5	Q2TBR2	O54782	Q9EPT5		Q92616	B1AR13						P08069	
Q96PD2	Q8C863	Q90YV7	O94876	Q6P036		Q8IYH5	Q8CGC7	P04323	Q9BZR9		P42225	A1A4M6						O60281	
Q9H777	P36179	O00303	Q8BGQ2	O95861		O95279	B5X3C4	Q9WVS9	A2BDB0		P67998	Q29RY7						Q5VWG9	
Q8CI12	P43367	Q91WR8	Q9JHI0	P16065		Q8TBB5	Q7ZWF0	P80202	Q5RB37		Q16820	Q674X7						Q86XE3	
Q1LYL8	Q5R615	Q9TT16	Q66HE5	Q6DJQ9		Q9BVG3	Q6NY98	Q16236	Q6TH15		Q8BXA0	Q15650						A0A1S6M251	
P98154	Q9D187	Q9NVV5	Q1L8J7	P78317		Q4R8V8	Q91453	Q6DFH5	Q8K0H7		Q9JK91	Q2TA40						O75165	
Q9HAV4	Q9H1D9	Q5R9I9	Q9GJS9	Q7Z5L3		Q9CU65	B1H1X4	Q6NY64	A0A2R8QCI3		Q642C0	Q5F477						Q8QFX1	
P23092	Q5ZLH4	Q9NYT6	Q5GH72	Q08DZ3		Q3UKU1	Q9ER88	Q66I85	Q9QYW3		O14980	Q0V9M0						F7H9X2	
Q8TAB3	Q6DGW9	P50894	Q9BQN1	Q58DB0		Q8CHT3	P21328	Q9WU49	Q4R6V2		Q7T3E8	Q9NYQ7						Q6DGZ0	
Q61602	Q8VHQ4	Q791V5	Q6ZS17	O75689		O43524	Q566T0	Q9PTU6	Q7RTR2		Q63945	Q6PC40						Q6P0Q8	
Q62179	Q5R548	Q5M7X9	P04175	P58873		Q12852	P01251	Q91YL3	Q9NRM2		P61150	Q8R4P9						Q7Z410	
Q9Y2C2	Q8BJL1	Q0V9V2	Q9NXJ5	Q9I8W5		A7MB28	Q62018	P70047	A0EQL2		Q99PV0	P05625						Q6ZM86	
Q9C0A1	Q8BVP5	O88509	P04323	P80405		Q5DU00	Q6DDU8	Q68EM7	Q8N1W1		P37206	Q9EQM6						Q6P5L7	
Q6R2W3	P29274	P21328	A5HAK0	O70201		Q6TNP8	A0A0U1RQI7	E9QAG8	Q99570		Q5R5J1	Q56A55						Q8NEZ4	
O60883	Q96IR2	Q5ZLK8	Q32L23	Q78JE5		Q8BKI2	Q6NV26	Q92574	Q9NRL3		Q6DEL7	Q90891						Q4VBE4	
Q6VZZ7	Q32LA4	Q9HCM9	Q5RGQ2	E7FCN8		Q7YQM4	Q6PGW3	Q8BLB7	P46459		O14830	Q6A039						Q8R5F8	
O60478	Q58EL2	Q7ZYS1	Q9BYZ6	P00171		A2AWL7	Q91727	A0JMZ4	Q7RTR2		Q3MI03	P03934						O97592	
Q6RFZ7	Q5U538	Q9BQS8	Q96L50	Q99M87		A2BGG1	P04323	Q8CHN6	O14974		Q4QRD7	Q9D0M2						Q2KIB6	
Q6P4E1	Q9D4J1	Q6P268	Q8BUV3	Q98TT6		Q9UDY8	Q9UJJ9	Q9DBS9	Q02084		Q6PFJ7	Q90YH9						Q5U3K5	
Q3UJK4	Q7TSV9	Q6NYP0	Q7Z5G4	Q01703		Q8R418	Q5RFU5	F1QX91	Q6GMK6		O15091	A9LMC0						Q3UV31	
Q96RT1	Q5RKZ7	Q9UL19	Q5R9B8	Q9UN19		Q5PRF9	O43422	Q921D9	Q8IY22		Q6PFP6	A9JR78						Q86UE6	
P35072	Q6NUT7	O94903	A0JMF1	Q9Y6F8		Q9P225	O75879	Q9I8F9	Q5REL1		P17289	Q99LT0						O75182	
P47809	P49946	P80977	Q6P3Q6	A0FKG7		Q6GPC6	Q96EY1	Q803A0	Q08D64		Q505F5	Q6AY46						Q8C2L6	
Q6GQ73	Q9BSY4	Q9QYU7	Q5REP8	Q68EW1		Q1LY10	P09651	Q6UX07	Q6NZ21		Q4V9P6	Q6PBU0						Q9HC78	
Q5VTY9	Q5ZKG5	Q4SBY6	O88407	P56391		A0T2N3	Q8BY71	P07224	P50157		O14981	Q08BB2						Q9UKP5	
Q95168	Q7SZQ7	P62856	Q9NTG7	Q02084		Q5TYS0	Q9CQJ8	Q5R5U3	Q969P0		Q5XGY1	Q8IV48						Q91678	
Q58NQ5	Q6NUZ2	Q3MHL7	Q6NWW9	D3YUG0		Q6ZWQ0	Q8C0D5	Q90812	P60670		Q1LWL8	A4QP72						Q62443	
Q9P2K9	Q6R2W3	Q9WUW3	Q5ZKJ4	Q96GD0		Q3U507	E9Q349	Q95KD5	Q7TMK9		Q5TJE1	Q7Z628						Q80WQ9	
Q8BL80	P63219	P13127	Q3UH60	P14381		Q3U1V8	Q90665	P0CT40	E7F211		Q8VHS5	P82279						Q9D3A8	
Q6NXM2	O55023	B0KYV5	Q9Z191	Q8N2R8		Q86UU1	Q1LUT1	Q96DA2	Q5M8W9		Q9BQA5	Q9YHV3						Q9Y4I1	
Q8C784	Q7ZUH5	P0DMQ6	P26008	P00428		G3XA57	Q5TM59	Q5RJH2	Q4V8X4		P82798	Q5ZKQ6						Q9NBX4	
Q66K08	O46640	Q92730	Q8IXR9	Q9Y663		Q64514	Q0VA04	Q5RKN4	Q6GLE8		Q8AWW7	Q4KMD7						Q5SSZ5	
A2AV36	Q8R3N6	A0CDD4	Q9UBU6	Q66HY7		Q90773	Q9Y535	Q6ZSB9	P35072		P52951	P22087						Q7ZVZ7	
P98175	O43396	P47830	Q14498	Q8NAP8		Q9WTP0	Q9Y6N5	P22458	B2RYE5		Q32LT7	O13154						O73718	
Q6GNM6	Q5VW38	Q7T3D1	P0CI65	Q5RCQ5		Q86U44	Q5RD27	Q9H2X6	P46424		Q5T2N8	Q1MTE5						P11233	
P62484	Q3TC93	Q9H3L0	O88572	Q62703		Q8TEK3	Q6PD83	Q09121	Q02816		Q7T292	Q6DE95						Q6NZK8	
O00370	Q6MFZ5	Q6NWF4	Q7ZYA0	Q8R5J9		Q9I8K8	P82929	Q6P823	Q9CUX1		O75400	Q07864						P21329	
F1QEB7	Q810B6	Q5SVZ6	Q56JV3	Q8VEL0		Q05481	P54731	P14381	Q9H3N1		Q28350	Q5XGB9						Q9UP95	
Q9GKT6	B5FXU9	P00129	Q9H078	Q567V6		Q8NFD5	Q8BIQ5	E9QAG8	P01895		Q2KIJ2	Q9PUK8						Q1L8W0	
Q99624	Q8VHT6	O08807	Q2KIG8	Q9D738		Q9NVP1	Q1LV17	Q8K1P8	Q5R8S9		Q63429	Q86UP8						Q7LHG5	
Q69Z66	Q32LE4	Q9Z0L8	Q50LG9	Q5FVM7		P55782	Q6Y1Z4	Q5RGJ8	Q6P5E4		Q6PFM0	Q9D4P0						Q86UP3	
Q8NFJ9	O94811	P49288	P0CH95	Q9I9L7		O95628	Q9Y493	Q8CD54	Q9D920		O14744	Q5R685						Q9Y5I4	
A8WG21	P08836	Q9Y6A2	Q07352	Q6R5N8		Q8C0E3	Q86IC9	P42565	O55012		Q6P5M2	Q8BNW9							
Q5REN1	Q3B7G7	Q90788	O75385	Q801G2		Q5RDH2	Q92624	Q75V66	O75352		O75844	P10394							
Q6P0S3	Q6IQS6	Q99LJ2	Q60397	Q5F383		O35412	Q8N2K1	Q9NBX4	Q6DGP2		Q5EBL2	Q32LC9							
P08548	O70579	Q98989	Q5EAU3	Q7TMV1		Q13459	P09527	Q4VIT4	Q8BV13		Q5ZII9	Q6NWF6							
Q60855	Q1JPX3	L0R6Q1	Q00972	Q8BY02		P14381	Q0MQG7	B8JKF4	Q2LGB5		Q9NUJ3	Q9Y3Y2							
Q3V1H9	Q9H867	Q96BF6	P54149	E7FAP1		Q9XTA3	Q1JQ73	Q96WV6	Q8K201		Q99JZ7	P20397							
Q10743	Q9CQK7	Q8K386	Q8IY17	Q08BY1		O89038	P57105	P41214	Q02084		Q5ZKU4	Q5PRC7							
Q2HXW4	Q6SA80	Q7RTR2	Q4R372	F1QWZ4		Q6ZQ11	O70351	Q90617	Q02084		Q91550	Q6PE18							
P29317	Q6DRC3	P20373	Q0P4B9	Q9C0H6		Q3U288	Q8NEF9	A2VDF0	Q27969		Q9UHB9	P30436							
P04323	Q5R5J7	Q0III3	Q6ZVD7	Q5E9U0		P41737	P23514	A2BEA6	Q7ZUK7		P14381	Q3ZBE1							
Q3KR97	P37879	Q8N1E6	Q1LWX3	Q502L1		Q58D06	Q8BIX3	Q5RAD6	Q52KK3		Q8N0U4	Q86YT5							
A0ZSK4	Q3T114	Q3TTA7	P02714	O62836		Q1L908	B5DGH9	Q8N0X7	Q0MQB4		Q9NQZ2	E9Q4S1							
Q8BIE6	Q5RDC9	P04323	P27120	P21109		O46382	Q08CN0	A4FUD4	Q5F3U9		A2BIG9	P62262							
A0JNG0	Q8VC88	P08882	A0A5B9	F1QCN0		Q108U6	O75439	A5GFW8	H2LNR5		A3QK15	Q7ZVK3							
Q6GQB9	B3DJM5	Q5R4N8	Q9ULC3	Q5T5X7		A2VCZ5	C0H906	P67862	Q7TMF3		P30883	Q9H8G2							
Q99LH9	Q8VEK2	Q32LB7	Q9Y6A2	P21328		Q8QFP8	Q6P2P2	Q5FWF7	Q7LFX5		Q12931	Q5ZMA6							
Q8CG80	Q7TSH8	Q9D0B5	Q4R828	P52794		O08755	P86178	Q96S16	Q9UKV5		Q80UN9	Q7Z6M4							
Q08CG8	Q5RDW1	T1NXB5	Q8BMS2	P35072		Q7TSV3	Q86X76	Q9CZX5	Q7RTR2		P17248	A2ALS5							
B2DCZ9	Q96DP5	P13420	Q6PA06	Q1LY77		Q8BKI2	Q5XJA0	Q68FP5	Q9CXF4		A0A0R4IC37	B5X4H8							
Q4G3H4	O42387	Q6QN05	P49796	Q8VHQ3		Q5T5U3	Q9NP78	A5PKJ4	Q00973		Q15417	Q7T006							
Q62796	O14920	Q63ZU3	Q5RGT6	P04004		Q7Z442	A8KBY2	Q5R4Q7	A9ULE9		Q99PS1	Q5SUC9							
O88204	Q00685	Q02960	Q8BJD1	A3KNL5		F1QBY1	Q08CF3	P56616	C0HK23		Q03422	Q92621							
Q8K0Q5	Q6PBT6	Q9BSD7	P43031	Q4FZY0		A2AQH4	P21328	Q5ZLG9	P16970		Q8K224	Q6P0C7							
P14381	Q9CQT2	Q80U22	Q5RC10	P10111		P21328	A5PMX1	Q96HH6	Q6A070		F1RET2	Q96SY0							
Q9P266	F1QIK8	A4IFA3	P49263	Q9HCI6		Q80TR8	Q14444	Q4W1W1	P35072		Q4QQT6	Q6PFL6							
B0BLW3	Q9N126	Q95SX7	Q58NQ5	O35811		P34947	Q9WVP1	Q504G0	Q3TNH5		Q5ZJ66	Q803I2							
A0A348AXX5	Q95SX7	Q9DCL2	Q8BMA5	P05452		P49918	A7XUY5	O00370	Q6AXJ7		G5E8F4	Q9HAB3							
P20965	P14373	P97872	Q90ZK6	Q62904		P56101	Q5ZMP7	Q7T163	Q5E9I1		Q6IRQ4	Q9ULU4							
Q91V33	Q96AQ8	Q6TH01	B3VSB7	P79747		Q96T23	Q8VDY4	Q14678	Q5F362		Q0VFH6	Q5R6Z7							
Q5ZKZ4	Q7SZU9	Q68FW8	P02680	P18756		Q5RGQ8	Q9JHW4	Q04656	Q52NJ2		P35072	Q18786							
Q8TF40	Q5R9B2	Q6DHC3	Q14DK5	Q15643		Q06190	P51965	Q6Q7Y5	P48728		P19367	P58557							
Q1LXV8	Q9N1R6	Q3SX46	Q6P4A8	Q8CJ61		Q3U1Y4	O43143	Q32N90	Q7RTR2		A6QLP2	O00370							
Q60775	Q5ZJ41	A4IG53	Q80Y75	Q5PRB3		P55783	Q62785	Q96M86	Q8NF86		P29371	Q9Y248							
Q7Z6J6	Q8C6I2	Q9Y2D0	Q92633	P70600		Q9P2M4	P70685	Q7T163	A7MBU6		Q9NQT8	Q8BTV2							
P33402	P48305	Q8JHI6	Q6NYT3	Q1RMQ3		Q7SIG6	Q6Q2B2	P15498	P32780		Q3MHJ7	Q498Z6							
Q6UXG2	Q8IWR0	Q9R182	Q9Y2X8	P20701		Q7SXU0	Q5ZJF4	A1L1N5	Q9H1K0		Q6ZN57	Q9NPB1							
Q5XGE9	Q6DG99	Q8N8Q3	Q2WG80	Q8WXX7		Q7L775	E2R4X3	O96006	Q15723		B4F6W9	Q9BYD1							
A1L1S5	F1QJF4	Q8BJY1	C0HBB2	O73881		Q5RKH1	Q8VD04	Q5ZIU3	Q91453		Q5RDY7	O46560							
Q5R5L7	Q0VA42	A7KII6	A2VDZ9	Q7SZQ4		Q9BSU1	Q02084	Q80ZH1	Q29RQ1		Q80Z96	P45592							
A0PJZ3	O75317	Q98967	Q1LUS8	P20718		Q9UGU0	O76039	Q8JH71	Q9Y4W6		P49917	Q7ZW00							
Q9H0J4	Q5RA77	Q6WVG3	Q9R0U0	P38621		Q6GMF8	Q15070	Q17QR8	I6L9G5		Q5ZIJ2	P50462							
B0S5N4	P28472	Q6NYK8	F1QW76	Q80T32		P55779	Q9DBG7	Q66I22	Q3T061		Q5R806	Q1ED21							
Q6IR74	P82920	Q921E2	P50552	Q05923		A6QNT8	P21127	Q5ZIH3	Q03385		Q66T02	P0C5E3							
Q96LK0	Q28D40	A8E4L3	Q04202	Q969S6		Q6GQD7	Q5RGP9	Q1LYG0	Q6R5N8		Q6PFL8	Q01713							
P0CF24	P41970	Q5M889	Q9R001	Q4V9F0		P47197	Q68DN1	Q8BUG2	Q8TB40		P13676	Q2KI45							
Q9ULP0	Q75R65	P04323	Q8VBX0	O62640		Q49GP5	P08697	Q13620	Q6DGG1		Q86VF5	Q6GQ22							
B8JKP6	Q8N806	Q9DBN9	Q5SPB6	Q9NWM0		Q16584	Q7ZV60	Q99MP8	Q5R8H3		Q2HJ56	O95427							
Q13029	Q5E9Y2	P09495	Q14511	Q9BYK8		P56101	P35738	Q7T3F7	Q4R6F8		P35072	Q7SYD5							
Q8IWI9	P05090	Q7Z614	P54864	Q91Z53		Q8BYW1	Q9HBI1	O60244	Q6NYB7		Q1L8I0	Q6PFL6							
Q96N67	P61023	Q5F2F2	Q8BL48	Q95KR7		Q9IA05	Q3UHX9	Q6AXS5	Q68EH8		Q8TCQ1	Q9Y6I8							
Q9HCI7	Q8K3J5	Q9CXD9	Q9QWE9	Q1LVK9		Q5XJV7	O43747	Q9NYT6	Q6DG88		P53677	Q7SY06							
Q4R6N0	Q7Z7G1	Q5ZLP2	Q9BVH7	Q6DEL1		H2MTR9	P55010	Q9ERK0	O75170		B5DG51	P43450							
P14381	Q6PBE2	Q90YS3	Q9NBX4	Q9UBG7		A7YT82	O55106	Q96BJ8	P13861		O94986	Q8NFY4							
Q8BLS7	Q90X99	Q96Q27	Q9UFB7	Q5R5D8		Q86W92	Q6PUR6	Q9YIB9	Q61103		Q17QK6	Q5BJC4							
P98070	Q0IHY5	Q6PAY6	Q5PNP1	Q61183		P38438	Q5BLE2	Q3UQN2	Q61990		Q9C0C9	P51828							
Q6A044	Q9R1T3	Q61003	Q8R4F1	A0A0G2KTI4		Q6ZSG1	O75600	E9QAG8	Q8SPU8		Q4FZF3	P04323							
Q568L5	P22309	P06620	Q99KG5	Q96HA9		B0BN95	O00370	Q5R4K9	Q7RTR2		Q9Y253	Q6PKX4							
E9Q309	Q28678	Q8N4G2	Q9H6S1	Q5RFW0		Q9UJY5	P70500	Q5RJW5	Q92905		O08730	Q9Y2X8							
Q80U63	Q9H2C0	Q3MI05	Q96CX2	E7F7X0		Q12864	O08585	Q9JL19	Q92565		Q5PQZ3	P51464							
P14400	Q1XHU0	P18101	Q9UHH9	Q7ZU13		P32298	Q6DRJ4	Q5E971	Q24K02		Q0VGY8	Q28479							
P56477	P52624	Q640V2	A4IIN5	A5PN43		Q503N9	Q5RFL9	Q5R6K8	P21328		Q9D0R2	O43818							
Q9UKA8	Q1JQA5	Q9GL59	Q05AQ3	Q9I8U0		O18499	Q6P6R2	Q5RAL9	P53473		Q6DC39	P78417							
Q8TBZ5	Q5EA24	Q9HA64	Q04912	Q96H78		Q96BD5	Q922B6	Q6P7G9	Q9CWQ0		P36551	Q7ZYP0							
G3XA57	A6QLP7	Q08BL7	Q9BTX7	Q6PC60		Q9R210	Q5XJE5	Q6UXK2	Q9NQT8		Q9Y236	P0DTE4							
Q6ZPV2	Q9H2Y7	P15305	Q6DHP1	P31367		Q16880	Q924H7	Q98SW2	Q96PX1		Q8IYD8	P13135							
Q80Z19	Q5XGE2	P79384	B2RXC5	Q6AZD1		P62257	Q9Y263	P14866	Q32Q90		Q9UJX0	Q71RC2							
P12027	Q5XIG2	Q0E2Y1	E7FDW2	Q5U305		Q9H9B1	P22062	Q5U3U4	Q5REX5		Q9UKA9	P10394							
O96006	Q96LD4	Q6UWP2	Q9BV68	Q6AY85		Q6MG48	Q08CK1	Q9CZE3	Q5R9I5		Q25060	E7EXZ6							
Q80VA0	Q17QJ5	Q9Z255	Q9NPI5	P04041		Q8IYF3	Q6NYL5	Q4KM14	Q6PC60		P21328	Q8CGS5							
Q63ZZ0	Q5RF01	Q92664	Q0IH86	Q3UV55		A1A4H6	Q28C74	Q05017	A6QP70		Q9BQ13	Q9UKJ5							
A0A0R4IBK5	Q503M4	Q8CAQ8	P04323	Q6MFZ5		Q08C81	P0DPD7	Q96M86	Q13144		F8RT80	Q91785							
B0S6J3	P58369	Q658P3	P12965	Q791V5		Q5ZKL6	Q8NB14	Q4ZIN3	Q91453		E7FBU4	P0C6T1							
Q5ZM39	Q6PH85	O35509	O00418	Q5I0X7		Q800L6	Q3SZ85	Q8IUR6	Q96S21		Q5ZJ87	Q5R628							
Q08DQ0	Q86TW2	A2AJ77	O97557	Q5EB30		Q5VYS8	Q6NS46	Q4KLT3	Q6GQB9		P04323	Q6DC53							
O42364	Q66X52	Q5U4X2	Q6GLZ0	Q91W78		Q641Z6	Q6NWC6	P61207	B9EJI9		Q9IBD1	Q6ZQE4							
P08548	A2BFP5	O42197	Q02391	Q5XF89		Q9BXJ9	O43306	A2RSY6	Q6PFL0		Q7ZXY0	Q6NRV0							
Q6PGY5	Q1XHU0	Q5R4X8	Q3SZF2	Q8N6F8		Q8K310	P70076	Q9H299	O95639		P33611	Q9TTU2							
Q5U538	Q99068	Q6MFZ5	Q4LDD4	Q6DH46		Q6P2L6	Q7ZVJ6	Q9UM11	A0A1D5P556		B0R160	Q01888							
Q05B87	A7YWU3	Q6PD74	P56497	P0DTE4		Q8N3J2	O42097	Q9Z2D8	Q5U3Q6		Q6ZN57	Q8IZ69							
A7E2Z2	F1QXD3	Q98T91	Q9C0K3	Q9BRQ3		P58797	X1WER2	P0DOY1	P59015		Q6ZRS2	O75607							
Q5ZLC6	P24668	Q7ZVK4	P31228	P48055		P35072	Q6DFC2	Q9TUQ3	C3KHG1		E7F5E1	Q9I8J6							
Q7SY21	P04323	P11369	P98107	Q9Y6F6		Q9JJF6	Q2KHY5	Q5XGS8	Q96MB7		P51892	Q4SBY6							
Q5F3N0	O54783	Q9CZP0	Q15797	Q0VH32		Q7SXC6	F1Q8J0	O70628	P21328		Q8NCN2	O88618							
E1C656	O35716	Q32PP3	Q7Z3T8	O42410		Q8N806	E9QI36	Q5BJC1	O95372		A5PJX7	P28048							
Q64008	Q9P215	Q9Z1N0	O88582	Q9QYN5		O75815	Q0V7M8	Q61985	Q9NRZ7		D3YVF0	Q767M3							
Q32NM7	O09178	Q13231	Q7ZYZ7	Q567Y6		Q68F79	P81600	Q5E9I8	Q5ZMN0		Q503X2	A1A4R8							
P17036	Q9P215	Q3B736	E9QAG8	Q5R5U3		Q95229	Q7SXE8	Q9UPW8	O75154		P35031	Q9UA35							
Q5W1J5	P30049	Q6NY64	P55196	Q9Y3R5		Q2KHR2	Q5ZI13	O02751	P14381		Q7T3C7	Q92089							
Q29RZ4	Q60716	B5DEI4	O15297	Q9BXI6		Q6DRI7	P81004	Q91974	P04466		Q80YV2	Q6DI37							
O00370	Q3T0I2	P60003	O00370	O42596		O93428	Q5U3W0	Q9P1Y5	Q5ZLX4		Q5U3W1	Q99PD4							
Q5EAD0	Q9NZH0	P24399	Q9NXE8	Q4V8B2		Q7Z699	P50475	Q5SVR0	Q8NBK3		Q92536	Q2KIN3							
Q64028	Q503W7	P42125	Q96MH6	Q6AZB8		P68252	Q9JJ80	F4IJK6	P79762		O54947	Q5NVP9							
Q499D0	B3DJT0	Q7TMA5	P56695	Q9Y2I9		Q9R1K6	Q5HZY0	B2GUE2	Q504E7		Q9BVS5	Q1LXS2							
P24854	Q811J3	Q8VEE0	Q502E5	Q5EFX7		Q9GZR1	P55010	Q9PTH3	Q5XIU9		O43150	Q7T292							
Q6GLY8	Q7SXR3	Q6TEQ0	Q9M2U3	Q99087		O95198	Q69ZA1	Q9HCK4	P08428		B5DFC9	Q7ZVP8							
Q4V8E0	Q02366	Q9DHU2	Q1KKY0	P80204		Q7SYI5	P35072	Q62689	A0JN95		Q0V947	P11488							
