Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GM17_trimmed_clipped_R2_paired	GM17_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6893214.0	0.0	1-150	45.0	85.58757913213645	136.01914302965207	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM18_trimmed_clipped_R1_paired	GM18_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7485726.0	0.0	1-150	45.0	86.74588929477552	138.80601053257894	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM18_trimmed_clipped_R2_paired	GM18_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7485726.0	0.0	1-150	44.0	86.30771147252904	136.164654169816	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM19_trimmed_clipped_R1_paired	GM19_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10013899.0	0.0	1-150	45.0	84.31300804807564	138.54796428444106	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM19_trimmed_clipped_R2_paired	GM19_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10013899.0	0.0	1-150	45.0	83.5869355360182	137.25087910313457	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM1_trimmed_clipped_R1_paired	GM1_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8293867.0	0.0	1-150	45.0	85.75595649264915	139.4873282872754	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM1_trimmed_clipped_R2_paired	GM1_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8293867.0	0.0	1-150	45.0	85.4802457662694	136.0444606840211	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM20_trimmed_clipped_R1_paired	GM20_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7239270.0	0.0	1-150	45.0	87.42501693902443	139.03226637492455	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
GM20_trimmed_clipped_R2_paired	GM20_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7239270.0	0.0	1-150	45.0	86.99792792379625	137.06544803550634	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM21_trimmed_clipped_R1_paired	GM21_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7368955.0	0.0	1-150	45.0	86.045630025673	138.60947882026693	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM21_trimmed_clipped_R2_paired	GM21_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7368955.0	0.0	1-150	45.0	85.5402537891549	136.06694911286607	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM22_trimmed_clipped_R1_paired	GM22_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6690376.0	0.0	1-150	45.0	86.6411793593781	138.55972026086425	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM22_trimmed_clipped_R2_paired	GM22_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6690376.0	0.0	1-150	45.0	86.2147569369908	136.7450261390391	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM23_trimmed_clipped_R1_paired	GM23_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6911182.0	0.0	1-150	45.0	86.04619816236332	138.59977019849862	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM23_trimmed_clipped_R2_paired	GM23_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6911182.0	0.0	1-150	45.0	85.6211428654926	137.20022305880528	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM24_trimmed_clipped_R1_paired	GM24_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8425357.0	0.0	1-150	45.0	85.55876808486444	138.8176584090146	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM24_trimmed_clipped_R2_paired	GM24_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8425357.0	0.0	1-150	45.0	85.04611400378661	137.66067004638498	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM25_trimmed_clipped_R1_paired	GM25_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7647747.0	0.0	1-150	45.0	86.60448647054068	139.21774739671696	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM25_trimmed_clipped_R2_paired	GM25_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7647747.0	0.0	1-150	45.0	86.06859216309297	136.82380902506318	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM26_trimmed_clipped_R1_paired	GM26_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8931987.0	0.0	1-150	45.0	85.22960202246811	138.74101977533107	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM26_trimmed_clipped_R2_paired	GM26_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8931987.0	0.0	1-150	45.0	84.57730605110285	137.84239150818289	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM27_trimmed_clipped_R1_paired	GM27_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7347160.0	0.0	1-150	45.0	86.75392151869268	138.4554249533153	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM27_trimmed_clipped_R2_paired	GM27_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7347160.0	0.0	1-150	45.0	86.22470274152515	136.77719894489843	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM28_trimmed_clipped_R1_paired	GM28_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9097834.0	0.0	1-150	45.0	86.5806326331761	139.78174728182555	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
GM28_trimmed_clipped_R2_paired	GM28_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9097834.0	0.0	1-150	44.0	86.04434372352733	137.6109866370391	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM29_trimmed_clipped_R1_paired	GM29_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7381591.0	0.0	1-150	45.0	86.00018378620497	138.77030683493572	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM29_trimmed_clipped_R2_paired	GM29_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7381591.0	0.0	1-150	45.0	85.46058072374205	138.1128634734707	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM2_trimmed_clipped_R1_paired	GM2_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6707330.0	0.0	1-150	45.0	86.64144498716993	139.1715040112832	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM2_trimmed_clipped_R2_paired	GM2_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6707330.0	0.0	1-150	45.0	86.26282820067274	135.9515304897776	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM30_trimmed_clipped_R1_paired	GM30_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7937284.0	0.0	1-150	45.0	86.25741045486087	138.75328575870537	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM30_trimmed_clipped_R2_paired	GM30_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7937284.0	0.0	1-150	45.0	85.66913665820842	137.41565200388445	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM31_trimmed_clipped_R1_paired	GM31_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7281087.0	0.0	1-150	45.0	85.91230905421753	138.73825817491263	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
