ABLG,AlternateID.s.,CommonName,Phylum,Class,Order,Family,Genus,SpeciesName,Authority,DonatingLab,Collector.ind.,CollectionDate,CruiseID,HaulID,StationID,Equipment.Gear,Locality,Region,StartLatitudeDD,StartLongitudeDD,EndLatitudeDD,EndLongitudeDD,Depth.m.,Temp.degC.,Habitat,Length.mm.,Weight.g.,Age.yrs.,Sex,IdentifiedBy,ReceivedAs,OriginalPreservation,SpecimenLocation,SpecimenPreservation,TissueLocation,TissuePreservation,DNAextracted,ExtractionDate,ExtractionPlate,ExtractionWell,X.DNA.ng.ul,ExtractionVolume.ul.,DNAng,ExtractionGel,DNAquality,DNAlocation,Remaining.DNA.ng.ul,RemainingVolume.ul.,RemainingDNAng,Method,PrepDate,SeqPlateName,i5barcode,i7barcode,MiseqDate,MiseqRawDataLocation,NovaseqDate,NovaseqRawDataLocation,BioProject,BioSampleAccession,Publication.s.
1948,"HS04-70,PCod2004_HcteSt_70",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,F03,118.63,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N507,N708,,NA,NA,NA,NA,NA,NA
1949,"HS04-71,PCod2004_HcteSt_71",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,G03,96.28,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
1950,"HS04-72,PCod2004_HcteSt_72",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,H03,118.67,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N521,N720,,NA,NA,NA,NA,NA,NA
1951,"HS04-73,PCod2004_HcteSt_73",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,A04,59.9,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
1952,"HS04-74,PCod2004_HcteSt_74",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,B04,111.9,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N517,N721,,NA,NA,NA,NA,NA,NA
1953,"HS04-75,PCod2004_HcteSt_75",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,C04,98.1,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N515,N718,,NA,NA,NA,NA,NA,NA
1954,"HS04-76,PCod2004_HcteSt_76",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,D04,97.04,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
1955,"HS04-77,PCod2004_HcteSt_77",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,E04,88.8,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N508,N708,,NA,NA,NA,NA,NA,NA
1956,"HS04-78,PCod2004_HcteSt_78",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,F04,116.1,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N520,N721,,NA,NA,NA,NA,NA,NA
1957,"HS04-79,PCod2004_HcteSt_79",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,G04,188.79,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N503,N703,,NA,NA,NA,NA,NA,NA
1958,"HS04-80,PCod2004_HcteSt_80",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,H04,158.35,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N510,N721,,NA,NA,NA,NA,NA,NA
1959,"HS04-81,PCod2004_HcteSt_81",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,A05,92.82,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
