""	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"852"	"LOC132460740"	59.5813754638966	0.804480408341719	0.205333594490337	3.913180565264	9.10883705122526e-05	0.000717722923764659
"853"	"LOC132460725"	18.1669503697055	-0.789079746788032	0.193848123648438	-4.06636410810851	4.7752308968749e-05	0.000427853609574226
"854"	"cars2"	78.6205261243774	0.596428269056422	0.10104095361076	5.90110494774245	3.61075122325673e-09	1.39673485985499e-07
"855"	"LOC132461139"	210.863994303789	1.00786161090028	0.277399393576977	4.12676563294091	3.67900993030128e-05	0.000344530135887349
"856"	"LOC132460692"	46.6839783374072	-0.681156595456997	0.247341582152958	-2.75331972677262	0.00589942505277325	0.0205855920427008
"857"	"LOC132461141"	219.648538314241	-0.831082943753924	0.212742058362405	-3.90655894946178	9.36198114636288e-05	0.000733240714987593
"858"	"LOC132460631"	38.9445051202886	1.02915630276176	0.225344304314704	4.55912202784263	5.13679184991045e-06	6.68889610186723e-05
"859"	"LOC132460748"	45.5361939561475	1.59429097378087	0.242763500999974	6.54952547595182	5.772019423167e-11	3.54783532849409e-09
"860"	"sts"	543.926540184929	0.696810864197524	0.168851018756723	4.12646504412	3.68381968028813e-05	0.000344757988917804
"861"	"LOC132461241"	11.5003707142303	0.673172373736935	0.233698607404363	2.88237047337369	0.00394695371439237	0.0149560668307396
"862"	"LOC132461247"	29.8710366518956	-0.590384062433978	0.207227531047771	-2.84705309083701	0.00441260026852353	0.016382047652001
"863"	"LOC132460657"	761.170606549684	0.793993279975827	0.20195207227653	3.93186174501022	8.42905395527067e-05	0.000672562467960156
"864"	"LOC132461255"	18.4816811799678	-0.732492479191991	0.266474064033408	-2.75131874000131	0.00593558582483644	0.0206588424367929
"865"	"slx9"	111.211503045564	-0.597576383796697	0.16110479866339	-3.7097377135669	0.000207474075337407	0.00139917198365617
"866"	"runx1"	22.5482564673603	-1.11427980910163	0.197588195988549	-5.62602231742584	1.84412497816121e-08	5.82807776322582e-07
"867"	"LOC132460654"	22.6161914701095	-0.959191460101586	0.282104497675397	-3.40608747795663	0.000659010596535656	0.00357869286600559
"868"	"plaat1l"	52.1303494902771	-1.08423535807261	0.223695681814993	-4.84472114043064	1.26789629307894e-06	2.11890594785749e-05
"869"	"LOC132460747"	12.6304573280872	0.798444095464974	0.280117656337475	2.84380688918759	0.00445780567616603	0.0165214433159081
"870"	"si:ch211-132g1.1"	75.2845798548249	-0.712300974251412	0.176241017551319	-4.04192251871148	5.30147514606565e-05	0.000465515729230195
"871"	"atg13"	392.365757077857	-0.607336605103382	0.180683621487303	-3.36162878428403	0.000774842144635438	0.00409615894682276
"872"	"LOC132460714"	14.6973678388362	0.705317148973631	0.262458137435254	2.68606476868647	0.00722990723732518	0.024159648556701
"873"	"kcnj15"	20.7699308830348	-0.814645318841104	0.230201388989886	-3.53882985128261	0.000401904813847153	0.00239229841184522
"874"	"psmg1"	277.892085569923	-0.813322774015825	0.212040787621409	-3.8364930735813	0.000124803714273729	0.000920387737292685
"875"	"ppm1e"	10.41999305648	-0.605266283432512	0.220650294603399	-2.74078150446328	0.00612932518958434	0.0212149823908639
"876"	"aff4"	484.366563578613	-0.760176137861835	0.16199921786327	-4.69249513238772	2.6989295866588e-06	3.95461339233056e-05
"877"	"LOC132461369"	110.216854888879	0.803044606860678	0.288862185481136	2.86246422450244	0.00420360713577084	0.015756466437078
"878"	"kiaa1191"	337.844334477043	0.719989851608908	0.153744491821567	4.68243616989967	2.83485475930279e-06	4.11357610207428e-05
"879"	"LOC132461471"	18.8545231347968	-1.10231642165687	0.237723615762468	-4.62976844902382	3.66074857503441e-06	5.0840481806728e-05
"880"	"srrt"	634.639600653921	0.852717483435814	0.151880949358258	5.6137588934609	1.97978026176141e-08	6.20274135574753e-07
"881"	"gnb2"	149.941616846721	-0.603441859991072	0.167639302628582	-3.59974076392816	0.000318534582501676	0.0019925237834279
"882"	"tm4sf21a"	518.322386637767	-0.66363646390618	0.173735552396284	-3.81969004950922	0.000133619473347516	0.000975230713848138
"883"	"f11r.1"	1734.36288246105	0.830119753846337	0.136609295935276	6.07640856875457	1.22904027619881e-09	5.37001754413854e-08
"884"	"adamts15a"	21.3112541712829	-0.93191736079858	0.257899431637933	-3.60738845794275	0.000309294430382887	0.00194901173203048
"885"	"LOC132461542"	206.364471207607	-0.963562561173168	0.145174593153744	-6.6362803645587	3.21697693616144e-11	2.10204808270081e-09
"886"	"LOC132461541"	2703.66028875627	-0.738415488177435	0.0985937679208892	-7.48943302366636	6.9171771294922e-14	9.039691120758e-12
"887"	"atp5l"	4119.07966015255	-0.641231990952542	0.194566849098805	-3.29585998837608	0.000981209029901322	0.0049475716877674
"888"	"LOC132461532"	23.4767446898197	-0.953644850496149	0.24163612222747	-3.94223756295709	8.07249590225375e-05	0.00064947102361671
"889"	"LOC132461556"	46.8098650195764	-0.853781618710926	0.186267258493173	-4.58120446642155	4.6230556923616e-06	6.14101396484268e-05
"890"	"LOC132461557"	34.6146003922172	-0.886300673609623	0.148627810504835	-5.95718521534228	2.56619356653119e-09	1.01986859934525e-07
"891"	"LOC132461570"	18.2310923964701	-1.10415731417684	0.264647547916195	-4.17194679725361	3.0200816282124e-05	0.000292062027325661
"892"	"kif20a"	20.2992917907651	-1.12668257405884	0.23737114794053	-4.73422818081381	2.19890239276757e-06	3.31572537520648e-05
"893"	"b4galt4"	185.130519095553	0.611221783656782	0.0876989961972973	6.96876283052204	3.1974018968357e-12	2.8454915285582e-10
"894"	"LOC132461584"	13733.2587286024	-1.24437513660872	0.239630376350814	-5.19803953488461	2.01401300498294e-07	4.4946573308127e-06
"895"	"prdx4"	1051.00511853386	-0.63331999368835	0.167960013722348	-3.7706519158125	0.000162821649066102	0.00114933860893084
"896"	"phldb2a"	45.0734944857968	-0.682814044713028	0.175841107921383	-3.88041054739201	0.000104280293134278	0.000796571844236882
"897"	"wdr44"	235.844776137547	0.742847561647937	0.16952173503402	4.38092322627483	1.18177508704138e-05	0.000133407232783052
"898"	"LOC132460930"	78.3141230619456	-0.671236866632687	0.25486519388669	-2.63488326915387	0.00841662226080862	0.0271495491472737
"899"	"cct6a"	1080.14342689688	0.690813361959808	0.161523901594546	4.27686820682295	1.8954093742844e-05	0.000199962242788141
"900"	"mrps17"	141.587634779754	-0.730644606147929	0.188407204712914	-3.87865265476829	0.000105036605150812	0.000801926839114564
"901"	"LOC132460900"	9.57356669149186	0.709083122804319	0.232809395570108	3.03536302282972	0.0024024632413727	0.01006938219571
"902"	"LOC132460813"	147.158948947298	-1.15388810266317	0.193554860408778	-5.95975733770506	2.52612767452078e-09	1.00947680569142e-07
"903"	"crcp"	255.734956201217	-0.918084319140468	0.204910259189327	-4.48140593475203	7.41529150663197e-06	9.03917803321036e-05
