Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
P21328	P27361	O75879	P17036	Q99J21	P14381
Q9BX26	Q9QYT7	Q9H773	Q501J6	Q91W92	Q9QZS5
O95685	Q6YND2	P53350	Q8MJV0	Q501J6	E1C2V1
P98064	A1A5Y5	O35716	Q6PC60	Q5F3I6	Q9CWL2
Q40375	P13623	Q6DC61	Q5XIY2	Q60780	O94985
Q9CWL2	A0A0R4IBK5	Q28BQ6	Q9UQ35	Q3MHJ7	Q6NUF4
O35787	Q8VCS6	Q8VCH2	P35072	Q91453	P0DTE5
Q9Z2K0	Q02290	P02554	Q6BEA2	P15941	P49718
P0DTE5	Q15546	Q9CX53	P00514	Q6AXJ3	Q9PUN2
Q5ZHN3	Q9I8F9	P46199	O15403	Q98989	Q65WT0
P35623	Q9I8F9	P42695	Q5MNZ9	Q9BUU2	O08583
Q6NY73	Q6PFM0	Q5U378	P04323	Q6DC04	P02264
O54790	Q8BJ51	Q8R2E9	Q7Z698	A1L251	P51830
Q6EMK4	Q8CGS5	B1AVY7	Q6AZB8	P14381	Q9NZH0
Q9JL56	Q568E2	P08579	Q0VCM6	O00370	Q8K4L3
A5D8S8	O92815	Q9Z0R0	P49767	Q14140	Q6AYS5
A5D6R3	A4IGH2	Q9YHB5	F1QPC3	O88989	Q8VHS5
Q8K4L3	P52815	P27089	Q01484	P49767	Q99759
Q9H2F3	P30883	P52429	Q64487	P16884	P14222
P14222	P25685	Q14258	Q2HXW4	Q9NUV9	Q8N4B1
P62870	Q4QQY7	Q14258	Q86UP8	Q7TQF2	Q9UNF0
O13082	Q6PCB7	Q9BX93	P48303	O95477	Q9MYP6
A0JMZ4	Q66L58	B1AR13	Q9Z1N0	Q09666	Q90YU1
Q9CXF4	Q6ZN11	Q6R2W3	Q9D952	Q91WQ5	P28799
Q90YU1	A5PMF6	Q8VCW4	P57682	Q91WQ5	Q6NYX6
Q6NYX6	Q9BSY4	Q9D662	Q5ZLK8	Q66I85	Q588U8
Q588U8	Q9EPE9	Q6NS46	Q11212	P14380	O42146
P43242	Q9N126	Q8K4Y7	P20595	Q6DH86	P27361
Q92090	Q9NQ55	Q8JFQ6	A4IHB9	Q7YRC1	Q8NEG4
B1AQJ2	Q92072	Q8JFQ6	Q86UE6	Q96M86	P02457
O42146	Q9I8K8	A6QQQ9	Q96M86	Q8JFR5	P0CF74
Q65Z54	Q96HP0	Q9ESN5	Q60935	Q9WVS9	A6H8I0
Q28658	A0A1L8EYB2	Q17QJ7	Q9Y2H9	Q14558	Q02290
Q80ZH1	Q9H9P5	Q99LG2	P04323	Q5XGS8	Q02366
A4FUD4	P0DP54	P21328	O75689	Q7LHG5	Q5M862
P02457	P16423	Q7RTR2	O08858	Q8NEG4	Q8N957
P06350	Q5RD64	P17289	Q08DZ3	P00504	Q15546
Q6INU8	Q6PFL6	Q8NFH4	P00348	Q6DHQ3	Q91233
A1L2F6	A0A0R4IXF6	Q1RMA6	P0CB94	Q9CQX5	Q9I8F9
P35276	P0CT39	P62321	Q80UM7	O94988	Q6NY34
Q803Q2	Q14558	Q6NZS4	Q9NWM0	Q15034	P48960
Q9Y663	Q8IXL6	P80513	Q5SZK8	Q15034	P55918
Q9JM96	Q80Y17	Q8BZ36	Q96QV1	O60763	P55918
P34993	P55039	Q9NBX4	P23356	Q6DDT5	P55918
P0CF74	P56213	Q6MFZ5	Q499E5	Q13480	Q9R045
P0CF74	A2RRU1	Q62158	O70209	Q6PGN3	Q92072
P0CF74	Q9XS59	Q6MFZ5	Q9BGL2	O75879	Q8IY67
Q28DR4	Q96QU8	Q91431	A7UA95	Q7ZW77	Q91584
Q3SZA2	Q501J2	Q9H0J9	Q13588	Q8AV28	P84610
Q8R478	Q96RE7	P09960	Q80VC9	Q0PV50	Q9BV90
Q7ZU13	Q91V92	Q9H0J9	P40426	Q98989	P0DP54
Q9I8F9	A8KBL7	Q9H0J9	Q05793	A7UA95	P16423
Q9UJ37	Q5DU09	Q5RCY2	A5PMF7	O95872	P41115
Q6DJF8	O08810	Q9UKG4	Q6GV29	P10253	O35047
Q3UCQ1	Q4QY64	Q8K009	Q9DAA6	Q05793	Q6NZI2
Q8BW74	Q6DBY0	P19971	P43367	Q7ZV46	P23735
P35072	Q8BMI3	Q99N42	O43815	Q9NZH0	P23735
Q2TBK5	Q498Z6	Q5RGE5	Q9QXV1	P21894	P23735
O97817	O97676	Q5RGJ5	Q8VI51	O43815	P79737
P48960	Q12788	Q6TXF1	Q9UPU3	Q8R2E9	P35072
O00482	Q2HJ98	Q7L273	Q16690	A3KP37	Q501J2
P55918	Q6P963	Q6NYK8	P17077	B1AVY7	Q2M2S8
Q9UM47	Q1ECZ4	B5X1P9	Q92503	Q5FWF7	Q6DGL2
P20908	Q8JFQ6	Q6DG38	Q8N8Q3	Q5R4X5	Q96AY3
Q1AGS4	Q08CK7	P11607	Q62443	P18720	Q64375
P84610	P83917	Q9ULZ9	Q9NXE8	Q8NF99	P05106
P84652	Q6DG60	Q64057	P55197	Q8WYQ3	P21329
P70389	Q5R8W6	Q8K382	P24854	B8JKF4	Q4QY64
Q6P7G9	Q5EA53	Q01105	Q6P2T7	Q9JID1	P61959
Q5RCQ5	A9JRZ0	Q16513	Q99068	P04323	Q90YK8
Q9JII7	Q61656	Q7ZWD4	Q5ZJ24	Q9NR45	Q90YS3
A2VDL9	A2A870	P35270	Q8HXQ5	Q9Z2C9	Q802G6
Q8CFD4	Q91550	Q6PFP6	O88572	A0JMQ7	Q2HJ98
Q8JHF2	Q99J21	D3ZKX9	Q8CC36	P52429	Q8TBP0
P41115	Q5ZHZ0	Q92162	Q5ZM35	Q9NBX4	Q8IWB9
Q9UPR0	P70106	Q4V9L6	Q15399	Q14258	P04409
Q9JJ28	Q9EP80	Q9D7P7	Q01635	Q6P2T7	P49842
P23735	P21329	Q64380	Q0P3X8	O95785	Q5HZT0
P23735	Q5SUC9	Q5R748	Q63538	Q5ZIL4	O43808
P23735	Q60780	P26325	Q924C9	Q6NS46	Q1ECZ4
Q5R8D8	Q5D014	Q5R685	O42224	Q15542	P85291
Q8CE33	Q66J36	Q5ZMF3	Q5RH71	Q8JFQ6	Q90303
O42596	Q29S22	A4Q9F4	Q5R8M1	Q3SZD5	P50616
Q9CZV8	Q6P0D5	Q8R3K3	Q4ACU6	P21328	P08520
P05106	Q56A18	Q5RBW0	Q8N567	A0ZSK4	P48960
P49366	Q9UQ35	P70318	P0C605	Q7RTR2	P52292
P22670	Q5U316	E9Q4S1	Q9H4A6	Q1XHU0	Q96PD5
Q9UHD8	Q8BZQ7	Q8VBV3	P50151	O88572	Q99087
Q90YK8	Q8BG32	Q5SVZ6	Q8BLD6	Q7RTR2	Q04202
Q8IWU2	Q14596	P35072	Q9CWB7	P80513	Q9EP80
Q9DBJ3	Q5F3J5	Q8BU03	A0A0G2KTI4	Q7RTR2	P17036
Q2TBT8	Q91453	Q5R6Z7	Q5FVB2	Q15399	Q569C0
Q90YS3	Q7Z6E9	A4UGR9	Q99999	Q5NU14	Q9UKL6
Q802G6	Q8NDV7	Q6NX08	Q2NKQ1	Q1L8F9	Q5SUC9
P70699	P33076	Q6MFZ5	P07314	Q6MFZ5	Q8MJV0
Q5PR68	Q3KQF0	Q7RTR2	Q9QWE9	Q91431	Q6PC60
P04409	Q8AV13	Q7RTR2	G3XA57	Q95235	P62832
P49842	P04388	Q7RTR2	P98070	P10401	P35072
Q09575	Q99PD4	Q7RTR2	Q08BU8	Q9UKG4	Q6BEA2
P61082	Q6A4J8	Q7RTR2	Q9DBX3	A4IFA3	Q8NDV7
P85291	Q6P1R4	Q1XHU0	Q9WUM4	Q96LU7	P49947
P61220	Q96Q15	Q6MFZ5	P14381	Q8VEM8	Q3KQF0
Q61985	O88696	Q1XHU0	P16636	Q9NQZ8	F1QIK8
Q1KKY0	Q6DC04	Q6MFZ5	Q8VD33	Q8VEK6	P04388
P04146	Q5XIT3	Q1XHU0	Q6UXZ4	O42354	E9PYL2
Q7ZYS1	Q9BSF4	A0ZSK4	Q9UHF1	Q28EB4	Q5U3S7
O92815	P18127	Q5DU56	Q9JI03	Q5RGE5	O15403
P08520	Q8K4T1	Q1XHU0	Q6P730	Q9BU79	Q5MNZ9
