Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Upregulated	Cool_Downregulated	Warm_Upregulated	Warm_Downregulated
Q9Y4X4	P62321	P15311	A2A9F4	Q6PFR5	P15144	Q29473	A7MB43	Q503N2
Q14765	Q9H0J9	P78536	Q91453	Q5XG87	Q91WM2	Q8C828	Q0V7M8	Q91W90
Q9JJ74	Q924C9	P51955	Q9HCB6	Q9UM01	Q803M5	P15205	Q498L0	Q04906
Q2EMV9	P30349	Q6ZPV2	P70459	Q9NV58	O94986	P0C548	B5DGM4	Q9IA31
P14778	Q9H0J9	Q922R8	P52293	Q8NB78	Q9Y6N5	Q80WM5	Q27J81	Q5R628
Q63918	Q4ACU6	F1R3W0	Q5TJE2	Q503C8	Q8HZK2	F1QLY4	P59692	P04818
A6NK06	Q08BH7	Q7RTR2	C0HBB2	Q9NWF4	Q78ZA7	Q9QY33	Q05858	P60868
Q9UKT7	Q99N42	Q5T160	P15979	Q06180	Q5PRA2	Q9W7E7	Q5SPB6	Q9HCI7
A2TJ54	Q9Y2H1	Q5RDU7	Q9BD50	Q6AYL5	Q6DRL4	Q6PBN5	Q96BY7	P50591
F1QCN0	Q99N42	Q8IVF5	Q9BD50	F1RBN2	E1C1U1	Q61239	F1RAX8	Q00342
Q7TPH6	Q9Y264	Q5SPR8	P28064	Q1LXS2	E7EXZ6	Q6AZD1	P48722	A1L259
Q5U3S1	Q7RTR2	Q6DHU8	Q803H4	P52758	Q02241	Q9UL19	P20650	B3SRQ2
P13834	Q7RTR2	Q7T312	Q92506	Q63871	Q0IHP2	Q5RED5	Q98SW2	Q9PTJ6
Q8AXQ3	Q641K5	P07099	B3DHU2	Q5ZI04	A5WWB6	Q921G7	A0JNK3	O55137
A4QP31	Q08477	Q5TZ51	A7KII6	Q80UN9	Q8VDF3	P10072	Q4V8C3	Q5XK92
A0MS83	Q6MFZ5	Q27J81	Q61510	Q6DHU1	Q5R511	Q5DRB8	Q6QHC5	Q8N4T0
Q1LUV9	Q6MFZ5	Q2Q0I9	O76095	Q6PE01	Q2Z1W2	Q6RY07	O00423	Q9BWV1
Q61371	E9QAG8	Q9NZN3	B3EX61	Q9NP64	Q13151	Q91Y13	P22061	Q99LE6
P20768	Q3MHM8	Q8K4K3	P79955	Q60972	Q9UMS4	Q2QCI8	Q497V6	Q6P9Z1
Q9Z2K8	Q5RH01	Q53H80	Q6PCJ9	Q9Z148	Q3ZBR7	Q4AEH4	Q7T163	Q9I8U0
Q99P31	B0FPE9	Q8K0L0	Q5XLR4	Q91398	B1AXP6	Q0MW30	Q8BH86	Q9R0B9
Q8N3U4	P26043	Q62446	Q6GLQ4	Q3ZBX6	Q8NBS3	P28562	Q5NVI6	P51397
Q9Y5P8	Q6MFZ5	P26990	Q9H3M7	Q0VIA1	Q5U3W1	P60892	Q62728	Q9DE46
Q6P0V6	Q62158	E1BZR9	Q61003	P07356	O88958	O43895	Q52LJ0	P11246
Q13042	Q6MFZ5	Q80U58	P34275	Q5M7V8	Q8AYS7	F1R013	O88509	D4A6L0
O42410	Q5R5U3	Q02224	Q7YRQ8	Q5ZKB9	P45592	Q5NBY9	Q80YG3	Q0P6D2
Q2KJ96	Q568N3	Q06609	Q9QYL8	Q08170	P97779	P18625	Q969H4	Q6DBX4
Q02040	Q70I47	Q5RII3	Q90YV7	A0A2Y9HKB5	Q13451	A2CEM9	Q9WU60	P48674
P47872	O13076	O13019	Q6PFD5	Q5E9K0	Q6NW76	Q08881	Q7ZU42	Q5I4H3
Q9PRL8	O70589	O43278	P04066	Q8K2Y3	A7MC22	D3YY23	Q00765	P07228
Q8IXQ6	O15550	Q92769	O93484	Q8K135	Q9BEG8	Q7Z2H8	Q8CDJ3	P20456
P80931	O95819	Q8NFF2	P01130	Q9R101	P56597	Q98TF5	Q00IB7	Q9UKL6
P18291	Q9CQT9	Q5RHZ2	Q503N2	Q2TB18	Q8BQX5	P79749	Q96M32	P47897
Q9IA88	Q9H5Z1	Q5RAH8	P48303	Q9NZW5	Q99638	Q6V0I7	O46640	P51812
A8WG43	Q9JHI0	Q96IP4	A8Y5H7	Q90XW6	Q7ZW41	Q9Z0Z6	O35231	A0A0R4IKU3
Q6GMK8	Q7RTR2	Q9BQL6	Q8K1N2	Q64261	O76094	F1R0H0	Q687X5	Q8IZU8
Q96QU8	Q4U5R4	Q91XQ2	Q9R1Q8	Q3U2A8	P20248	Q06AA1	Q687X5	Q91ZX1
Q9R1C7	Q8BZ36	Q8C131	Q2KIA9	Q6NZ06	Q7ZUG0	Q8TAB3	Q6R3M4	Q15382
Q5BL35	Q15399	Q5TYV4	Q9WTU3	Q7ZWS1	P07222	Q9Y2T4	Q8BP86	A1K5T6
Q8BG16	Q0P4Y8	Q6NWF1	Q5U2V4	Q1JPY5	Q7ZVE0	Q6IR74	Q91474	Q9D4P0
A2AR02	Q6DFQ7	P26617	Q28056	Q99551	P26038	O95487	Q7RTR2	P15086
Q0VFZ6	Q6MFZ5	Q66KG0	Q62867	O35685	Q5BLG4	P25114	Q96GD3	P25095
Q501J2	Q6MFZ5	Q9QXQ1	Q9BWT7	Q9H0R3	Q5I0K7	P28345	D3YZF7	P08217
Q5ZL72	Q91431	Q7T047	Q58NQ5	A9JRZ0	Q17QK6	Q9BQI4	Q1LYL8	Q5R7A7
Q567E6	Q62158	Q9Y6C2	P12965	Q5U462	E9QI36	Q68EZ2	Q9DCW4	P38405
Q9QYW3	Q9UKK9	P51915	Q5I0R6	Q8NFY4	Q9WU79	Q0V9V9	O70437	Q6AXL3
Q8HZU0	Q8K009	Q9NU02	Q00342	Q5VZK9	P09244	Q5MD61	Q98989	Q13946
P13439	Q86UF1	Q9UHF4	P0C862	P17844	P49696	Q13884	Q5M9G6	O60896
Q8NBP5	Q5RGE5	F1QDI9	A1L259	P15396	Q61510	Q6RI88	Q4R3K5	Q863I2
P51689	Q5RGJ5	Q6ZM28	Q9CW07	A0JMQ0	Q66I84	Q9YHV4	Q03637	Q2TAW0
Q3T0Q8	Q6TXF1	Q9I8F4	Q7T339	O55166	Q9D8N6	Q9UHC9	Q6PFP3	P49116
Q8QZV1	P0C605	Q1LUI2	Q9JHW6	Q6NXA4	P61214	Q5R536	Q6DJ55	Q6DED0
P48805	Q6NYK8	Q5RJA1	P10688	Q5RDG4	Q9H553	P80202	Q1LYM6	Q7SZU9
Q6P5E4	Q6DG38	Q8N103	Q9PTJ6	Q99J21	Q5RCA3	P97812	Q9NWZ5	P70669
Q7ZVE6	Q9H4A6	P61959	Q6PFT9	Q6P8M1	Q96MH7	Q8WMV3	Q96P11	Q96B97
A8WH74	P50151	Q7L0Q8	Q5XK92	Q15024	P33703	A8S6B6	B0BNL6	Q70Z35
Q6P995	P42285	Q96IY1	O14796	A2A870	B5DGI7	Q8TE73	P53666	Q8IZP0
Q5NC05	Q03669	Q06HQ7	Q1LZA7	Q8N1P7	Q6IP18	Q5R4I4	Q13247	Q96AQ8
Q7TSZ8	P27615	Q96D71	P04920	Q8BN82	O60239	Q96IP4	Q86XL3	Q8QFX6
Q9Z1W9	O14494	P14018	Q9I8U0	Q8NE71	Q9D9N8	Q6PDQ2	Q7RTR2	Q8IYA7
Q05AL1	Q8VCL5	Q32KZ1	Q9R0B9	Q767K8	Q9D0V7	P79832	Q7TPQ9	Q9H3S4
Q7T3E4	Q3KP44	Q6TGV7	Q96NR8	P05413	Q6DEY8	Q8N3R3	Q9Y547	O35206
Q5ZHW4	P49419	P36956	P70284	Q8VDW0	Q92122	Q4RSM6	O00451	Q86VV8
P08537	Q9CWB7	Q9ULI0	Q501J6	Q8N987	Q561R8	Q5NDE4	Q90VV1	Q6PKX4
P25686	Q5ZKK5	Q9H2Y7	Q922H2	Q64028	Q6DGL7	P18756	Q9Y2T3	Q64GA5
Q4SBY6	Q7ZWD4	P20807	Q9QZC4	Q8BXL9	Q4R7L3	Q0VCH8	Q02878	Q6UXF1
Q55EX9	Q01105	Q9WVK8	D4A6L0	Q6DEJ6	A2BGR3	Q2LE37	Q8IY37	O35586
Q92797	Q17QK8	Q2TAA8	O35254	O75496	Q07864	Q64591	Q32LQ4	P85835
P54277	Q6PFP6	O42097	Q0P6D2	Q96JG6	Q1XHU0	B1Q006	Q9Y485	Q5MNZ9
Q32LQ3	Q6NWX7	E9QCD3	Q6DBX4	Q8K3I9	O75943	P51639	Q63ZR6	Q66HY8
Q6IQE9	Q99999	Q9JL15	Q9I993	Q9CQ71	Q2PZI1	Q9Z1N9	O94941	Q61599
Q8N4C7	Q60928	Q3B7D2	P13388	Q96KP4	P35033	Q78T81	Q90375	P42694
B5X1G3	G3XA57	Q5QT17	Q14781	Q96KP4	P00375	Q8N8Z6	Q5T890	Q14542
Q93033	P08132	A9LMC0	Q7ZUK7	A3KP77	Q99575	Q16600	Q3UF64	Q8BTV1
Q61527	D3ZKX9	A4L691	Q5F3I6	Q9CZ91	Q91WC7	F1QB54	Q0V8A3	Q63633
Q91V92	Q4V9P3	Q2KIR8	B1H2T2	P62315	Q5RFP3	Q5R651	A8C754	P35580
Q3T099	Q92162	Q09167	O93274	Q9Y4A8	B9ENE7	F1SSF9	Q3B7D3	P14105
Q9R1V4	Q9DBX3	Q802G6	Q4V7Q8	Q5R6X7	Q07598	Q08E11	A5WUX7	P50533
Q91VY6	B0R0D7	Q91YE9	Q9BH05	P55204	Q8K3X2	Q8BLV3	Q499B3	Q27960
Q9D0N7	C3KJF2	P0CB74	Q5ZK77	Q91W90	Q8TCB0	Q9R182	O70405	Q5CZR5
Q6PBI8	Q9UHG3	Q9NZM3	Q6NWG4	Q5E9G3	P36551	Q6DCC6	Q9BXI6	Q32L47
Q5JPI3	Q01433	Q68EI3	Q91ZX1	Q5R628	O94826	Q9NUJ7	Q6GQ29	Q6NYD7
Q9Y5U4	P27986	Q5TYS0	P0CI65	Q9EP80	Q923G2	P36968	Q90478	O70237
Q8CE33	P26325	A0A0G2L7I0	G3X987	Q6PBK1	Q5T0D9	P54864	Q08CW8	Q90X99
Q8IZ52	P43346	Q9Z282	Q64181	Q6P4M5	Q9H8V3	Q5GIT4	Q6DGL8	Q7ZZC6
O46560	Q9UHF1	Q15573	B0V1P1	Q8SPI2	Q568L5	P97872	Q7ZUS4	Q90X99
Q9C0D5	Q3UHC7	Q5RDC3	Q502L1	Q6DGM3	Q9UJX5	Q9YI98	Q5F488	Q9DGJ0
P50135	Q9Y6N6	Q641M3	Q68DL7	Q4KML2	Q924S5	F1QMY1	Q5R8X1	Q5SZK8
Q5RB68	Q566X6	O00257	Q9NUL3	P27216	F1Q8K0	O75052	Q58WW2	Q95L55
Q9Y680	P23228	Q16363	Q9NTI2	Q3SZV5	Q5NVK5	P15253	Q2KIF8	Q5XIB5
B8JLQ9	P31483	Q8R3T5	Q9UPY6	Q6P9Z1	Q8TBF5	Q9Y5W3	Q98862	Q96QV1
Q5F3A2	Q9Z2I6	P59708	Q9H5I5	Q9D0D3	P13234	Q99928	Q66IE4	Q8C0G2
Q99615	O95263	Q8N8S7	Q4G0Z9	Q8TE73	P23919	Q7T3S5	Q5FWM8	O97831
Q802D3	P50757	Q8IWB9	Q9UM44	Q6DEL7	Q5ZKM1	P97318	Q7RTR2	D3ZEN0
Q6WVG3	Q6SA80	Q08BD8	Q96JM7	Q3SZQ2	Q8IZK6	Q7T320	Q96IR2	A6QLK6
A7MBJ2	Q3SZK1	Q3ZBE1	Q7RTR2	Q8AV61	Q62158	Q9UGK3	Q9XSC3	Q9NZ01
Q9DFQ7	P39060	Q8TBP0	Q6AXL3	Q8TEX9	Q9BT25	Q9D5R4	Q5R802	Q5XGY9
O95563	Q92052	Q8NG31	Q13946	P61220	P35249	Q5VXD3	Q8C2Q3	Q1LYG0
Q6P767	P43031	P24724	P30414	Q800K6	Q6P3H4	P51589	P40227	Q9H0H5
Q6PBU5	Q6UXG2	Q63186	Q562C6	F1QGW6	P35610	Q9ESG4	Q91309	P10587
P11279	Q9P267	O35608	P13667	O14841	Q6NZ07	Q13325	Q02874	Q6UXY8
Q3U962	Q5R6Z7	Q8N8E3	Q923M0	A6QLA0	Q5RF83	Q28691	P15428	D3YXG0
Q32PV0	Q9PTY0	Q6DI51	Q6P5D8	Q9QWY8	Q8IVU3	Q1RLQ5	O76061	Q6UFZ9
Q567G6	P22411	Q6MG77	Q5W041	P47897	Q5RG82	Q71N41	A8WGS4	Q6DG99
Q9CZV8	Q6NX08	A1L390	Q17R13	Q5RA42	Q4PLW0	O42449	Q9UMY4	Q5ZJ24
Q95LH1	Q9H5Y7	O43808	Q8IZP0	Q0P436	Q92611	P15103	O88721	Q9BEA9
Q08BN9	P13216	Q9WUF3	Q8IYA7	Q5SUC9	Q9UNS1	Q9XTA3	O75897	P48303
O60343	Q5FB27	Q62662	D4A631	Q9D1M4	Q9ERE6	Q9DCQ3	Q9NYA4	Q9Y2H9
Q6PHG2	Q764M5	P62634	O35206	Q8N0X2	Q6DV79	Q99490	Q5SWU9	Q8WYR1
Q9JKB1	Q9Y5X1	Q15375	Q8BZZ3	Q15382	O70157	Q8TAQ2	O02691	Q9QZK7
Q5NUA6	O75581	Q9NU22	Q5R454	F1R983	Q07116	Q60674	P08842	F1QPC3
P05106	P07942	Q99715	O75131	Q60780	Q9CQN1	P36896	Q92090	Q9W7R4
Q8BGC9	Q9H0J9	Q62158	O75131	Q5XKA2	Q8AY32	P18520	Q9JM13	A2RVA7
A8KBL7	Q6DHB1	Q9Z191	Q64GA5	Q3UA37	Q91727	P45433	P49843	Q5M9G0
P54923	Q9JIL5	P10687	Q64GA5	P24392	P56616	P19879	Q9UBS8	P57102
P16381	O94885	P08699	Q8BGQ2	Q2KMM4	Q28626	P70232	Q13009	Q6ZWQ7
Q9GZU5	Q5ZL00	Q6NS57	P85835	Q86U42	Q9Y535	E7FDW2	A3KGB4	Q64119
B3F211	P21872	Q8BVG5	Q568G4	Q9DBW3	P11966	O88737	Q7Z6Z7	O97827
Q5R9A7	Q5RDE3	Q9EQ20	Q5MNZ9	Q9BU02	P86397	Q08DA4	A4QNZ7	Q70EL4
Q9BZ29	Q3U5C8	A7XYJ6	Q9Z2D7	Q6PFJ1	Q6PF21	Q95N27	Q66I22	Q6GPW2
Q5DU09	B5DE31	O43524	P42125	Q5T2R2	Q803I2	Q9UKG1	O88792	Q6P0T2
P14100	Q28G71	P00787	Q9HB40	Q6P0D5	Q9WV85	Q6GMH3	Q91WA9	F1QGZ6
Q16829	Q8N4C6	P83205	Q16851	P41588	Q8R151	P51644	O60513	Q7TQG0
Q9GLP1	Q9EPX2	Q8WXH0	Q7Z698	Q29S22	Q8R151	Q99JZ7	Q9Z0E8	E7F9T0
A4IHG1	P27448	Q1LZ53	Q14542	Q9HAQ2	Q8R151	P31641	P69045	Q9DBN1
Q9NX57	Q49AM3	Q9DCT8	Q7SXW6	Q4H4B6	Q5ZM33	Q96NX5	O43306	P19367
O08810	Q96NE9	O43683	Q95LB0	Q2HJG2	P02264	Q4VYR7	Q96LW2	Q6DI48
Q9Z255	Q86VP3	C6KFA3	Q8K4M5	Q9Y3B6	Q7ZW63	Q60612	Q3ZCI9	Q98972
Q8AVH7	A1L2F3	Q8R537	P14105	Q8JH47	Q99PG2	O54790	Q09143	Q9Y243
Q68EK2	Q7M3E1	O15228	Q91WL0	Q6AZ51	Q9PV94	P42892	Q9H6U8	Q60591
Q8AXU4	Q08C93	Q14693	P50533	O54941	Q6NRV0	Q9GZN2	Q93034	Q91ZW7
E9PYK3	Q9NVX0	Q90515	Q8QGQ6	Q6PCS4	Q5R9X6	Q5RBA4	O88822	Q9NUQ7
O15550	Q16667	P35822	Q866Y3	P09653	Q9Y6I8	Q9JL58	P08108	P20595
Q6P3R8	Q66HZ2	Q9NQW6	Q99KW3	O60921	Q5R7L8	P41134	P08108	O75110
P14778	Q3T0C9	Q08CH8	Q4QY71	O15213	P43450	Q9GKN8	Q2M3D2	Q86UE6
Q01638	Q5R7U4	Q9C098	Q7ZZC6	Q61768	Q9Z2U1	Q80UJ9	Q9CUX1	Q6ZSZ6
Q7ZW24	Q91453	O95398	Q28ED6	O95427	Q99PW8	Q96KR7	Q2KHS5	Q9BQ16
Q6P268	Q503S6	B1WB06	Q96QV1	Q9NRH1	Q5ZIN2	Q9UBG7	Q9ULJ3	Q96JP5
Q9ULJ8	Q5SPC5	Q9PVE4	Q8C0G2	Q49LS6	A3KMV5	Q4VSN2	P57071	P97369
Q90ZY6	Q0II76	Q96P44	P70699	Q15417	P27093	Q6IND6	Q503Y8	Q29RV0
A8WHR0	Q7ZUS1	Q1ECZ4	Q99LL3	Q5RDH6	Q91820	Q6PHS9	Q8K4Q7	P51532
P05455	Q5T5X7	Q96PZ7	P98160	Q9UGJ0	Q9UJX0	Q96PX9	O35790	Q32PL8
Q4KM91	P27117	D3ZHV2	Q7SXX7	Q90670	A4QP72	A5D6R3	Q9CXS4	P07629
Q15118	Q9UL68	Q7ZVN7	Q9UMD9	O70302	P30280	Q9UIW2	Q13009	Q5U216
F1QVR8	Q13310	Q99MY8	Q9UPU3	Q5C9Z4	Q66JN8	A0A0G2K0D3	Q7T3F7	Q5YB40
Q98862	O42131	F6NSX9	Q6ZPJ0	Q7ZVU1	Q9PTU3	Q5SZI1	O13224	Q9HC58
Q3TXU5	Q91V33	Q6DIN3	Q9UEY8	A8KBF6	Q5RBZ2	Q15742	P54996	Q9UPU3
O14807	Q4KL13	Q1L8L6	Q9NQW7	Q5T5P2	Q7T2D1	Q32PH1	O88509	Q92503
Q8WWI1	Q8BG07	P58392	Q9BXL6	Q6PKX4	Q91YE6	Q13873	Q95121	Q86T65
Q9HBL0	Q0IHV1	P79944	Q9QXV1	P05619	P41252	Q5TZA2	P24386	Q9UIA0
Q32NH8	P59692	P34820	Q01703	Q96DB5	Q6ZM19	P55002	Q08CF3	Q9QXP7
B8K1W2	Q80Y19	Q3ZBF8	Q99L20	Q7T370	P49946	A5D8S8	P62510	Q6INE5
P97378	O73755	Q58DA0	P0CD95	O35586	Q8NEM2	Q9JIS8	Q155U0	O08738
Q9UNX4	Q8CHG5	Q3TQ03	Q5E9X6	Q8C4B4	P50462	Q5M872	O76062	Q9CX98
Q6GNV7	A0JPI9	P35033	Q9Y2H9	Q93009	Q8NBX0	O75339	P30044	P00348
Q5ZHP7	Q9WVL0	Q96LR5	P23280	Q6P1R4	Q9CQ86	O13085	Q5THJ4	Q80Z37
Q4QY64	Q91785	Q62894	Q8WMN1	Q8BKX6	F7BWT7	O13085	Q6E2N3	A1A5X5
Q6P0G6	Q9PTG8	Q90YQ4	P52293	Q6DC04	O43747	Q3ULF4	O60645	Q02367
Q8TEM1	P0DJH9	P61025	P49767	O88696	O43315	P33146	Q2KIT4	Q96G27
B0S8I0	Q28019	P02639	A2RVA7	Q99LP8	Q60FX9	P07897	Q9Z254	Q80UM7
P22670	Q6P0N0	Q9D115	P48167	Q9BSF4	Q6PBY0	Q9UKX5	Q5T447	Q96QV1
Q58EB4	Q05BV3	Q2EN75	Q68CP4	Q8K4T1	Q1LWL2	A3KQQ9	A5PMR2	P61222
Q9HCM4	Q9P2D8	Q9WTL2	Q64487	B2RS91	Q9Y248	Q7ZYX1	Q99973	Q96P50
Q9NZJ4	Q6EE23	Q9H4L5	Q9UHD8	Q09003	O42430	Q8JFQ2	Q9WTK3	Q5XGB9
Q1HKZ5	Q5DU00	Q06455	P60003	A8MXE2	Q5U4T8	Q5RE54	Q05519	Q5RKN3
Q9UHD8	P49263	O95302	Q9NUV9	Q4V9P9	A8DZE7	Q498L2	O75071	Q499E5
Q8K4T4	Q8BH86	B5FZ84	O73688	Q63633	Q6AY25	O75541	P68182	Q3SYZ8
P79888	Q53EP0	Q9NRH2	Q9Y3C5	Q6ZU65	Q6NWE1	Q6PBA8	Q6DJ13	Q9WUC8
Q32PX2	P50591	Q8K0V4	Q6P0T2	Q27960	Q9DCG6	Q9QZU7	P49716	P53367
Q9BWD1	Q5NVI6	Q5XHB4	F1QGZ6	Q5XJD3	Q9IB83	Q6QA33	O95405	Q5HZL1
Q9Y5K6	Q06HQ7	Q6MFY5	E7F9T0	Q9Y383	P11183	Q3L8U1	Q96S55	P62205
Q90YK8	A7YWS7	Q5ZIV9	Q8IWE2	Q6DEY7	Q566Y1	O08755	Q566R7	E7FA21
Q92484	Q26636	Q8JHH5	P57682	Q6NYD7	Q28I39	Q9P1Y6	Q16787	Q96ME1
O46606	Q5R4J1	Q05AM5	Q5ZLK8	Q9CQA1	Q96C10	O97758	Q8HZM5	Q5U3Q6
P11717	Q9WU60	Q8R0W0	Q6DI48	Q5XIB5	P35505	Q96RK4	Q5SGD2	Q791B0
Q8NBP0	Q8WXH0	F1Q4S1	B0BM24	A4FUW8	Q3T042	Q6AY09	Q5F3A1	P30883
Q08AY9	Q8BHG1	Q8TD16	P01024	Q69D48	Q08DW2	A2AUY4	Q9NPI5	Q9QZD8
Q8CFK2	Q6DDT1	F1QB54	Q60591	Q01063	O43663	Q63HK5	Q2HWU3	Q9NQ79
O95433	Q96IW2	Q08BN9	P22897	Q8TF20	P11833	Q61329	P11602	Q07009
Q8K1S5	P0DOX7	Q92005	P20595	Q9UJY4	Q921W4	Q924W6	P58058	P98160
Q5RFW0	Q91XT6	Q8BQ89	Q17QJ5	Q5SWY8	Q7ZT47	D2D3B6	A4IFW2	Q9H1D9
A4K2U9	Q9NYT0	O35186	Q9YGF2	Q5ZJ66	B5DG51	Q99K41	Q5R9Y3	P42695
Q5R826	O14782	Q6DHK1	Q86UE6	O35716	Q96LT4	Q9D110	Q5R601	Q0II70
Q9NVS2	Q96M32	Q5U1W4	Q6ZSZ6	Q1RLU1	Q5XI70	O88338	Q4R7G8	Q9YHB5
Q9Y6M5	P79747	P53788	D3YY23	Q8WYQ3	P48506	Q0KL00	Q9BZE4	Q9BZE0
Q6ZPV2	Q96PX9	Q5ZKM0	Q66H68	A7MB10	Q60HF3	O94925	Q92845	Q2KIK3
Q5SPB6	A2V9Y8	Q6AXL4	Q96M86	Q15155	B0K012	Q9GKT6	Q32NH8	Q8AW35
Q9NV58	P52624	P52758	Q8IXL6	Q6UXY8	O57656	P00516	Q80W88	Q0VC81
Q9W6M2	Q8R344	Q56TU0	P97369	Q5ZK03	P25445	O97507	Q5I047	P47971
Q922R8	Q9Z265	Q5ZMM5	Q29451	Q15542	Q8TBM7	Q8WYR1	Q969T3	P24854
B3VSB7	O77737	Q496Z2	O75689	Q8R0H9	P19525	A8CVX7	P51161	O73817
Q8BLU0	P80971	Q0P4Y4	P61625	Q90XE6	Q63184	Q78EA7	Q50LG9	P55198
Q9BX95	Q9H5V8	Q9Y226	Q9H0F5	P97478	Q63184	Q32N48	P22892	Q9Y334
Q5T160	A2AJI0	Q08462	Q5F364	Q6ZN57	P21145	Q07837	Q8VCX2	Q8QGP3
Q5RDU7	D3YZF7	Q07666	Q86T65	D4A6L0	Q5U2V5	Q641F3	Q5R819	P04183
P62334	Q8BK48	Q9QXF8	Q8NEG4	Q5PQN1	O89044	Q91YN9	Q5R9W6	Q9ESN5
Q9XT82	Q9Y5K6	Q9D035	F1MV99	Q96S53	P51958	P41984	Q09632	P30998
P60901	Q96IP4	O13008	Q66KY3	Q8BSM7	Q3THS6	Q8R0V5	P0DPD7	Q9JM59
Q6UX68	Q90977	Q9Z148	Q8C0J6	Q52KK4	Q6GPL4	Q13237	Q80UF7	P98175
Q5SPR8	G5E5X0	Q11200	Q6INE5	P26584	Q9P2E9	Q9R1N9	Q0P483	Q86WA9
Q6DHU8	Q1LYL8	Q96EE4	Q6DHI0	Q7SXS8	Q9NUM3	Q8K0U4	Q92753	O00482
Q28F72	Q1LYL8	Q8QZX5	Q08DZ3	Q5VYK3	P48597	Q9UMD9	O55029	P98063
P07099	Q1LYL8	Q5R5T1	Q9CQX5	Q5F201	Q9HCM9	Q61549	Q00915	P16157
Q5TZ51	Q1LYL8	A0JPN2	Q3T0P5	Q7ZXV8	Q6MFZ5	Q96EQ9	Q66KI9	P28648
Q7T163	Q9R0U0	Q75NR7	Q9CX98	Q9HCJ0	Q9UJA3	Q8BTI8	P62916	Q8K4B2
Q07352	Q2TBP7	Q6IQ32	Q9UJU2	Q96QE3	Q28F07	Q8IV61	Q9DBB9	Q1RMA6
Q9UJ68	Q5RBD3	Q32LE4	P00348	Q8VCY6	Q9ER58	Q5U4T7	P56745	Q16827
Q9NZN3	O15072	E7FAM5	Q96G27	Q08C57	Q92038	Q98880	Q6NUW9	Q8NFH4
Q8K4K3	Q16643	P50616	Q9NWM0	Q9C0C9	Q5F3J5	Q1EGL2	Q921C5	P62321
Q8K0L0	Q96CW9	P07356	Q9Y225	Q00004	Q5REY3	A4IIN5	Q9R1K5	O60486
O70247	Q6PH52	Q5M7V8	Q96QV1	O75417	P14373	A1XQX0	P22680	Q924C9
Q8IWU2	P86229	Q640K1	Q5HYK7	Q8C7R4	B2GU58	Q53RD9	Q4QRD7	O42376
Q62446	P08836	Q3UH66	A2Q0R8	Q7TQG0	O15297	O14639	Q17R13	P84083
P62865	Q3T0B7	Q1L908	P17153	Q11011	Q3TL44	Q8K212	Q8JZM7	Q0P3X8
O43542	Q8BSD5	Q9UIF3	Q5RKN3	P59480	Q8IVU3	Q9JIR4	Q6ZTK2	P41221
P04114	Q8R092	A0A2Y9HKB5	Q7ZW77	Q09666	Q6NY74	Q9Y243	B0DOB4	O42224
Q8BMI3	A0A0R4IYX6	P35031	Q499E5	Q503X2	Q9D1L0	O46560	P31422	Q08BH7
Q6DGA6	Q8K561	Q8K2Y3	A5A6P2	Q8R4P9	Q6PFL8	Q92576	Q9Z2V5	Q99N42
Q71U07	Q62894	O88576	Q8MJC3	Q52KG4	Q91453	Q7L266	Q9TRY0	P20373
Q6DBY0	Q5I2W8	A8MVW5	A2RRT9	F1QNV4	Q6DFF9	Q8IZU9	Q4V8T0	P23935
Q6DRI7	O00300	Q9BT49	Q9BGL2	Q9D3U0	Q71R50	Q3UBG2	Q9JHZ4	P43304
Q06609	A5PK21	Q6DGN0	P02679	P53451	Q9UGR2	O57524	Q6Q0N3	Q8CIW6
Q3KR97	Q9ESG5	Q9H299	Q6IPM2	Q6P5F9	Q6AYY8	Q32LQ6	A3KPL7	Q6P9V9
Q28BZ2	Q13555	A2A884	Q9Y5X2	Q2M2T6	Q5F2F2	Q9R069	P49918	P28570
Q5SNQ9	Q9EPB1	Q5VZL5	P62205	O35286	Q24JV9	P13731	Q07869	O88322
O13019	Q91XA2	Q99551	Q08DN7	Q6DH86	P60901	Q6Y288	P46527	O42266
O43278	Q6DRJ7	F1QIC4	O93400	Q9DCM4	Q2KIR1	Q5R4N8	Q9HBI1	Q641K5
Q8N806	Q9HBY8	Q9HCB6	Q98989	P51532	Q9CX56	Q5RFL4	Q5ZKI6	Q5RH01
Q5RIV4	P41035	Q5U462	O95872	Q32PL8	P27473	Q925F2	Q99LW6	Q9WUQ1
Q8N357	P34022	Q8NFY4	A7UA95	Q5U216	Q9N0F3	Q0VH32	Q9USY1	Q3MHU5
Q9Y5Z4	Q9EQ15	Q5VZK9	Q13608	Q9NXH9	P83917	Q8BMA5	G3H0N9	Q5ZJH7
Q9QUR6	Q32LQ4	Q535K8	B5DFG1	Q96RE7	Q9BQ13	Q14722	Q5E9D3	Q6PHG2
P04114	P10915	P70459	Q6PE18	P14543	Q5PPJ2	P0DPB4	P70434	Q5R8R1
Q9EPX2	Q06725	P52293	Q3U129	Q8K4Q0	Q561P5	Q14590	Q8BKZ9	B5XDD3
Q9UGM3	O00451	P43155	Q90XD2	Q6NZN1	Q9D6Y9	Q16696	A8E657	Q80Z96
Q5RAH8	Q90W33	P50143	Q9BRR3	Q6P1N0	Q14980	O35293	O88450	O54852
