Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Upregulated	Cool_Downregulated	Warm_Upregulated	Warm_Downregulated
Q803R2	Q9BV47	P57788	P84652	Q14451	Q62446	Q06HQ7	Q6DC75	P52186
Q90YW0	Q8K339	Q9UPQ4	Q6ZVW7	P84082	O43542	Q9UBI9	O95948	Q7Z601
B5X441	Q2HJ22	A1A5K6	Q7SXF6	Q0IHY4	Q02224	Q6PEY0	Q9QXL2	Q10751
P11215	O43663	Q6NZI2	Q9EP53	Q9UKS6	Q06609	Q8N392	A1A4K8	F1MMS9
A1L3I3	Q9QYR7	P79755	O57592	Q8NBN7	Q6DHR8	Q1W6H9	P01128	P84610
P28799	G3H0N9	Q14590	P79784	Q4KMJ1	Q9HCM9	Q13362	Q15334	Q29RY7
Q75J93	Q9QYR7	A7MC48	Q8BSS9	F1R2X6	Q9PVZ9	P57095	Q95LD9	Q9XSD9
Q3UES3	Q5R9Y9	A2AMZ4	Q5REB8	Q90ZY4	A9LMC0	Q8N8E3	Q6PEH9	P61928
Q5R739	Q91431	Q6GMF8	Q8SQC1	F1PT61	Q9HBF4	Q8WYK2	Q6NYZ4	Q6PHU5
Q28ER3	Q8BGX0	P02001	Q7ZT42	Q5R7P6	Q5SPF7	F1QW76	Q8WXR4	Q6P0B1
Q0VG06	Q9D968	Q5R9H4	O14832	Q9N126	Q8VHE0	Q99715	P49410	Q8BSS9
Q6PL45	Q8IXR9	Q96FJ0	Q5S1U6	Q7ZWC4	Q6MFZ5	Q9Z191	Q63918	Q8AYC1
Q2KJ28	Q7ZW02	P83871	P27044	Q7TNV1	P51916	Q6DHL7	Q7TPH6	Q8IY57
P97864	B5X186	F4JTS8	Q9R078	Q80WE4	Q3ZBE1	Q9DCT8	P49253	Q8R4K8
Q0P4C4	Q2HJ56	Q8K4R9	Q7RTR2	Q92072	Q8BYR2	P53450	Q1LUV9	Q6DFX2
E7FBU4	Q5U3U0	Q9P1Y5	Q6BEA0	Q7YR76	Q8NG31	Q96PZ7	P46735	Q62767
Q3MI00	Q9HBU6	Q29RA3	Q95L14	Q96RR1	A3KNS9	P79944	O60244	Q8CDN6
A0A0R4IF99	P06350	Q9NXV2	Q9BTC0	Q91YU8	Q3U9G9	Q90YQ4	Q8IUC8	Q9I919
Q9H5J4	P54756	Q7Z5H3	Q9DE67	Q503M4	Q1XHU0	Q2EN75	Q90X48	Q5RCB8
Q9BRX8	A2RUB1	Q9JL26	P70389	Q7LFX5	P62634	P30568	Q4KWZ7	Q502C1
P82013	Q9Z2F7	Q0IHY4	Q5U2Z7	Q9I8K8	O43683	O60241	Q8QZV1	Q61830
Q9EPQ8	Q8IUX7	Q9UJ37	Q6P7G9	Q764M6	Q922D8	B5X4H8	A4IGH4	Q5U2Z7
Q7TM99	P54116	Q13164	Q92529	F1QGH9	Q9NQW6	Q8BQ89	P48805	Q5XNR9
Q5IXF8	Q6P158	B2RX12	Q9M2U3	Q8BP74	Q922M5	Q2F637	Q13217	Q6PGY5
P36372	Q64287	A1XQX0	Q9BYV1	Q2KIB3	E2RG47	Q56TU0	Q9UKA4	Q60793
F1QWZ4	Q6PFL6	Q6TEK3	P32017	Q9W6I9	Q58DR5	Q5ZMM5	Q90328	Q61831
Q6UFS5	Q6UL01	P55918	Q6GPQ6	Q6PBA2	P51859	Q5T4T1	Q8JFW4	P97682
Q7SYK1	O02703	P79944	O88413	F1NPG5	P61025	Q1LWL8	B5X1G3	O09126
Q8AWG6	Q96CW9	P55918	Q9Z2V9	Q5XJR6	Q5M880	Q07666	Q91V92	Q6P5L8
Q5ZI11	O15105	Q90ZY4	Q16589	Q95KE5	Q28E61	Q6PHG8	Q6P5U8	B5FXU9
Q920P0	Q76M68	F1PT61	Q8IVV2	A8KB87	Q6AYL5	P52481	Q90ZK6	O96033
Q2TAC2	P23220	Q6ZWJ1	E9QAU8	O46470	Q6DHU1	P26261	O95045	Q9ERB5
Q62158	Q9BYX4	Q8AV57	Q61703	P12276	P07356	O13008	P06623	O88413
Q07326	A0A1B0GVH6	Q6IRN2	Q8K339	Q9Y2W6	Q8K135	Q3KQF4	Q8CE33	P30122
Q4KMD7	Q9Y3R5	Q502I3	P15651	A0A0R4I9Y1	Q9R101	Q9Y574	Q99615	Q8K339
Q90W95	P48059	Q28260	Q4KLG9	A0A0R4I9Y1	Q90XW6	P13668	P28331	O43663
Q28BQ6	Q91060	Q7ZWC4	Q2HJ22	A0A0R4I9Y1	O35685	Q03172	Q29277	Q071E0
P43247	Q8NB91	A8WFU8	Q9DCM7	Q96HP0	Q5U462	P26433	Q5NUA6	P53811
Q567Z6	Q91ZT8	Q80YE4	Q1RMW2	Q5RFL7	P36372	Q969W9	Q922B9	Q9BT73
Q9ULU4	P55039	P02454	Q9NZ20	P50579	P52293	A2A884	Q9IA95	Q6DH65
F1RCP1	Q8WXX0	Q80WE4	P58875	Q0VCX2	Q803H4	P70459	Q6NVC5	O14519
P48960	Q5RAJ6	Q1RMR1	Q61827	Q6GQN7	P79955	Q12982	P14778	Q9D968
Q7TQH0	Q61371	Q6PFQ2	Q10728	Q63540	Q5XLR4	Q14511	P27930	Q04759
Q66L58	Q8N3U4	Q92072	Q9UL49	P07514	Q8VDW0	A3KPW9	Q15118	D4A9R4
Q5RB71	Q460N5	Q3U3R4	Q9BE52	Q6PHK6	O75496	Q61003	Q503V1	Q5RGV1
Q8R2Q6	Q2EMV9	Q6NZT2	Q9D968	B3DHW5	Q96JG6	P01130	B8K1W2	P30372
P54922	Q8IXQ6	Q764M6	Q04759	Q5FWH2	Q9CQ71	Q9R1Q8	Q9CXC9	P0CF52
Q6PCB7	A8WG43	Q9JHG1	Q8IXR9	Q8IVD9	Q96KP4	Q04906	B0S6T2	O13154
Q9UPQ4	Q5ZL72	Q3ZCF5	Q7ZW02	P91791	Q5R6X7	Q9WTU3	Q6AXL5	Q70UQ0
Q96AY2	Q7ZVE6	Q8IY67	P40241	Q502C1	Q503N2	Q9BWT7	Q96IW7	Q5PPI9
Q571F5	A8WH74	O77506	Q95M18	Q02084	Q5E9G3	Q58NQ5	O15519	Q02374
Q9EPE9	Q9Z1W9	Q9W6I9	B5X186	Q61830	A3KP48	P12965	Q8R0S2	C1BKD1
A5PMF6	Q7T3E4	B5XAM2	Q86TL2	Q86YV5	Q6PBK1	Q9HCI7	Q9JJ80	P48065
P79755	P08537	P85838	Q6PBT5	Q96PU5	P27216	Q86UP3	Q9W790	A2T929
P62198	Q4SBY6	F1NPG5	Q96RF0	A0A1L8EYB2	Q5XK92	P51397	A1L2I9	Q90Y50
Q9BSY4	Q55EX9	Q28FX0	Q8CB44	A3KMV2	Q3SZV5	Q501J6	Q5XIT1	Q8CIB6
A7MC48	Q93033	Q9JM96	A7Z033	Q3SZZ0	Q9BXL7	Q6ZQ89	Q8BMJ7	P85125
Q7T2P6	Q61527	P63174	Q70UQ0	Q7ZVE3	Q6DBX4	P11246	O57521	P51641
Q2HJE5	Q91V92	O46470	B5X3I1	Q8TEQ8	Q5I4H3	D4A6L0	P15311	O00194
Q1AGS6	Q9R1V4	P12276	P06350	O75691	O14841	Q0P6D2	Q922R8	P13505
Q9UGR2	Q9D0N7	A0A0R4I9Y1	C1BKD1	Q1LX49	P47897	Q8AV61	F1R3W0	Q7Z3S7
P38571	Q2EMV9	A0A0R4I9Y1	Q0VC33	Q9Z1Z2	Q5RA42	P13388	Q7RTR2	B3DFW5
Q92172	Q8CE33	A0A0R4I9Y1	P54116	P61212	P36633	Q68DE3	Q5T160	O35047
Q5VYY1	Q5RA50	Q12955	Q64385	Q5BLE2	Q9Y3B6	Q4G0Z9	Q8IVF5	P62282
P83871	B8JLQ9	P52186	Q9UBB5	Q16773	P09653	P13667	Q7T312	P59764
B0F9W3	Q0VCL9	Q96HP0	P46530	O57594	Q6NW52	Q6P5D8	Q5TZ51	P13806
Q5BJC4	P49190	Q8K3J9	Q96CW9	O57593	O88696	Q96F25	P26990	Q08048
Q9BRJ6	Q95LH1	Q7Z601	O95948	Q9UJZ1	Q7T2V2	Q17R13	E1BZR9	Q9BSW2
O35400	Q32NM7	O19133	P62282	Q8NI36	Q63633	Q6DBU8	Q5RII3	Q76M68
O35400	Q9JKB1	Q10751	Q9BZ72	P27465	P50533	Q70Z35	Q91XQ2	P37287
E1BHC3	P51968	F1MMS9	Q9UPR0	Q9ERB5	Q5XGY9	Q64GA5	Q6NWF1	Q5RDZ2
