Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
132465034	132462445				
132465089	132462449				
132465168	132462611				
132465210	132462714				
132465217	132462756				
132465510	132462874				
132465513	132462892				
132465591	132462906				
132465684	132462933				
132465765	132462935				
132465845	132462959				
132465893	132462975				
132465906	132462981				
132465910	132463029				
132465921	132463122				
132465947	132463287				
132466064	132463310				
132466127	132463321				
132466131	132463339				
132466138	132463356				
132466186	132463466				
132466285	132463547				
132466303	132463690				
132466316	132463953				
132466338	132463999				
132466416	132464012				
132466425	132464016				
132466504	132464050				
132466537	132464150				
132466574	132464263				
132466612	132464312				
132466614	132464341				
132466626	132464444				
132466634	132464460				
132466978	132464462				
132466985	132464485				
132467011	132464495				
132467053	132464527				
132467065	132464537				
132467084	132464569				
132467132	132464618				
132467205	132464763				
132467229	132464988				
132467269	132465003				
132467522	132465096				
132467564	132465107				
132467623	132465166				
132467657	132465184				
132467753	132465191				
132467754	132465197				
132467813	132465230				
132467860	132465459				
132467931	132465508				
132468091	132465678				
132468108	132465697				
132468113	132465708				
132468119	132465866				
132468369	132465958				
132468403	132466025				
132468726	132466059				
132468745	132466073				
132468891	132466247				
132468980	132466256				
132469044	132466270				
132469126	132466275				
132469177	132466284				
132469280	132466627				
132469326	132467044				
132469485	132467282				
132469500	132467308				
132469590	132467314				
132469606	132467477				
132469734	132467479				
132469742	132467519				
132469814	132467550				
132469833	132467574				
132469838	132467624				
132469847	132467631				
132469871	132467632				
132469986	132467664				
132470074	132467783				
132470098	132467850				
132470170	132467889				
132470205	132467905				
132470232	132467921				
132470281	132467935				
132470406	132468003				
132470408	132468015				
132470416	132468039				
132470418	132468040				
132470424	132468084				
132470486	132468175				
132470511	132468180				
132470534	132468289				
132470580	132468474				
132470581	132468492				
132470637	132468728				
132470657	132468769				
132470704	132468773				
132470776	132468892				
132470785	132468928				
132470931	132468929				
132471059	132468954				
132471076	132468966				
132471121	132468972				
132471130	132468984				
132471192	132469139				
132471264	132469142				
132471497	132469147				
132471536	132469173				
132471552	132469262				
132471623	132469384				
132471698	132469581				
132471734	132469612				
132471778	132469820				
132471827	132469840				
132471864	132469882				
132471904	132469939				
132472019	132469940				
132472021	132469969				
132472130	132469971				
132472493	132470096				
132472538	132470106				
132472554	132470134				
132472629	132470137				
132472638	132470284				
132472804	132470302				
132472826	132470348				
132472848	132470358				
132472849	132470411				
132473003	132470463				
132473005	132470484				
132473044	132470506				
132473160	132470569				
132473288	132470594				
132473756	132470596				
132473803	132470616				
132473888	132470654				
132473917	132470702				
132473994	132470728				
132474034	132470739				
132474127	132470790				
132474166	132470806				
132474335	132470817				
132474340	132470871				
132474447	132470902				
132474503	132470936				
132474536	132470955				
132474537	132471028				
132474539	132471030				
132474596	132471050				
132474701	132471165				
