Cold (0degC)	Cool (5degC)	Warm (16degC)
132455331	132455553	132471973
132455405	132455565	132472690
132455554	132455725	132445809
132455627	132455814	132446071
132456121	132455819	132447667
132456252	132455912	132450281
132456452	132455962	132450203
132457106	132456126	132449284
132457166	132456286	132449190
132457335	132456279	132460305
132457836	132456336	132450695
132458180	132456389	132450956
132459245	132467855	132451112
132459008	132456535	132460336
132459169	132456494	132451183
132460294	132461602	132452802
132460108	132461869	132460352
132460561	132461967	132452395
132462089	132461750	132452470
132464004	132461756	132453106
132463927	132461976	132453362
132464091	132461991	132453378
132464849	132461569	132453482
132464664	132461880	132453626
132465245	132461660	132453637
132465836	132462030	132453662
132465704	132456666	132453466
132465765	132456721	132453724
132466447	132457167	132453852
132466628	132457221	132453917
132466865	132457275	132453925
132467616	132457412	132453960
132467924	132457581	132453948
132467997	132457598	132454013
132468631	132457769	132454052
132470563	132457762	132454045
132468934	132457749	132454074
132469376	132463858	132454197
132470399	132457758	132454207
132471536	132457697	132454227
132472403	132458060	132454283
132472999	132458069	132454317
132473155	132462608	132454358
132473332	132462824	132454408
132473400	132462876	132454526
132445960	132462774	132454637
132445809	132462704	132454581
132446071	132462222	132460401
132446410	132462799	132454627
132447391	132462892	132454519
132447299	132462597	132454652
132447957	132458526	132454643
132448972	132458456	132454998
132450281	132463997	132455008
132449190	132464003	132454772
132460305	132463180	132454987
132450956	132463046	132455198
132460336	132463197	132455107
132452662	132463059	132455102
132453074	132463097	132455209
132452729	132463127	132455516
132460352	132463275	132455495
132452395	132464403	132455398
132452470	132458851	132455553
132453309	132458866	132455819
132453378	132458906	132455952
132453482	132464110	132456024
132453428	132459106	132456126
132453405	132459117	132456091
132453466	132459423	132456286
132453420	132459247	132456279
132453714	132459305	132456404
132453724	132459401	132456389
132453743	132459508	132456535
132453733	132459522	132456529
132453925	132463705	132456494
132453948	132463330	132461602
132454013	132463599	132462125
132454074	132464178	132461626
132454197	132463547	132461757
132454207	132463526	132461892
132454249	132464193	132462107
132454371	132459697	132461869
132454478	132459860	132461936
132454526	132459818	132461440
132454572	132474678	132461967
132454627	132470116	132461928
132460417	132474215	132461805
132454643	132474231	132461991
132454992	132470460	132461569
132454998	132470533	132461880
132454754	132470302	132461660
132454835	132470106	132461765
132455085	132470597	132462030
132455072	132470727	132456647
132455198	132470326	132456666
132455146	132470542	132456721
132455107	132470702	132456737
132455102	132470137	132456820
132455209	132474819	132456873
132455391	132474824	132456916
132455516	132474833	132457030
132455398	132471307	132457167
132455484	132471008	132457362
132455543	132470757	132457358
132455553	132471089	132457374
132455564	132471639	132457412
132455642	132471379	132457516
132455629	132474292	132457448
132455620	132471572	132457522
132455665	132471623	132457598
132455819	132474932	132457762
132455952	132474999	132457863
132455912	132475063	132457854
132455931	132475040	132457980
132455962	132475268	132457996
132456024	132474322	132458060
132456126	132472452	132463922
132456189	132471900	132462824
132456183	132472071	132462348
132456286	132471851	132462521
132456279	132475343	132463946
132456336	132471953	132462876
132456369	132471860	132462173
132456404	132471836	132462774
132467855	132475415	132462757
132456535	132475763	132462749
132456494	132475460	132462836
132456483	132475454	132462436
132456600	132475439	132462614
132456453	132475425	132463969
132461602	132475686	132458330
132462125	132475710	132458515
132462085	132475559	132458526
132461626	132475827	132458489
132461757	132445479	132458456
132461892	132445620	132458382
132462107	132445488	132463987
132461967	132445444	132463997
132461898	132475928	132458553
132461750	132445438	132458537
132461756	132445950	132464003
132461880	132445986	132463180
132461765	132474383	132463117
132462030	132446063	132463143
132456647	132446140	132463197
132456737	132446226	132463059
132456820	132446314	132463092
132456873	132446405	132463127
132456916	132446457	132464051
132457156	132446495	132458782
132457160	132446719	132464062
132457167	132446744	132463275
132457175	132446773	132463281
132457221	132446833	132463223
132457292	132446834	132458838
132463794	132474408	132458937
132457362	132446859	132458851
132457358	132446866	132464110
132457374	132446989	132459106
132457412	132447072	132459184
132457522	132447235	132459423
132457589	132447398	132459345
132457621	132448014	132459247
132457725	132453128	132459305
132457769	132447961	132459419
132457749	132472717	132459401
132463858	132472535	132459465
132457758	132472640	132459494
132457697	132472485	132459508
132457854	132448202	132459537
132457901	132448243	132459530
132457909	132448420	132464133
132458021	132448584	132463355
132458060	132448623	132459567
132458029	132448670	132463705
132458069	132448639	132464178
132458181	132448889	132464189
132458208	132449056	132459674
132462608	132449124	132459860
132462824	132449195	132459818
132462536	132449159	132474678
132462682	132449395	132474703
132462815	132449399	132474193
132463946	132449411	132474209
132462774	132449628	132470674
132462749	132449973	132470573
132462704	132449987	132474215
132462222	132450208	132474224
132462764	132450214	132474231
132462206	132450220	132470126
132462836	132450382	132470460
132462799	132450843	132470402
132462892	132472848	132470302
132462597	132472964	132470366
132458414	132473234	132470106
132458526	132451167	132470597
132458398	132451243	132474260
132458382	132473192	132470604
132458601	132472829	132470727
132464003	132451329	132470642
132463180	132451380	132470292
132463228	132451542	132470142
132463143	132451609	132470137
132464036	132451567	132470148
132463170	132451592	132474819
132458729	132451737	132474824
132463275	132451758	132474833
132458812	132452165	132471221
132458823	132452248	132470757
132458838	132452271	132471484
132464403	132452417	132470872
132458851	132452431	132471198
132458906	132452448	132471379
132459081	132452513	132474292
132459184	132469846	132471572
132459117	132452639	132471531
132459423	132469866	132470777
132459276	132473325	132471587
132459412	132473404	132470752
132459508	132473328	132471677
132459537	132473739	132474848
132459522	132469958	132471347
132459561	132452990	132474903
132463355	132453004	132474909
132459567	132470011	132474932
132463621	132473562	132474951
132463330	132453043	132474990
132463599	132453050	132474999
132463523	132453056	132475063
132459641	132453068	132475040
132459658	132453069	132475057
132459668	132453086	132475060
132464169	132453284	132475251
132464178	132453296	132475268
132463547	132453277	132472375
132463526	132453376	132472452
132463691	132453290	132471842
132463570	132453307	132471869
132459768	132453308	132475302
132459747	132453657	132471851
132459829	132453784	132472011
132459818	132453803	132475343
132474678	132453815	132472415
132474713	132453819	132472064
132474729	132453810	132471800
132470252	132453826	132472108
132470573	132453829	132471941
132470116	132453835	132471836
132470230	132453883	132472025
132474224	132453876	132475415
132474231	132453879	132475763
132470126	132453884	132475672
132470460	132453880	132475460
132470402	132453914	132475439
132470163	132453918	132475632
132470444	132453712	132475567
132470533	132453934	132475686
132470302	132453929	132475710
132470501	132453935	132475870
132470106	132453939	132445531
132470597	132453942	132475893
132474260	132453946	132445523
132470604	132453951	132445620
132470727	132453967	132475928
132470542	132453966	132445438
132470702	132453975	132445718
132470142	132453983	132445950
132470137	132453988	132445729
132474819	132453989	132446099
132474824	132453994	132446226
132474833	132453996	132446296
132471307	132454025	132446314
132471008	132454027	132446395
132471190	132454041	132446435
132470757	132454051	132474405
132471089	132454058	132474407
132471198	132454095	132446621
132471659	132454104	132446744
132471379	132454110	132446773
132471099	132454124	132446756
132471321	132454126	132446812
132471572	132453730	132446835
132471604	132454128	132446859
132471252	132453437	132446866
132471523	132453427	132446953
132471623	132453429	132446935
132470752	132453423	132446989
132471677	132453406	132447066
132471026	132454158	132447072
132474919	132454167	132474431
132474932	132454214	132447235
132474999	132454222	132447369
132475063	132454234	132447324
132475040	132454250	132447413
132475021	132454264	132447516
132475057	132454267	132447650
132475251	132454257	132447619
132475268	132453742	132447705
132475293	132454258	132448014
132472375	132454272	132453128
132472452	132454291	132447975
132471900	132454296	132447995
132471842	132454303	132448004
132471760	132454309	132447916
132472011	132454318	132448043
132472042	132454321	132472717
132475343	132454323	132472535
132472246	132454326	132448158
132471820	132453689	132448167
132472064	132454335	132472567
132471984	132453447	132472661
132471800	132453461	132472634
132472252	132454343	132448202
132472211	132454347	132448325
132471791	132454348	132448390
132472130	132454365	132474504
132471860	132454362	132474524
132472386	132454379	132448418
132472025	132454389	132448357
132475412	132454396	132448448
132475415	132454417	132448500
132475683	132454424	132448469
132475763	132454427	132448584
132475672	132454458	132448761
132475724	132454459	132448660
132475460	132453505	132448623
132475454	132453526	132448670
132475439	132453521	132448680
132475731	132453516	132448688
132475531	132453467	132448812
132475741	132453512	132448865
132475686	132453506	132448896
132475788	132453520	132449014
132475812	132453523	132449124
132445508	132453514	132449180
132445523	132454460	132449369
132445592	132454492	132449814
132445620	132454506	132449411
132445488	132454505	132449587
132445444	132454515	132449850
132475928	132454514	132449973
132475935	132454521	132449961
132445718	132454522	132449987
132445887	132454535	132450029
132445871	132454539	132450139
132445967	132454547	132450196
132445782	132454552	132450208
132445700	132454549	132453137
132445729	132454558	132450165
132445929	132454563	132450220
132445673	132453585	132450382
132474383	132453563	132450269
132446063	132453541	132450251
132446154	132454176	132450259
132474387	132453574	132450697
132446188	132453562	132450684
132446226	132453549	132450717
132446263	132454590	132450709
132446314	132454591	132450843
132446395	132454602	132450920
132446409	132454616	132472848
132446425	132454802	132472964
132474397	132454183	132473234
132446435	132454638	132451167
132446457	132454185	132451243
132446449	132454644	132473184
132474405	132454645	132472879
132446481	132454188	132473192
132474407	132454646	132451329
132446509	132454648	132451380
132446475	132454657	132451368
132446538	132454680	132451630
132446614	132454686	132451542
132446719	132454687	132451551
132446773	132454683	132451484
132446833	132454708	132451567
132446834	132454703	132451412
132474408	132454195	132451422
132446886	132454701	132451737
132446866	132454714	132451758
132446895	132454727	132452080
132446953	132453639	132452165
132447072	132454204	132452103
132474442	132453607	132452271
132447235	132453595	132452324
132447251	132454729	132452357
132447398	132454739	132452347
132447407	132454737	132452392
132447371	132454741	132452417
132447413	132454745	132452408
132447464	132454762	132452431
132447516	132454763	132452455
132447572	132454781	132452448
132447628	132455549	132452513
132447650	132455563	132452703
132447675	132455575	132452765
132447705	132454906	132473404
132448014	132454913	132473328
132448036	132454901	132469958
132447995	132454926	132473903
132448004	132454928	132452990
132447961	132456629	132453004
132448043	132454904	132453031
132472717	132454921	132453030
132472525	132454923	132453033
132472535	132455581	132473894
132472640	132455579	132473605
132472567	132455593	132473866
132472661	132455612	132473494
132472548	132455599	132473823
132472478	132455603	132473838
132448202	132455615	132470019
132448243	132456640	132453046
132448273	132455628	132453050
132448390	132455632	132453056
132474504	132455630	132470061
132448420	132455631	132453059
132474524	132454958	132453069
132448418	132454952	132453084
132448357	132454977	132453081
132448462	132456644	132453080
132448456	132454944	132453091
132448469	132454966	132453094
132448565	132454950	132453284
132448704	132455643	132453337
132448623	132456648	132453324
132448670	132455653	132453333
132448639	132455657	132453277
132448791	132455004	132453287
132448865	132455658	132453290
132448889	132455021	132453314
132448929	132455053	132453308
132448995	132455039	132453320
132449097	132455038	132453657
132449124	132455023	132453784
132449195	132455015	132453815
132449180	132454991	132453813
132449263	132455670	132453660
132449369	132455679	132453819
132449608	132455681	132453810
132449595	132455700	132453816
132449722	132455719	132453824
132449411	132455722	132453830
132449576	132455727	132453835
132449797	132455728	132453868
132449628	132455746	132453884
132449850	132455744	132453893
132449939	132456682	132453892
132449925	132455751	132453903
132449973	132455755	132453904
132449961	132455771	132453907
132449955	132455772	132453918
132449987	132455788	132453913
132450029	132455774	132453712
132450020	132455784	132453934
132450180	132455780	132453929
132450220	132454844	132453939
132450382	132455822	132453942
132450269	132455832	132453946
132450332	132455835	132453944
132450393	132455838	132453959
132450650	132455843	132453716
132450684	132455861	132453717
132450717	132455847	132453969
132450805	132455853	132453973
132450874	132455880	132453976
132450894	132455886	132453980
132450920	132455879	132453982
132450957	132455882	132453983
132474581	132455900	132453988
132451036	132455902	132453990
132472848	132455947	132453993
132473086	132455948	132453994
132472964	132455951	132453998
132473159	132455959	132453996
132473093	132454852	132454009
132472992	132455975	132454014
132451243	132455999	132454017
132472985	132456010	132454021
132473184	132456026	132454025
132473192	132456031	132454027
132451329	132456035	132454031
132451380	132456047	132454034
132451363	132456060	132454035
132451368	132456063	132454058
132451630	132456071	132454079
132451518	132456109	132454082
132451583	132456111	132454092
132451396	132456137	132454093
132451412	132456136	132454103
132451422	132456129	132454110
132451592	132456135	132454124
132451737	132456162	132454127
132451758	132456184	132454117
132451784	132456187	132454120
132451915	132456194	132454122
132451899	132456193	132453730
132452077	132456198	132453437
132452080	132456201	132454135
132452165	132456209	132453427
132452248	132456214	132453412
132452271	132456221	132453429
132452306	132456227	132453432
132452375	132456255	132453438
132452392	132456254	132453423
132452417	132456269	132453407
132452408	132455524	132453409
132452455	132456285	132453406
132452448	132456294	132453736
132452495	132455109	132453401
132452481	132456308	132454140
132452513	132456602	132454145
132452703	132456352	132454161
132452901	132456353	132454164
132469846	132456368	132454168
132452559	132456380	132454214
132452550	132456382	132454219
132452667	132456395	132454220
132469866	132456417	132454223
132452978	132456425	132454226
132473325	132456429	132454231
132473909	132456450	132454234
132473904	132456448	132454250
132473658	132456460	132454262
132473404	132456464	132454265
132473328	132455224	132454264
132473536	132455262	132454254
132473644	132455272	132454257
132473852	132455185	132453742
132473555	132455300	132454273
132473693	132455170	132454278
132469943	132455333	132454272
132473739	132455305	132454289
132469958	132455194	132454291
132469967	132455480	132454296
132473903	132455321	132454294
132452990	132455221	132454309
132453004	132455230	132454315
132453033	132455208	132454318
132473914	132455342	132454321
132473813	132455293	132454323
132473894	132455301	132454326
132473391	132455213	132453460
132473605	132455240	132453689
132473562	132455239	132453454
132473494	132455222	132453447
132473823	132455491	132454337
132473838	132455211	132454338
132453043	132455492	132453461
132453042	132456486	132454339
132453056	132456488	132453457
132470061	132456490	132453459
132453065	132455499	132453450
132453068	132455500	132454347
132453077	132455414	132454363
132453086	132455387	132454364
132453081	132455424	132454365
132453087	132455504	132454359
132453088	132455367	132454362
132453101	132455408	132454370
132453098	132455505	132454373
132453090	132455358	132454375
132453092	132455413	132454379
132453100	132455389	132454377
132453099	132455347	132454392
132453279	132455362	132454389
132453281	132455392	132454406
132453323	132455446	132454423
132453333	132455508	132454416
132453376	132455372	132454424
132453292	132455373	132454427
132453781	132455388	132454439
132453287	132455381	132454445
132453290	132456493	132454437
132453307	132456496	132454443
132453389	132455510	132454432
132453313	132456553	132454458
132453308	132456543	132454459
132453302	132456547	132454453
132453338	132456554	132453529
132453657	132456555	132453505
132453797	132456540	132453521
132453789	132456560	132453476
132453794	132456565	132453475
132453805	132456564	132453533
132453815	132456578	132453467
132453810	132456584	132453506
132453809	132457502	132453474
132453814	132457513	132453510
132453816	132457134	132453468
132453826	132457142	132453531
132453828	132457523	132454460
132453835	132457148	132454465
132453832	132457137	132454462
132453858	132457112	132454499
132453868	132457114	132454467
132453883	132457647	132454483
132453875	132457164	132454510
132453879	132457158	132454473
132453893	132457189	132454515
132453888	132457154	132454521
132453882	132457152	132454527
132453880	132457566	132454529
132453885	132457580	132454535
132453901	132457590	132454547
132453903	132457596	132454552
132453904	132457605	132454557
132453907	132457607	132454549
132453911	132457625	132454561
132453926	132457667	132454563
132453916	132457663	132453560
132453914	132457671	132453564
132453918	132457678	132453558
132453913	132457692	132453581
132453921	132457689	132453576
132453933	132457702	132453585
132453934	132457703	132453568
132453935	132457714	132454174
132453939	132457721	132453587
132453945	132457737	132453546
132453943	132457742	132453593
132453946	132457757	132454176
132453949	132457794	132453574
132453951	132457787	132453556
132453967	132457792	132453562
132453964	132457772	132454570
132453966	132457781	132454574
132453717	132457786	132454573
132453978	132457808	132454593
132453969	132457807	132454591
132453975	132457813	132454605
132453973	132457825	132454602
132453981	132457820	132454613
132453982	132457819	132454802
132453983	132457822	132454621
132453988	132457835	132454183
132453996	132457837	132454629
132453997	132457834	132454625
132453995	132457850	132454185
132453999	132457989	132454641
132454005	132457865	132454186
132454008	132457874	132454645
132454012	132457896	132454188
132454018	132458019	132454646
132454017	132457907	132454648
132454025	132457958	132454190
132454027	132458038	132454651
132454030	132457965	132454684
132454034	132457971	132454687
132454035	132457981	132454683
132454041	132457978	132454674
132454056	132457988	132454708
132454058	132457998	132454710
132454060	132458045	132454696
132454087	132458055	132454709
132454088	132458063	132454701
132454090	132458099	132454714
132454104	132458092	132454713
132454103	132458104	132454721
132454106	132458112	132454727
132454110	132458125	132453610
132454124	132458130	132453603
132454126	132458133	132453598
132454122	132458137	132453639
132453730	132458138	132453602
132453443	132458147	132453617
132453417	132458170	132453595
132453437	132458191	132453609
132453427	132458214	132454733
132453412	132458231	132454739
132453429	132458239	132454745
132453424	132457653	132454753
132453415	132458161	132454769
132453409	132458256	132454776
132453406	132458265	132454216
132453434	132458266	132455551
132453404	132458276	132455549
132453425	132458275	132456596
132453433	132458285	132455574
132453416	132458288	132455563
132454140	132458289	132455575
132454143	132457377	132454899
132454160	132457447	132454913
132454157	132457234	132454901
132454156	132457413	132456623
132454167	132457389	132456627
132454168	132457224	132454928
132454219	132457347	132454911
132454222	132457429	132456629
132454223	132457278	132454887
132454226	132457470	132454912
132454232	132457336	132454896
132454244	132458203	132454921
132454234	132458210	132454885
132454250	132457419	132455581
132454252	132457320	132455584
132454262	132457301	132456636
132454265	132457274	132455587
132454263	132457252	132455593
132454264	132457313	132456639
132454267	132458241	132455612
132454257	132457440	132455596
132453742	132457259	132455625
132454258	132457298	132456640
132454275	132457269	132455626
132454272	132457299	132455628
132454293	132457247	132455631
132454295	132457387	132454972
132454296	132457437	132454977
132454294	132457220	132456642
132454303	132457443	132454969
132454309	132458315	132454967
132454310	132458311	132454940
132454306	132458313	132454989
132454321	132458309	132454966
132454326	132458320	132454950
132454329	132457209	132455634
132453460	132459193	132456648
132453689	132459146	132455656
132454335	132459056	132455004
132454334	132459230	132455016
132454338	132458739	132455045
132453461	132459023	132455021
132453453	132458770	132454993
132454345	132458722	132454997
132454347	132458717	132455029
132454348	132459244	132455033
132454353	132458754	132455053
132454361	132458764	132455028
132454364	132459256	132455002
132454365	132459294	132455027
132454356	132459296	132456663
132454370	132459298	132455020
132454373	132459288	132455673
132454375	132459289	132455701
132454379	132459297	132455677
132454385	132459312	132455679
132454383	132459320	132455683
132454384	132459323	132455680
132454393	132459328	132455681
132454396	132459329	132455688
132454399	132459333	132455700
132454423	132459331	132455695
132454420	132459336	132455685
132454418	132459354	132455719
132454421	132459352	132455727
132454417	132459369	132455731
132454424	132459083	132455739
132454427	132459087	132455742
132454425	132459402	132455740
132454435	132459411	132456682
132454441	132459420	132455749
132454437	132459413	132455752
132454443	132459430	132455760
132454436	132459437	132455763
132454450	132459453	132455768
132454458	132459479	132456669
132454459	132459481	132455770
132454453	132459487	132455771
132454448	132459489	132455788
132453503	132459492	132455773
132453529	132459550	132455774
132453526	132459553	132455787
132453500	132459554	132455784
132453521	132459558	132455791
132453524	132459581	132455799
132453488	132459585	132454844
132453493	132459620	132455817
132453498	132459099	132455818
132453480	132459636	132455816
132453489	132459647	132455824
132453476	132459663	132455829
132453533	132459666	132455835
132453467	132459667	132455838
132453517	132459671	132455839
132453506	132459690	132454846
132453510	132459694	132455844
132453468	132459701	132455848
132453531	132459721	132455859
132454460	132459736	132455849
132454465	132459740	132455853
132454492	132459750	132455864
132454496	132459761	132455866
132454483	132459786	132455885
132454486	132459791	132455886
132454497	132459793	132455883
132454506	132459805	132455879
132454484	132459809	132455882
132454502	132459819	132455900
132454503	132459825	132455902
132454471	132459845	132455914
132454510	132459862	132455910
132454494	132459868	132455940
132454505	132459873	132455950
132454514	132459882	132455951
132454522	132459887	132454852
132454525	132459895	132455955
132454528	132459900	132455981
132454530	132459904	132455969
132454545	132459925	132455975
132454541	132459936	132454856
132454539	132459942	132455992
132454540	132459941	132455993
132454543	132459940	132455991
132454547	132459960	132456001
132454172	132459964	132456010
132454552	132459971	132455069
132454550	132459986	132456026
132454556	132460003	132456031
132454558	132460000	132456034
132454551	132459991	132456042
132454561	132460009	132456057
132454563	132460014	132456068
132453581	132460013	132456061
132453571	132460020	132456060
132453545	132460029	132456066
132453585	132460050	132456070
132453563	132460058	132456071
132453568	132460065	132456097
132453544	132458801	132456098
132453555	132458803	132456106
132453541	132459129	132456111
132454176	132460117	132456129
132453583	132460129	132456144
132453570	132460135	132456147
132453574	132460155	132456157
132453562	132458918	132456162
132453551	132458840	132456170
132453592	132458885	132456173
132453552	132458872	132456184
132454568	132458871	132456187
132454570	132458841	132456193
132454575	132458930	132456201
132454593	132458902	132456203
132454588	132458848	132456205
132454591	132458936	132456207
132454587	132458935	132456211
132454605	132458865	132456214
132454596	132458857	132456223
132454597	132458889	132456224
132454602	132458853	132456231
132454802	132458860	132456254
132454630	132458894	132456260
132454625	132460161	132456266
132454626	132460162	132456269
132454628	132460183	132456270
132454633	132460200	132455091
132454634	132460205	132456278
132454635	132460207	132455524
132454638	132459006	132456283
132454641	132458960	132456285
132454186	132458971	132456294
132454645	132458984	132455104
132454642	132458965	132455095
132454188	132458964	132456308
132454646	132458990	132456333
132454648	132458986	132455151
132454189	132459000	132455534
132454654	132458985	132455149
132454655	132460218	132456349
132454650	132460752	132456602
132454663	132461091	132456357
132454657	132460736	132456374
132454651	132461222	132456368
132454664	132460665	132456366
132454679	132460748	132456380
132454686	132460726	132456382
132454687	132461240	132456403
132454675	132461255	132456423
132454683	132460698	132456417
132454676	132460654	132456444
132454678	132460679	132456440
132454673	132460668	132456446
132454671	132460747	132456454
132454672	132460642	132456469
132454194	132460682	132456457
132454708	132460689	132456481
132454704	132460688	132456606
132454698	132461309	132455185
132454710	132461315	132455279
132454696	132461321	132455300
132454709	132461324	132455333
132454697	132461332	132455305
132454701	132461334	132455194
132454714	132461345	132455480
132454199	132461369	132455174
132454727	132461466	132455176
132453625	132461464	132455322
132453610	132461471	132455183
132453606	132461180	132455252
132453621	132461495	132455488
132453612	132461507	132455212
132453634	132461514	132455199
132453639	132461515	132455301
132454204	132461519	132455223
132453635	132461542	132455276
132453607	132461541	132455228
132453602	132461522	132455222
132453599	132461553	132455193
132453595	132461555	132455180
132453641	132461559	132455202
132453609	132461567	132455253
132454733	132461570	132455211
132454729	132461574	132456484
132454211	132461577	132456486
132454752	132460828	132456488
132454739	132460856	132456490
132454737	132460869	132455499
132454741	132460876	132455500
132454745	132460880	132455352
132454749	132460813	132455387
132454753	132460843	132455365
132454213	132460809	132455396
132454762	132460795	132455433
132454763	132460819	132455432
132454773	132460815	132455395
132454783	132460826	132455419
132454778	132460898	132455443
132455549	132460864	132455505
132455566	132460910	132455368
132454899	132460924	132455384
132454905	132461589	132455413
132454919	132461592	132455389
132454906	132461607	132455397
132454913	132461615	132455392
132454901	132461627	132455434
132454926	132461629	132455399
132456627	132461636	132455508
132454928	132461644	132455372
132454909	132461667	132455373
132454927	132461656	132455388
132456629	132461659	132455381
132454924	132461657	132456510
132454887	132461676	132456511
132454893	132461678	132455510
132454923	132461706	132456620
132454902	132461718	132456530
132456635	132461733	132456557
132455581	132461734	132456549
132455579	132461758	132456543
132455584	132461764	132456540
132455585	132461762	132456560
132455589	132461770	132456571
132455593	132461773	132456568
132456639	132461776	132456569
132455611	132461778	132456574
132455604	132461784	132456580
132455605	132461788	132456584
132455612	132461793	132456588
132455596	132461814	132456591
132455597	132461815	132456589
132455602	132461397	132456595
132456597	132461823	132456594
132455615	132461826	132457502
132455625	132461834	132457134
132456640	132461836	132457132
132455631	132461837	132457125
132454958	132461843	132457138
132454977	132461860	132457148
132456642	132461865	132457526
132454969	132461871	132457527
132454967	132461868	132457135
132454965	132461890	132457122
132454959	132461891	132457647
132454943	132461405	132457182
132454989	132461901	132457154
132454944	132461902	132457153
132454971	132461899	132457161
132454980	132461903	132457174
132454966	132460987	132457152
132455633	132461915	132457560
132455634	132460961	132457567
132455640	132460970	132457572
132455643	132461952	132457573
132455639	132461933	132457574
132455638	132461968	132457590
132456646	132461032	132457605
132455646	132461003	132457607
132455647	132461001	132457623
132455655	132461042	132457616
132455653	132461004	132457628
132455657	132461048	132457630
132455654	132461021	132457634
132455046	132461017	132457633
132455014	132461046	132457670
132455037	132461424	132457667
132455658	132461978	132457663
132455016	132461982	132457671
132454995	132461987	132457674
132455057	132461427	132457681
132455021	132461996	132457679
132455033	132462024	132457688
132455052	132462029	132457917
132455049	132462028	132457689
132455002	132462054	132457702
132455661	132462076	132457703
132455038	132462102	132457709
132456663	132462108	132457710
132455001	132461438	132457712
132455013	132461064	132457935
132455055	132461063	132457737
132455666	132461080	132457746
132455690	132461067	132457742
132455692	132461446	132457744
132455707	132461070	132457755
132455703	132461076	132457752
132455701	132462133	132457793
132455677	132461458	132457787
132455679	132462157	132457772
132455681	132462164	132457791
132455700	132462342	132457802
132455720	132462352	132457808
132455722	132462355	132457806
132455727	132462358	132457816
132455729	132462362	132457825
132455732	132462365	132457820
132455738	132462371	132457822
132455739	132462381	132457826
132455742	132462407	132457835
132455744	132462387	132457837
132455749	132462420	132457834
132455751	132462426	132457838
132455755	132463721	132457846
132455766	132462449	132457853
132456669	132462450	132457989
132455793	132462456	132457865
132455774	132463708	132457880
132455784	132462477	132457881
132455781	132463710	132457887
132455789	132463709	132457886
132455791	132463694	132457893
132455780	132463690	132457896
132455799	132463689	132458019
132455797	132463692	132457897
132454844	132462545	132457904
132455822	132462555	132457915
132455824	132462548	132457920
132455828	132462582	132457943
132455834	132462607	132457963
132455832	132462620	132457970
132455833	132462619	132457971
132455838	132462612	132457981
132455839	132462628	132457978
132455844	132462647	132457986
132455849	132462663	132457999
132455853	132462702	132458001
132455850	132462673	132457998
132455857	132462712	132458008
132455864	132462725	132458006
132455871	132462756	132458016
132455880	132462769	132458018
132455883	132462778	132458022
132455878	132462782	132458020
132455879	132462786	132458030
132455881	132462787	132458031
132455882	132462789	132458052
132455889	132462807	132458036
132455891	132462805	132458045
132455890	132462814	132458055
132455895	132462819	132458057
132455898	132462827	132458063
132455897	132462829	132458078
132455900	132462831	132458085
132455902	132462838	132458086
132455910	132462853	132458099
132455921	132462834	132458092
132455919	132462877	132458105
132455935	132462874	132458112
