Warm-ALL	Cool-ALL	Cold-ALL	Warm-LFC0.5	Cool-LFC0.5	Cold-LFC0.5	Warm-NoDEGs	Cool-NoDEGs	Cold-NoDEGs
Q5SZI1		P82013	O77775		P08108	Q66I08		Q58EJ9
Q7ZU99		Q6GQ29	Q6NYU7		Q9HBU6	O00462		Q9PTW9
Q01844		Q28278	Q58EX7		P32847	C0HBB2		P26325
P11884		Q5PPS5	Q28479		Q6GMH0	Q9CZ13		P24668
P27448		Q1AGS9	Q90744		Q6PD83	Q5JS54		Q4R6P7
Q9QWE9		Q5RC80	P04920		P82861	P04004		Q8IVI9
Q0VC33		Q4T2X8	P28345		O35716	Q5VAN0		Q5R804
Q8K3F7		Q80WM9	Q5R6J7		P49696	Q8N7N5		Q6NYS8
P20397		Q6UFZ9	A5D6R3		F1QCV2	A1L1F4		Q6PFS7
Q08C84		Q96JB8	Q99MY8		Q90705	P46424		Q7ZV55
Q9R087		Q7ZWA3	Q8BHE3		Q1LUA8	P12270		P20456
Q66L44		A3QK16	Q67FY3		Q9NP64	Q64GA5		Q642B6
P61625		Q7T3B0	Q3SZI0		O95478	P28020		Q5ZIP4
Q16787		P08108	Q3V3G7		P30050	O42611		Q92051
Q00973		Q9HBU6	Q6Y7W6		Q8NFD5	Q8K1Z0		Q9Y496
Q86SQ9		P32847	P51410		O15519	A8WFT6		Q8CGK7
P26433		Q6GMH0	Q9NR09		Q91VS8	Q80XC6		A2AIV2
P97280		Q6PD83	Q6IRN2		A4IGH4	Q8K561		Q7SZN2
Q4T2X8		P82861	Q568L5		Q5H9M0	Q9YGF2		B0FYY4
O00763		O35716	Q8C1A5		Q5ZMJ9	Q2HJE5		O88989
P27216		F1QCV2	Q95M18		P08842	Q5M872		Q9CRB9
P55809		Q90705	Q19AZ8		Q9H5Z1	Q8CEC6		Q1LUM3
P86411		Q1LUA8	Q07984		J3S6Y1	A8E0R9		P40821
Q9WTY9		Q9NP64	Q0VC33		Q9WTK5	A7E2M3		P54726
Q9BZ29		O95478	Q96P50		Q86TL2	P01017		A3KNA7
Q92090		P30050	P13667		O57521	Q86X29		Q9D0M1
Q66I22		Q8NFD5	Q28C91		P21213	Q58EJ9		Q764M5
Q03172		Q96SY0	P12955		Q4R3D4	Q7T385		Q7SZ10
Q9UGM3		O15519	Q86YT5		Q7ZU99	Q96IZ2		Q3V3G7
Q9DCG6		Q91VS8	B1H1P9		Q9H2U2	Q6NZC7		O46427
Q9NVD7		A4IGH4	Q8TBF5		P17844	Q91437		Q28HC7
P14685		Q5H9M0	Q5RBD3		P27093	P02696		Q8K3F7
A5PJ65		Q5ZMJ9	O00462		P63102	P14373		O88267
Q9P055		P08842	C0HBB2		Q62936	O57415		Q8BHE3
Q5ZKQ3		Q9H5Z1	Q5JS54		O14647	Q58CP9		B0BNE2
O97507		J3S6Y1	O95487		Q5EB14	Q04799		Q9YGF2
Q7ZWD4		Q9WTK5	P04004		Q9PVZ9	Q6P734		Q5RKQ0
Q8NEZ4		Q86TL2	Q5VAN0		Q90660	Q2KHZ9		P62716
Q9HB40		O57521	Q8N7N5		Q5RFJ6	Q5U3F8		F1RA39
O42123		P21213	Q6PJI9		Q15785	Q03164		Q8IWP9
P15253		Q4R3D4	A1L1F4		P08579	Q9Y5Z4		P84169
Q0P426		Q7ZU99	P12270		Q6GQN7	Q811U4		Q60648
P07224		Q9H2U2	Q9HD67		Q4VBT2	Q5VWN6		Q6P6S2
E9QBI7		P17844	Q64GA5		Q6IRN2	Q6BCB4		Q90718
O73682		P27093	O42611		O46563	Q6J4K2		Q501J2
P15924		Q96I24	Q7SXP2		Q6P2T0	P04114		B5DG42
Q9UJW8		P63102	Q811M5		Q9H3K2	Q9Y2L6		Q5PQJ7
B5X3C1		Q62936	A8WFT6		O75325	A1L3G4		B5RI54
Q61098		Q9H3K2	Q80XC6		Q5NVK5	Q92615		Q8QZV1
O46629		O14647	Q95LB0		Q6IN36	Q5R526		Q91474
Q6TH47		Q5EB14	Q2HJE5		A7MBJ2	F1PJP5		F1QVR8
Q5ZKI0		Q9PVZ9	Q8CEC6		Q9CXS4	Q5RB71		O95931
O88792		Q90660	A8E0R9		P52756	A2RRT9		O13035
Q9UPW0		Q5RFJ6	E7FEV0		Q92562	Q91W43		P87362
Q9JLZ3		P21743	Q01460		Q2KIR8	Q99K41		Q687X5
Q6DTY7		Q15785	A7E2M3		Q19AZ8	Q6DEG4		Q0MQI7
O97758		P08579	Q86X29		P14448	Q92122		Q98862
P68403		Q6GQN7	Q90935		Q29277	Q2VPU4		Q6DRC4
O05218		Q6NWF6	P08478		Q8VEM8	O94915		Q568L5
O57539		Q4VBT2	Q28278		P28497	Q8R0J4		O75157
P27546		Q6IRN2	Q5ZKA2		P56701	P32262		Q503W7
Q9H936		O46563	Q7T385		P05413	Q07598		P80314
A7YWG4		Q6P2T0	Q96IZ2		Q9H6L4	P78536		Q5R4B6
P14448		O75325	Q4LDE5		Q5U3F8	Q61703		Q68FU8
