Warm-ALL	Cool-ALL	Cold-ALL	Warm-LFC0.5	Cool-LFC0.5	Cold-LFC0.5	Warm-NoDEGs	Cool-NoDEGs	Cold-NoDEGs
Q9NW13		Q7T385	Q99N96		Q16204	P18520		P49614
Q92574		Q86SQ9	Q6DED0		Q7SZF1	Q6DBT3		Q07598
Q9H0J9		Q5R806	Q9UPU5		Q96L91	O00418		Q5REW1
Q8TF30		P11586	Q09472		Q66I71	Q6P767		Q9NR09
Q6P5F9		Q2KJG3	Q6MGA9		Q9W720	P41233		Q68F72
Q6NVJ5		Q3T0E1	Q6NUZ2		Q9H1I8	Q01173		Q6DEJ5
Q92529		P34943	Q5ZMJ9		P01048	Q6DGZ0		Q0P4D1
Q3ULF4		P58797	Q8WUJ3		P53995	Q80VY9		Q2TA03
O60264		P39052	Q8VDM6		Q9Z255	A1L1F1		O42227
P79134		Q7ZXP1	Q1LYG0		Q6PBV4	D3ZJP6		P13619
Q9H1I8		Q8R1T4	O76031		O54992	Q5R7K2		Q9QYJ0
Q3ZBW2		Q66KG0	P46196		Q5MIB5	A5A6H9		P79926
Q92090		P81601	Q6NRZ1		Q98SV1	O57321		Q925S8
Q803G5		P16381	Q99KQ4		Q16773	Q9Y232		Q3B7M5
P36992		Q5U2V5	Q92079		P07228	Q96PU5		P51688
P50995		Q04799	Q8K4T1		P79755	Q3TRM4		Q921E2
Q2YDK1		Q6NYD4	Q58EB4		A0A0R4IBK5	Q99KX1		Q8BY71
Q5F418		P61963	Q7ZXD6		Q86X83	Q6PHG4		Q96KR6
Q15113		Q90YR4	Q1JP73		A5PL98	Q28056		Q5F495
Q8IWT3		Q5M7V8	Q96L91		Q90375	A5D8S5		A6QLV3
Q9CPT4		Q6P742	P05107		P39023	Q5F3J5		Q14699
Q2TBV5		P52272	Q99J36		B8K1W2	Q8N567		Q8HXG6
P22411		Q6DHC1	Q0V9V9		Q6DHF7	Q04467		Q6DRM0
Q9BD50		Q503L4	P12025		Q9XSC9	Q5VYK3		Q6DRJ9
B0R0T1		Q6P2P2	Q14C86		B5DGQ7	Q76I76		Q58DL5
Q9H840		Q90XW6	P46735		O88721	Q6GL74		Q9YH12
Q6A0A2		Q8N448	Q9Z0R4		P40682	Q58WW2		Q96D71
Q99L04		Q2KHV4	P58137		Q5VAN0	A0A0R4IVA4		P55884
Q1RMT8		Q86YT5	Q91738		P51857	Q8N0W3		Q63186
Q6NYZ6		Q2L969	Q9UMZ2		Q0MQG7	Q32LU1		Q90512
Q6PH61		Q6PBC4	O94966		Q7YRH6	Q9R0U0		Q5XJN2
Q9Y2X7		P62510	Q6NYJ3		Q9Z0R4	Q9H477		Q4VSN2
Q6NUW9		E3TDS3	B6ZLK2		P0CK98	Q7ZVF3		C1BL82
Q64487		O73672	P11730		P02679	Q0V898		P35915
Q8C9B9		Q5BJJ8	Q6ZRS2		P12236	P46940		Q90XD2
Q6UFZ9		P28345	O13046		Q7SY23	O14497		O42584
P00125		B0UXP9	Q8WXX0		Q00004	Q00537		O43826
Q64591		P25490	P07092		Q0P5A1	Q9BVK2		Q6S9V8
Q6TGZ5		Q16822	Q9XT77		Q561R8	Q9PT92		Q502K2
Q8CDN6		Q9EQH3	O75881		Q06AT3	Q61103		A6QR56
Q6A051		Q9Y3D6	Q8WMV3		Q09472	P35486		Q9NVM9
Q61687		Q9BRX8	Q3TYL0		Q9UHR5	Q764M6		Q6DD88
A2RVA7		Q8CF98	A5D7E2		Q13485	Q6ZQW0		P24049
Q8BP00		I0J1J1	A7MB63		B5X3Z6	Q7Z401		Q7T385
P30998		Q6RY07	Q8WZ79		P43247	Q6AYB3		A0A6P8HC43
Q8BMF3		Q6P5F9	P52758		O35900	Q08BZ4		P79251
Q80Z29		Q9NRZ7	Q8JGS1		O46640	Q9QYR7		Q9UHG0
Q2KIU0		Q5ZMD4	Q9TTY2		Q92890	O94903		Q90275
Q6DHE8		Q6DDT1	Q9Y3R5		P21265	O42197		Q68EH8
Q99PG2		Q14103	Q5ZIZ4		Q8R143	Q52KG4		Q3U1J4
A2AHJ4		Q6DG60	Q96Q05		Q9R0I6	P27656		Q9Y2L5
P51589		Q5U395	Q07081		O75521	Q01611		A6QLR3
Q9H3G5		Q8BH73	Q15751		Q64GA5	Q9BYE2		Q8K1Z0
Q5PQJ7		Q90YG6	P26325		P54996	Q5E9T8		O19069
Q2KJ51		Q29099	A5PJN2		Q01105	Q9CPU4		Q8VE70
Q90999		Q6DBY2	Q8IWU5		Q5R5V7	Q8IUR6		O35387
Q12864		P40692	B8XY56		Q3ZBL5	Q9UIF9		Q9BT43
Q3V6R6		Q9D967	Q9R182		Q9DCG6	Q91YT0		P32759
Q6GMH0		Q1RM55	P52756		P60901	Q5DTZ6		Q9JLN9
Q8BKI2		Q32LQ4	P51589		Q3UMR5	Q98TW1		B5XD90
Q6GN15		P40197	Q80VY9		Q5ZIR1	Q642B6		Q04799
B5DGI7		Q9UHD2	A1L1F1		Q08CH8	Q9HCJ0		Q6IP18
Q9DB85		Q9UKX5	D3ZJP6		B0R0D7	O88850		Q9Y4B6
Q66HT8		P68200	Q5R7K2		Q9Y2U9	P84023		Q5IS99
A1A4M4		Q5R601	Q15542		Q99P72	Q7Z570		Q10751
Q8BGC9		P11279	Q96N46		P22451	P54756		Q5R6P6
Q9Y3R5		O43390	A5A6H9		Q5ZJ56	Q9QY33		Q12800
Q5T2R2		P51857	O57321		Q803W1	P18757		P58003
Q9BD50		P11348	A6QP81		Q5F339	Q66JY2		P54985
E9PYK3		Q9EQ20	Q9Y232		Q3SZK1	Q5ZJ56		Q7ZWI4
Q8VD37		Q3SZZ2	Q96PU5		Q8BG81	P25445		O89107
Q5FWP9		P41689	O75533		Q6MG55	Q2KJF9		Q6DBR6
P40682		Q32KH5	Q66J69		Q6P0V6	Q8R3G1		A2BG43
P42839		Q9D8S3	Q6PHG4		Q60865	P38570		Q9D2R8
Q99996		A2A9C3	Q91309		Q8CAI1	Q9CY21		Q9I9N6
O14595		P13668	A5D8S5		A0EQL2	Q9CRB9		Q9JIF3
Q9GM70		Q3T0B7	Q5F3J5		P55006	A6MFK8		Q08BM8
P05619		P79703	Q8N567		Q78ZA7	Q92621		Q63569
Q9Y3Y2		P51147	Q04467		Q99NI4	Q794F9		Q96KR1
Q1RMU2		Q16204	O00418		P70168	Q8BSM7		Q8TEK3
Q9NU22		Q5HZH2	A2BGT0		Q6AYS7	P11678		P14543
P26045		Q7SZF1	Q93008		Q28BQ6	Q63060		P05166
Q8IZH2		Q96L91	Q6GL74		P11602	Q63184		Q5T6F2
Q8JFB7		Q8K3X2	Q91YN9		Q3UKU1	Q9BZ95		Q8TAF3
B0BMY1		Q7ZV96	A0A0R4IVA4		Q6PHG2	F1QC45		O73682
B1AWL2		Q66I71	Q8N0W3		Q62158	P13497		Q6DGZ3
Q8QHL5		Q9W720	Q96BT7		P62198	Q32PV0		Q53S33
Q29S14		Q9H1I8	Q32LU1		O46470	Q9CQX8		Q6PDJ6
P04066		P01048	Q2TBN5		Q3SZZ7	Q32KH7		Q99PP9
Q8IW00		P53995	Q8CAI1		E7FH11	Q9JL56		Q7TT28
Q5R806		Q6PBV4	Q6AYS4		P25786	Q96AY2		Q5SVR0
P31422		O54992	Q5EBL4		Q1JQD9	Q03111		O08586
P79749		B0JZP3	Q7TSQ1		Q5XGD9	Q9Y6U7		Q6PGY6
P52181		Q5MIB5	Q7ZVF3		P31939	Q641Q2		O15228
O00506		Q80Z29	Q9NZB8		P49419	Q5XI32		Q9UH36
Q16696		Q16773	Q1L994		Q8VC12	Q1XHU0		P79958
Q9DGK4		P07228	Q8BLV3		P40821	Q922D8		Q6IQA2
Q8UVC1		P79755	Q90617		Q5I0J5	Q6NZS4		Q66H20
P25155		A0A0R4IBK5	P12763		Q60HD6	Q61329		Q6P734
Q14141		Q86X83	Q8K4Q6		Q96K76	Q3KRD0		P61959
P51648		A4QNX3	O14497		Q9R062	P50851		A2AGA4
Q9NVP1		A5PL98	Q00537		O54980	Q15477		Q8TAC1
Q8K2X1		Q90375	Q9JLV6		Q504E7	Q01085		Q2KJF9
Q5RA42		P62264	P29122		P55058	Q7SZ10		Q8BGV9
P98095		P39023	A1L244		Q3SYS6	Q0KL00		P83299
A0A6P8HC43		Q32LE4	Q61103		Q53EL6	Q9UBJ2		Q9JM53
Q09167		P26516	Q8BHG1		Q9Y263	P78382		Q13217
Q04656		B8K1W2	Q567C6		Q9PU58	Q9WUB3		Q04857
Q86VP6		Q6DHF7	P35486		Q803I2	Q6DHP6		Q5ZIQ3
Q13485		Q9XSC9	Q9IA95		Q5DU00	Q6GQN7		P68247
Q9NS37		B5DGQ7	Q9PU58		Q96PC5	Q2L6K8		Q5F3E8
Q9P2M4		O88721	Q4VBT5		P55010	Q90610		P51147
Q9Y2T3		P40682	Q16589		Q9H329	Q7T2V2		P11179
Q3U7R1		Q5VAN0	Q764M6		Q8C1A3	Q6IA17		Q90375
Q2TLY1		Q0MQG7	Q8IYJ3		Q05086	Q14159		Q6A051
Q2L969		Q7YRH6	Q7TQG0		Q16563	Q3T9X0		Q8MJG1
Q8BY46		Q9Z0R4	Q503L4		P51915	Q5RIV4		Q6P036
G3V893		Q5DU00	Q6AYB3		P16257	Q8NI36		Q9JIW4
P50548		P0CK98	B3VKQ2		Q5NVI3	P20456		P36887
Q01105		Q6NV34	Q08BZ4		Q90YS3	Q08DN7		Q8C552
P51176		P02679	Q9JL56		Q803V5	Q98989		Q5XK67
Q1LUA6		P12236	Q99L04		P47953	Q3SZ27		Q92005
Q6NWE0		Q7SYK0	Q0V8A3		Q08D69	E7F568		Q9Y2X9
Q5R421		Q7SY23	Q9CPT4		A4FV97	P35623		Q08DQ0
Q96SY0		Q00004	Q52KG4		Q6DJE5	O75131		P28173
P08650		B1H1P9	Q01611		Q28FB9	Q0II68		Q99N34
D3Z7P3		Q561R8	Q9BYE2		P98154	Q502L1		Q8C9B9
Q3TEI4		Q06AT3	Q5E9T8		P70302	P31937		A9UMS3
A4QP78		P01024	P08649		Q5XHF8	O95782		O77775
Q9QZK7		Q09472	Q9UIF9		Q9ULT8	Q2PFD7		Q5RBX7
Q9UNQ0		Q9UHR5	Q5DTZ6		P35670	A0A0R4ITC5		O75167
E9Q3L2		Q13485	Q98TW1		Q8C6U2	Q9NWW5		Q8AXL1
Q96G03		B5X3Z6	Q642B6		Q924A2	Q501X2		Q96B97
A2VDJ0		P43247	Q9HCJ0		Q86WA6	Q53EP0		Q5SX39
Q9CPW0		O35900	O88850		O42249	O54889		P30151
Q68CZ2		P62282	P84023		Q99376	P0C7T6		Q6ZTK2
A1A5H6		Q92890	Q9EPC6		Q7TQH0	Q8R478		Q9XT54
Q5ZJF4		Q6P823	Q5TAX3		Q1LYE3	O93477		P62071
Q5RD13		P21265	Q7Z570		Q91W43	Q6NYG8		A0JMI9
Q24JV9		Q8R143	P54756		Q93033	O75764		D3ZTX0
Q14692		Q640R7	A2VDN6		P54855	Q6P6S2		Q7L5Y6
Q08DZ2		Q502G5	P49410		P25686	Q6DJ87		Q5RAY0
Q9QZI8		Q9R0I6	P18757		A9ULR9	Q9P2R6		P32320
P58781		O75521	Q66JY2		Q5PRD4	Q64638		Q0VA16
Q4R683		P54996	Q7TPH6		Q6DBY2	Q9QYF9		Q8BHJ5
Q9XWZ2		Q01105	Q5VTL7		Q8K2M0	Q08C76		Q6B860
Q05519		Q5R5V7	Q5R9S8		O75629	P0CI65		A1L209
Q8R143		Q3ZBL5	Q8K2H3		Q5EXX3	P05455		P08478
Q6DHI0		Q24117	Q8R3G1		P61625	F1MAD2		P62246
Q5PR61		Q9DCG6	P47953		O88958	Q6UFZ9		Q696W0
P58003		P60901	P38570		O14874	A8E7G5		A1L251
Q93034		Q3UMR5	P23975		Q6NUT7	O35400		Q6NYL3
O60293		Q5ZIR1	Q9CRB9		Q9WTK3	Q28C55		Q7RTR2
Q9NRA8		Q08CH8	A6MFK8		Q6DGL7	Q6NXA9		Q58EG2
Q12981		B0R0D7	Q92621		Q9BXW6	Q9CPU4		Q14166
Q9WUF3		Q9Y2U9	Q4R683		P97931	Q7ZUW2		P62334
Q6P698		Q9QXF8	Q8BSM7		Q7LFX5	Q08170		Q6IR74
Q8VHQ9		Q99P72	P16301		Q9PTS2	Q6PBN5		Q8VIJ8
Q6GM07		P22451	P07228		P00491	P58501		Q92628
P70277		Q7ZW25	P11678		A0AUR5	P08621		Q9PTE6
Q9PTE6		Q5ZJ56	Q63060		Q8VHQ9	A8K2U0		Q9BD50
E1C231		Q5F339	Q63184		Q501Q9	Q8BG15		Q86VQ6
P45433		O76031	Q9BZ95		Q5EA28	P22288		Q8N3J5
Q5RG49		Q3SZK1	B6RSP1		P0C6P5	P22273		Q9UKV3
Q5F361		O93477	Q7Z353		Q91W89	Q6NVF4		Q9Y608
Q86TL2		Q8BG81	F1QC45		Q7ZXV8	Q6PFS7		Q5RED5
Q3ZBG7		Q6MG55	Q9H9V4		Q8IWV7	Q6TH15		Q63ZY7
Q6NVF4		Q6P0V6	E9Q5F9		Q5RA42	Q8IXJ9		Q9NTM9
Q14542		Q60865	P13497		Q9Y3D0	Q6UVK1		Q3ZCK3
P10620		Q8CAI1	Q32PV0		O88822	Q9CQT9		Q7ZVJ8
P52850		A0EQL2	Q9CQX8		Q8SQC1	Q7ZW86		P42226
Q99JG7		P55006	O94844		Q99N42	P48450		O14657
P97378		Q78ZA7	Q9UL49		Q8BJ37	Q8CFD0		Q7ZYY4
Q96JB8		Q99NI4	Q6NVJ5		Q922B9	Q58D05		Q811M5
P22670		P70168	Q32KH7		P35222	Q8BUV3		O89110
Q15643		Q6AYS7	Q96AY2		Q5R8M4	Q5XI67		P55262
Q9HAD4		Q6NXA9	Q9Y6U7		Q1LWC2	Q58CP2		Q5T6F2
Q6RY07		Q28BQ6	Q95LD9		Q0VC33	Q9WVR8		P28020
Q9HBU6		P11602	Q6ZW49		Q9QYR7	Q9HCN4		P48066
Q6U841		Q3UKU1	B8K1W2		P26325	O43432		Q9QYF9
Q8N6G5		Q6PHG2	Q61329		P61222	Q04912		Q6UXP7
Q9JM13		Q62158	Q3KRD0		Q66I22	Q8JHF0		Q6PC62
Q9QXV1		P00367	Q5ZMM5		P36992	Q8BSU7		Q9UEY8
F1RCR6		P62198	P50851		Q8IUF1	Q96EQ9		A1L243
Q9DGJ3		O46470	P98199		Q501J6	Q9DCQ3		Q9D032
Q05186		Q3SZZ7	Q6TEL1		A1L1P9	Q6PD83		Q8VBX0
Q6NUT7		E7FH11	Q9UPV0		Q5RAA9	Q99PV0		Q6PBM1
Q04637		Q6PDY2	Q15477		Q4V8H8	Q9D8N3		O93510
Q12907		Q5D013	Q01085		Q9R0I7	Q5VUG0		Q9DCW4
Q3SX44		P25786	Q7SZ10		Q7ZUC7	Q7ZV80		Q6DFW0
Q92546		Q66I08	Q0KL00		Q9P1Y6	Q99PF5		Q9Y6A2
Q6NYS8		O42449	Q9UBJ2		Q8K009	Q7T2V2		Q29S14
A4UTP7		P62865	Q80X90		Q9DGK4	Q9Z2A5		Q0P464
O55029		Q99NF1	Q28056		P0C1G7	Q6P5M2		Q803X4
Q8BIQ5		Q1JQD9	P78382		Q8WXA3	Q2QCI8		Q99PJ2
P27987		Q5XGD9	Q9WUB3		Q0Z8U2	Q8WU17		Q8NF91
Q9GLP1		P31939	Q6DHP6		Q3B8Q1	P80217		P42684
P31939		P49419	Q95121		Q68FN7	Q4R3D4		Q9CXL1
Q9DBF7		Q8VC12	A3KPN8		Q9H840	Q9Y5L0		Q6T938
Q6AX33		Q3THS6	Q6GQN7		P07357	A9UMG5		Q4G0W2
Q5R5X0		Q5I0J5	P07247		Q58H57	Q6IQC7		O73872
Q6P5U8		Q60HD6	Q2L6K8		Q92820	Q96SB4		Q6P026
Q9YI98		Q96K76	Q90610		O35286	P79832		Q9WVJ9
Q13217		O13085	Q14159		Q8R1P4	Q2KIY1		O08915
O00534		Q9R062	Q6DRL4		Q5R819	Q8BJ37		P30874
Q9EQS0		Q5U211	Q3T9X0		Q6DHC1	A2AJ77		Q6NYU7
O54980		O54980	Q8NI36		Q8TBB0	O13168		O15116
Q7ZUK7		Q504E7	P20456		Q6GM07	Q5RC74		P17178
Q7RTR2		P55058	Q08DN7		Q503V1	B5X3B2		O55029
P50894		Q3SYS6	Q98989		Q8R3T5	Q811F1		Q6PHN7
Q6PEC4		Q9JHH6	Q9Z0W3		Q6AYA5	P0CG71		Q96B26
O35493		Q53EL6	Q5RC80		Q9CQN1	Q6P4T2		Q1LUD1
A2VE15		Q9Y263	Q5ZIL4		Q9Y3D6	A4QNZ7		Q1RMU5
A5D6U8		Q3T0Q6	P35623		P24724	Q9UHC9		Q66JF3
Q9D967		Q9PU58	O75131		Q1MTD3	P01024		Q8R050
P67777		Q803I2	Q5PPI1		G3HKI1	P15129		Q5R7K2
Q28C60		Q96PC5	O95782		Q12907	E9Q7D5		Q8BIG7
Q9UBQ7		P55010	Q90ZY4		Q6RY07	O75319		P61078
Q8WP32		Q9H329	O08618		Q3SWT4	O75439		Q5EBI0
Q503L4		Q8C1A3	A0A0R4ITC5		Q01460	Q8N9F7		Q9P2K8
Q9DBM0		Q05086	Q9JIL5		O76031	P35475		Q6NZ18
Q764M5		Q16563	Q501X2		P14685	Q68EZ2		Q66KL0
Q5RDG4		P51915	Q53EP0		Q32LU7	Q864U1		Q58CP9
Q6DGL7		P16257	Q6NYG8		B8A4F0	Q6ZR37		Q16514
P31646		Q5NVI3	Q8CG71		P98095	O08755		Q7TQK0
Q5F364		Q90YS3	Q9P2R6		Q96S52	O35400		Q2HJ94
Q8VDW0		Q803V5	Q6NY64		Q502I9	Q6SA80		A8K2U0
Q8JFR5		P47953	Q08C76		F1Q8W0	P23220		O15431
Q0IHV1		Q08D69	Q8CI51		Q13438	Q5E9E4		Q5CZQ0
Q5RC80		A4FV97	Q8CGF7		O73770	Q9BD50		P87383
Q803R2		P40222	A8E7G5		Q14692	Q1RLY6		Q9D9N8
Q58DA0		Q6DJE5	Q28C55		P0DP35	Q91ZS8		Q7ZVN5
P29117		Q28FB9	Q7ZUW2		Q64181	Q7ZVR8		Q03113
Q922B9		P98154	P58501		Q6B855	A0JME6		Q6UB98
Q803W1		P70302	A8K2U0		Q6P6S2	Q86TL2		Q9UGM5
P08649		O60499	Q8BG15		Q7Z6E9	O95295		Q8BHE8
P40189		Q5XHF8	P22273		Q6AZB8	Q9W698		Q1RMU2
Q5RDQ6		Q9TRY0	Q6NVF4		O75486	Q9Z255		Q9D0U6
Q28983		Q9ULT8	Q6PFS7		Q6IQM2	Q9R1N9		Q9JHU5
Q08D51		P35670	Q8IXJ9		Q9Y375	Q4R543		Q01082
O70293		Q8C6U2	Q6UVK1		O35685	Q9P2D1		P31422
E9Q3L2		Q924A2	Q7ZW86		Q91VZ6	P97280		P19803
Q14542		Q86WA6	P48450		Q4QRC6	Q8K2W6		O00418
Q9ULU4		O42249	Q8BUV3		Q16851	Q9GZU7		Q08DD1
P0DP35		Q99376	Q5XI67		P35520	J3S6Y1		Q68EI0
P29218		Q7TQH0	Q99607		Q9QXM1	Q5R5U3		Q6DGW9
P08697		Q1LYE3	Q86T65		A9ULE9	A9UM82		Q6P135
Q91474		Q91W43	Q9HCN4		Q32KH9	P57095		O15173
Q8R0H9		Q93033	P70302		Q8SQG7	Q6TH01		Q07598
Q9UL36		P54855	O43432		Q80ZW0	P51857		Q62559
P60815		Q02878	Q96EQ9		A0A0R4IC37	Q3ZBB6		Q5RFA0
Q0VH32		P25686	Q6PD83		P54996	Q62814		Q8TE04
A3KMV2		A9ULR9	P31646		A5A6H9	Q5REW1		Q6NW29
Q3SZZ0		Q07984	Q9D8N3		P04114	Q49AM3		Q9DBG7
P70404		Q5PRD4	Q5VUG0		P34022	Q99595		O43237
Q9C6B9		P30043	E7FCN8		Q5R995	Q6P5L3		A7YWG4
Q14126		Q8K2M0	B2KF05		Q99N42	Q08BA4		Q7T3H9
Q15652		Q5EXX3	Q5PQN1		Q5RDZ2	P62334		P07514
Q8IWJ2		P61625	Q99PF5		Q63060	Q9Z1M4		Q6NY89
Q9NPH3		O88958	Q7T2V2		F1R4U0	Q5Q0U5		Q5RH01
P00787		O14874	Q9Z2A5		Q9NX05	Q5W041		Q9JHW1
Q9PVE8		Q6NUT7	Q6P5M2		E9QI36	Q28FF3		O75121
Q63HQ2		Q9WTK3	Q2QCI8		Q8WNV7	Q01082		A6QR55
Q07081		Q00537	Q9UK61		Q8K3X2	Q7ZVR1		P52756
P48382		Q6DGL7	E9QG68		P68252	Q9UJ83		Q6P3H7
P28331		Q9BXW6	Q8WU17		Q0VD48	Q29437		P81274
Q14005		P97931	P80217		Q99PG2	Q9ULT8		Q9W6I0
Q9CZB3		Q7LFX5	Q8QGV2		Q0VBY7	Q6JHU9		P60905
Q8TF05		Q9PTS2	F1RCR6		Q9H0J9	Q28085		Q8K2Y7
Q99L20		P00491	A9UMG5		P28271	Q0P570		Q6IQC7
Q6TXF1		A0AUR5	Q6IQC7		Q8K2I1	Q7ZVE3		Q6NX31
Q9H299		P45592	Q96SB4		Q99N96	Q13151		A0MT11
Q5RGA4		Q1L864	Q86VV8		Q7RTR2	Q6ZPE2		Q9JLZ3
Q9BVG4		Q8VHQ9	Q8BJ37		P26516	Q9H0J9		Q8TDB6
Q5R328		Q501Q9	O13168		Q5I0D1	O88797		Q9D939
Q11005		Q5RAH8	Q6DD33		Q6AY09	Q92545		Q7T2V2
E7FC72		Q59J78	B5X3B2		Q95L14	Q4VSN2		Q6PC30
Q96PD7		Q5EA28	Q811F1		Q9Y467	Q9JJC6		O15541
P42566		P0C6P5	Q9Y496		Q6Q0N3	P55265		Q6AXK4
Q7T385		Q91W89	Q92542		P07902	Q91453		Q9NXW2
Q28141		Q7ZXV8	Q96M32		Q13813	P0C6F1		Q11205
Q3ZCI9		Q8IWV7	P01024		Q14296	Q9NYL9		Q4KTA7
Q9NYM4		Q4QRC6	E9Q7D5		A4IHK6	Q7Z3B3		Q1RMR1
Q9CTG6		Q6DGA6	O75319		Q6PFR5	Q70CQ2		Q9P0K7
Q5ZML3		Q9Y3D0	Q8BZ03		O00233	Q9DCT6		Q566N0
Q91XF0		O88822	Q5ZLC6		Q9HCM9	P40818		Q8WU76
O95714		Q8SQC1	Q95168		Q8NBI5	Q91ZE0		Q96A54
Q6DBU5		Q99N42	Q5ZM71		O14830	P28173		Q4VBV9
B5X3V2		Q8BJ37	Q8N9F7		Q90515	Q6AYA5		Q6UFZ9
P00491		Q61239	P35475		P27216	Q9PVE8		Q7ZUH1
Q92769		Q922B9	Q864U1		Q8R216	Q9Y6W5		O54698
Q99797		P35222	Q6ZR37		Q9Y6N5	P08775		Q9R1E6
Q3KR97		P50894	Q9NRJ4		O43402	Q71R50		Q3T145
O43402		Q5R8M4	Q6SA80		P43090	Q96T23		Q5VYX0
Q1L994		F1QB54	Q9D967		Q5ZLK4	Q0V8K7		Q90744
P13752		Q1LWC2	A0PJR5		P56581	P48427		O14975
Q7ZVA0		Q0VC33	P23220		O54826	Q5PQY6		Q659C4
Q13332		Q9QYR7	Q922D8		Q6VVX2	Q7RTR2		Q2QL89
Q9DCD2		P26325	B4ZIX8		Q7Z6M4	Q6NRB0		Q8BMB3
Q3SX46		Q91Y81	O60711		Q99M87	Q58H57		Q8VIJ5
Q28CQ4		P61222	Q4R3D4		Q9NZB8	Q58CQ5		Q9Y3C5
Q9NR19		Q66I22	P51589		O14683	O75688		Q9NRR5
Q5F488		P36992	Q9ERU2		Q8NC60	Q6PBX5		Q6NWF6
G5E5X0		Q8IUF1	Q9BD50		Q9BU79	Q64337		Q9Y6G5
Q9NZ08		Q501J6	Q91ZS8		A8E657	Q8BHA0		Q6DFC8
A0A0R4IBK5		A1L1P9	Q5E9N4		Q53G44	A0MS83		O75533
P49756		P00548	A0JME6		Q6P5U7	Q3ZC48		Q6PGY5
O93257		P09653	Q86TL2		Q86UT8	Q8NI08		Q803R2
P30044		Q5RAA9	Q9W698		Q15554	Q8CCP0		Q7T381
Q8R5M8		Q4V8H8	Q3T9X0		Q803M0	Q6NTN5		A8WFT6
Q8C0P7		Q13442	Q9P2D1		Q91W90	Q9BZK7		Q9WV92
Q0P5N6		Q01173	P97280		Q9Y255	Q92890		Q641G7
Q86UP3		Q9R0I7	Q9GZU7		A0JNI5	P15291		Q8WTS1
P08045		Q7ZUC7	J3S6Y1		Q7ZWG6	Q3SZ01		Q5PPV3
Q7M456		Q9P1Y6	P0C7T6		Q9BD50	Q5R7X2		E9Q4P1
O09173		Q8K009	P57095		Q0V9V9	O95071		Q99829
P15169		Q9DGK4	Q6TH01		Q9BXJ9	O08550		Q6P0U0
Q9CWG9		P0C1G7	Q3ZBB6		Q6DH44			Q5ZKI0
Q9Y375		Q8WXA3	Q62814		Q6U736			Q96GM5
I0J1J1		Q9D0B5	Q49AM3		O95359			P27117
P00504		Q0Z8U2	Q5TEJ8		O75832			Q6NUW5
Q3B7N2		Q3B8Q1	Q9NRZ7		Q7Z410			P53621
Q76LX8		Q68FN7	Q9Z1M4		A1L4K1			F1QB54
Q96N46		Q5U3G1	G5E5X0		Q2HJ56			X1WE18
Q3THS6		P31836	Q5Q0U5		Q91WI7			Q99KQ4
Q86WA9		Q9H840	Q5W041		Q60GI5			Q5SPD7
P02640		P14685	Q96PX9		Q99447			P46063
Q9NPB8		P07357	Q28FF3		Q9C0A6			Q5ZHN3
Q6NRZ1		Q58H57	Q01082		Q96LT4			Q96DR7
P42026		Q92820	Q8BZZ3		Q9WVL0			A5WUN7
Q9NZ63		Q9Z104	Q9H936		Q6NYE7			P84173
P54996		O35286	Q64620		Q86XT2			E2RG47
Q5ZK10		Q8R1P4	Q8JZM7		O95905			O14562
Q9NRJ4		Q5R819	Q3UP38		Q5VUE5			Q6ZPE2
Q3ULD5		Q6GM07	P98095		P56542			Q8WWW0
Q17RY0		Q503V1	Q7ZVR1		P28024			P54758
Q5EBL4		Q8R3T5	Q9UJ83		Q8K4L0			P26990
Q5MNZ9		Q6AYA5	Q7SX95		Q803G5			A0AUS0
Q502P0		Q9CQN1	Q29437		O75886			P14854
Q8WWI1		P34022	Q9DCD2		Q7ZTY7			Q7SZ56
A4IHD2		P24724	Q9ULT8		Q4SK88			O43615
P11181		P82264	Q5PYH7		P09653			P08047
Q3U1J4		Q1MTD3	Q9EPL8		Q5RGE6			Q6NU40
Q8IWZ3		B1H283	Q0P570		Q2HJE5			O94913
Q5RAY0		G3HKI1	Q7ZVE3		Q92038			Q9WU79
P08108		Q9HCM9	Q61214		Q15311			Q91Y74
Q9D5V6		Q12907	A4IHK6		Q2HJA5			Q9BXB4
O14975		Q66L44	Q6ZPE2		Q3TIX9			Q8K2Y3
O00268		P29558	P08132		Q96HP0			Q2TA14
Q9HCM4		Q6RY07	O88797		Q9ERU2			Q3ZBG7
Q9CY18		Q3SWT4	P17427		Q5R7K4			Q4R543
Q99541		Q01460	Q92545		Q6NWF6			P55036
Q3B7H1		Q13017	P55265		Q9UI26			Q62141
Q04519		Q32LU7	O88664		Q969V4			Q9H2F5
Q9Y4D1		Q91487	P0C6F1		Q8MJJ7			Q6EV56
Q99M87		Q14542	Q9NYL9		P27824			G3V909
O75581		B8A4F0	Q7Z3B3		Q6P848			Q8NFU3
P55211		P98095	P02750		P0DP35			Q8HZM5
Q99LG2		Q96S52	Q8BIG7		Q5R8Y3			Q3TNA1
P27465		Q502I9	Q70CQ2		Q66HX0			Q5ZII6
Q9Y5X2		F1Q8W0	Q91ZE0		P11171			Q6DHQ1
Q61990		Q13438	P28173		Q96PZ2			Q96JJ7
Q5RJA1		O73770	Q6AYA5		Q96PD7			Q2EMV9
