Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GM135_R1	GM135_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	8119182.0	0.0	150.0	45.0	84.50692511042554	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM135_R2	GM135_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	8119182.0	0.0	150.0	45.0	84.59953473096752	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM136_R1	GM136_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	9540671.0	0.0	150.0	45.0	87.34068139956334	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	warn	pass
GM136_R2	GM136_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	9540671.0	0.0	150.0	46.0	87.85316552494922	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM137_R1	GM137_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	10443959.0	0.0	150.0	45.0	85.26871596053148	150.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
GM137_R2	GM137_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	10443959.0	0.0	150.0	46.0	86.08934712766201	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM138_R1	GM138_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	8587357.0	0.0	150.0	45.0	86.73362257216199	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	pass
GM138_R2	GM138_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	8587357.0	0.0	150.0	46.0	87.15315191037864	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM139_R1	GM139_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	10011408.0	0.0	150.0	45.0	85.56977908259788	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	pass
GM139_R2	GM139_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	10011408.0	0.0	150.0	46.0	86.42998663244519	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
GM13_R1	GM13_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	6810306.0	0.0	150.0	45.0	85.31613519597677	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
GM13_R2	GM13_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	6810306.0	0.0	150.0	45.0	85.74520865822598	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM140_R1	GM140_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	9633031.0	0.0	150.0	45.0	85.35986390212985	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	pass
GM140_R2	GM140_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	9633031.0	0.0	150.0	46.0	86.20869548387789	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
GM141_R1	GM141_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	8327929.0	0.0	150.0	45.0	87.01558023541492	150.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
GM141_R2	GM141_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	8327929.0	0.0	150.0	46.0	87.51952228235423	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
GM142_R1	GM142_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	7738045.0	0.0	150.0	45.0	86.83020073975885	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	pass
GM142_R2	GM142_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	7738045.0	0.0	150.0	46.0	87.74741422823725	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
GM143_R1	GM143_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	7563233.0	0.0	150.0	45.0	86.12044140694456	150.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
GM143_R2	GM143_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	7563233.0	0.0	150.0	46.0	86.85439091981067	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM144_R1	GM144_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	7670443.0	0.0	150.0	45.0	87.39233821967464	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	pass
