Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ABLG10487_trimmed_clipped_R2_paired	1.0673495080543247	0.9508073309920329
ABLG10488_trimmed_clipped_R1_paired	1.1617479683219207	1.223278625313316
ABLG10488_trimmed_clipped_R2_paired	1.1632479818922776	0.9869637783846843
ABLG10489_trimmed_clipped_R1_paired	1.4780474821163168	1.54694462574769
ABLG10489_trimmed_clipped_R2_paired	1.48452969403272	1.7783441163868248
ABLG10490_trimmed_clipped_R1_paired	1.5258662341108744	3.4567594774162496
ABLG10490_trimmed_clipped_R2_paired	1.5411413310447237	3.038736032612684
ABLG10491_trimmed_clipped_R1_paired	1.5848464709703063	2.2686860064539935
ABLG10491_trimmed_clipped_R2_paired	1.4568445180488698	2.7640178980811196
ABLG10492_trimmed_clipped_R1_paired	1.7170514035112283	3.4139831364665056
ABLG10492_trimmed_clipped_R2_paired	1.6503661036788748	3.1736619684470324
ABLG10493_trimmed_clipped_R1_paired	1.532520230762232	3.00878927962016
ABLG10493_trimmed_clipped_R2_paired	1.4731605675321138	2.698051468922909
ABLG10494_trimmed_clipped_R1_paired	1.68674785009418	2.523909255580778
ABLG10494_trimmed_clipped_R2_paired	1.4974557401349688	2.746681750187107
ABLG10495_trimmed_clipped_R1_paired	1.8498344831825098	4.074461238974909
ABLG10495_trimmed_clipped_R2_paired	1.674524721107488	4.439345895517767
ABLG10496_trimmed_clipped_R1_paired	1.2553924102203065	1.4179185486403558
ABLG10496_trimmed_clipped_R2_paired	1.2122508948821185	1.1737663849532043
ABLG10497_trimmed_clipped_R1_paired	1.2536652543987195	1.352205977110194
ABLG10497_trimmed_clipped_R2_paired	1.2242305823095798	1.2196091565848362
ABLG10498_trimmed_clipped_R1_paired	1.2720910090521642	1.3563540608093467
ABLG10498_trimmed_clipped_R2_paired	1.2999374010499327	0.9506053916484172
ABLG10499_trimmed_clipped_R1_paired	1.3333030105728167	1.3403291872573653
ABLG10499_trimmed_clipped_R2_paired	1.3275753780307669	0.9909014872471735
ABLG10500_trimmed_clipped_R1_paired	1.6161979745768658	2.74062314454489
ABLG10500_trimmed_clipped_R2_paired	1.4802404627552597	3.011617632319751
ABLG10502_trimmed_clipped_R1_paired	1.5167239883519945	3.306637819361094
ABLG10502_trimmed_clipped_R2_paired	1.4046294259284047	3.063325405527917
ABLG10718_trimmed_clipped_R1_paired	1.2116082001415196	1.1573249024378442
ABLG10718_trimmed_clipped_R2_paired	1.1683980291166618	0.9595571948223389
ABLG10719_trimmed_clipped_R1_paired	1.20301841393234	1.1599730159541952
ABLG10719_trimmed_clipped_R2_paired	1.1424991415274235	0.953673227588995
ABLG10720_trimmed_clipped_R1_paired	1.1434243631023284	1.0459881631728278
ABLG10720_trimmed_clipped_R2_paired	1.0929309947004213	0.8609483834310929
ABLG10721_trimmed_clipped_R1_paired	0.965845265167151	0.881298502112368
ABLG10721_trimmed_clipped_R2_paired	0.9498324974513191	0.6647141642362476
ABLG10723_trimmed_clipped_R1_paired	1.1814545661852254	1.0794953260253397
ABLG10723_trimmed_clipped_R2_paired	1.1276199422495534	0.857793731935411
ABLG10724_trimmed_clipped_R1_paired	1.1444595786049745	1.1035212833995605
ABLG10724_trimmed_clipped_R2_paired	1.097813096031971	0.9011329863352533
ABLG10725_trimmed_clipped_R1_paired	1.090125086827658	1.0783097312006595
ABLG10725_trimmed_clipped_R2_paired	1.0304335996102099	0.8827934192480944
ABLG10728_trimmed_clipped_R1_paired	0.9278454173861724	0.9759577457232053
ABLG10728_trimmed_clipped_R2_paired	0.8767285524373111	0.7853604351014131
ABLG10729_trimmed_clipped_R1_paired	1.2040548056294849	1.1122225213221448
ABLG10729_trimmed_clipped_R2_paired	1.1108367442181724	0.9327916654345616
ABLG10730_trimmed_clipped_R1_paired	1.0298206266213066	0.9668271361438032
ABLG10730_trimmed_clipped_R2_paired	0.9283929107734675	0.8061360276348394
ABLG10731_trimmed_clipped_R1_paired	1.2393411338547349	1.142896389385819
ABLG10731_trimmed_clipped_R2_paired	1.1495706990954986	0.9508080760568927
ABLG10732_trimmed_clipped_R1_paired	1.0526811333775012	0.9662207392421109
ABLG10732_trimmed_clipped_R2_paired	1.0102317207455573	0.7041871861791968
ABLG10733_trimmed_clipped_R1_paired	0.9586988880987629	0.9191888529200237
ABLG10733_trimmed_clipped_R2_paired	0.8962703401800567	0.7885095798373627
ABLG10734_trimmed_clipped_R1_paired	1.2117576274440882	1.1163594673212969
ABLG10734_trimmed_clipped_R2_paired	1.1637874520886988	0.9085854619973139
ABLG10735_trimmed_clipped_R1_paired	0.8997749498186411	0.8234562132047336
ABLG10735_trimmed_clipped_R2_paired	0.8447264820524162	0.7192707710160838
ABLG10737_trimmed_clipped_R1_paired	1.1541615019959197	1.077848580213431
ABLG10737_trimmed_clipped_R2_paired	1.0429933976689065	0.8884198750793266
ABLG10738_trimmed_clipped_R1_paired	1.0399339602746693	1.0677324443832965
ABLG10738_trimmed_clipped_R2_paired	1.0591214390190187	0.8181582823613907
ABLG10739_trimmed_clipped_R1_paired	0.9899788068353772	0.9923316598577892
ABLG10739_trimmed_clipped_R2_paired	0.943451668239033	0.7861178704115326
ABLG10740_trimmed_clipped_R1_paired	1.2928067298289518	1.2357041834145404
ABLG10740_trimmed_clipped_R2_paired	1.2049217751345982	0.9789785355736351
ABLG10742_trimmed_clipped_R1_paired	1.1368868457961014	1.0883758697198533
ABLG10742_trimmed_clipped_R2_paired	1.1150543773138193	0.8581839534189413
ABLG10743_trimmed_clipped_R1_paired	1.0772366855765916	1.0593613113584666
ABLG10743_trimmed_clipped_R2_paired	1.0725639272736323	0.8779946954515951
ABLG10744_trimmed_clipped_R1_paired	1.1170384538267801	1.091031619105988
ABLG10744_trimmed_clipped_R2_paired	1.06284380247415	0.8611579584396485
ABLG10746_trimmed_clipped_R1_paired	1.111590547487996	1.1399233566848013
ABLG10746_trimmed_clipped_R2_paired	1.0722067161759	0.8837628718037278
ABLG10747_trimmed_clipped_R1_paired	1.1292975445389093	1.0957339685527385
ABLG10747_trimmed_clipped_R2_paired	1.0624678468939184	0.9018522627253154
ABLG10749_trimmed_clipped_R1_paired	1.0636059060534118	1.0362483675790917
ABLG10749_trimmed_clipped_R2_paired	1.0332811725168007	0.8173880597845298
ABLG10752_trimmed_clipped_R1_paired	1.184466433563637	1.1197476835219797
ABLG10752_trimmed_clipped_R2_paired	1.102320841139694	0.9044782421848123
ABLG10753_trimmed_clipped_R1_paired	1.0775388161536912	1.005135519309188
ABLG10753_trimmed_clipped_R2_paired	1.020982911438442	0.9179539004393877
ABLG10755_trimmed_clipped_R1_paired	1.387190874333724	1.1944888958276412
ABLG10755_trimmed_clipped_R2_paired	1.3784208945447263	0.9625188576626165
ABLG10757_trimmed_clipped_R1_paired	1.2922946066634489	1.2316613393728084
ABLG10757_trimmed_clipped_R2_paired	1.2520749443925028	1.012242087534132
ABLG10758_trimmed_clipped_R1_paired	1.4743637718927565	1.3737355466772867
ABLG10758_trimmed_clipped_R2_paired	1.4616421433067848	1.5899030623349788
ABLG10759_trimmed_clipped_R1_paired	1.0352607491939814	1.0198965149188342
ABLG10759_trimmed_clipped_R2_paired	1.0479238881890311	0.8120020276746023
ABLG10761_trimmed_clipped_R1_paired	1.0608150813869286	0.9970577284280222
ABLG10761_trimmed_clipped_R2_paired	0.9910119246422316	0.7985754016122183
ABLG10763_trimmed_clipped_R1_paired	1.15721902152747	1.0811723048135762
ABLG10763_trimmed_clipped_R2_paired	1.1054707259533818	0.9044402365380568
ABLG10764_trimmed_clipped_R1_paired	1.0921378930810104	1.0516199101957813
ABLG10764_trimmed_clipped_R2_paired	1.064677426945023	0.8423462336349357
ABLG10818_trimmed_clipped_R1_paired	1.3380883658062608	1.1232129811078986
ABLG10818_trimmed_clipped_R2_paired	1.2381934581256957	1.2767817887922226
ABLG10820_trimmed_clipped_R1_paired	1.0907696600267378	1.11255469796226
ABLG10820_trimmed_clipped_R2_paired	1.0484777005772634	0.9033201926988741
ABLG10821_trimmed_clipped_R1_paired	1.0690822074304187	1.0201228404191742
ABLG10821_trimmed_clipped_R2_paired	1.0212145950851537	0.847445410676767
ABLG10823_trimmed_clipped_R1_paired	1.1121676459051066	1.0132788308197318
ABLG10823_trimmed_clipped_R2_paired	1.0313705584838184	0.8823742882450301
ABLG10824_trimmed_clipped_R1_paired	1.2343787751936377	1.1639983094457258
ABLG10824_trimmed_clipped_R2_paired	1.1259200289139613	0.9369831140248306
ABLG10825_trimmed_clipped_R1_paired	1.0261460715568596	1.090851598048485
ABLG10825_trimmed_clipped_R2_paired	1.0466786482775643	0.8450490466080438
ABLG10827_trimmed_clipped_R1_paired	1.0614933364192325	1.1543435118890861
ABLG10827_trimmed_clipped_R2_paired	1.0648108080102108	1.0271282336444503
ABLG10828_trimmed_clipped_R1_paired	1.2216397389655786	1.4152598810838564
ABLG10828_trimmed_clipped_R2_paired	1.235490204960862	1.1126193886737554
ABLG10832_trimmed_clipped_R1_paired	1.1418183175342091	1.1849608956329598
ABLG10832_trimmed_clipped_R2_paired	1.1336481072039888	0.8863856352812305
ABLG10833_trimmed_clipped_R1_paired	1.278238086502081	1.2093688654972903
ABLG10833_trimmed_clipped_R2_paired	1.2742511776003174	1.2393827836110554
ABLG10834_trimmed_clipped_R1_paired	1.144018959928785	1.1778957019804086
ABLG10834_trimmed_clipped_R2_paired	1.099164496437879	0.9027622432663074
ABLG10836_trimmed_clipped_R1_paired	1.1559088161967426	1.169846911451254
ABLG10836_trimmed_clipped_R2_paired	1.147202576289948	0.9251596611515207
ABLG10837_trimmed_clipped_R1_paired	1.165267495427773	1.0964799125438196
ABLG10837_trimmed_clipped_R2_paired	1.1282829466181745	0.8909933699327843
ABLG10839_trimmed_clipped_R1_paired	1.084679208813415	1.0510708015449133
ABLG10839_trimmed_clipped_R2_paired	1.0818275485605917	0.8391119493175734
ABLG10843_trimmed_clipped_R1_paired	1.2300135409255932	1.1755398255389462
ABLG10843_trimmed_clipped_R2_paired	1.2071931384770316	1.1883217113308897
ABLG10844_trimmed_clipped_R1_paired	0.9210263122738294	0.9564507521807657
ABLG10844_trimmed_clipped_R2_paired	0.9315386653837703	0.7921039817727478
ABLG10846_trimmed_clipped_R1_paired	1.0992391571046334	1.0602144680826242
ABLG10846_trimmed_clipped_R2_paired	1.0987943689823723	0.8962918160079247
ABLG10847_trimmed_clipped_R1_paired	1.1826577675262577	1.1304982968768245
ABLG10847_trimmed_clipped_R2_paired	1.1628345470938615	0.9240786790273754
ABLG10849_trimmed_clipped_R1_paired	1.4470214433631976	1.3848276685679712
ABLG10849_trimmed_clipped_R2_paired	1.4250971485467194	1.2213217094403244
ABLG10850_trimmed_clipped_R1_paired	1.1724866267385794	1.1266327660608475
ABLG10850_trimmed_clipped_R2_paired	1.1727849325236577	0.9600162005610364
ABLG10851_trimmed_clipped_R1_paired	1.3693785732529127	2.7171457199552043
ABLG10851_trimmed_clipped_R2_paired	1.2544450775064342	2.330104717185013
ABLG10852_trimmed_clipped_R1_paired	1.263434535317766	1.1762626441969106
ABLG10852_trimmed_clipped_R2_paired	1.224559626538758	0.9584657463792099
ABLG10853_trimmed_clipped_R1_paired	1.185264006806249	1.098638380920275
ABLG10853_trimmed_clipped_R2_paired	1.1520012436387053	0.9278490835990045
ABLG10854_trimmed_clipped_R1_paired	1.121298353135695	1.0381023234869156
ABLG10854_trimmed_clipped_R2_paired	1.079912270320804	0.9020589279495594
ABLG10855_trimmed_clipped_R1_paired	1.1845961622382368	1.2791981169453714
ABLG10855_trimmed_clipped_R2_paired	1.2093452947630055	1.2357685512466086
ABLG10856_trimmed_clipped_R1_paired	1.3641417523081742	1.382631717969667
ABLG10856_trimmed_clipped_R2_paired	1.351991203444908	1.030253515243472
ABLG10857_trimmed_clipped_R1_paired	1.2221631793569412	1.1632087979339183
ABLG10857_trimmed_clipped_R2_paired	1.248008509894828	0.984994263832802
ABLG10858_trimmed_clipped_R1_paired	1.1919694072657745	1.2754493307839392
ABLG10858_trimmed_clipped_R2_paired	1.2913193116634798	0.9392096876991716
ABLG10859_trimmed_clipped_R1_paired	1.0214637219445255	1.2032476043555247
ABLG10859_trimmed_clipped_R2_paired	1.108411429701158	1.2244253557365794
ABLG10860_trimmed_clipped_R1_paired	1.0522756375826339	1.116526250995357
ABLG10860_trimmed_clipped_R2_paired	1.1070202720329836	0.9407189248268888
ABLG10861_trimmed_clipped_R1_paired	1.2096192695003567	1.150602863513396
ABLG10861_trimmed_clipped_R2_paired	1.240955870061193	1.2269908858244083
ABLG10862_trimmed_clipped_R1_paired	1.1217862505218579	1.174270590053325
ABLG10862_trimmed_clipped_R2_paired	1.1741050616114597	0.9133031779923788
ABLG10863_trimmed_clipped_R1_paired	1.1436360864328388	1.1012104963290124
ABLG10863_trimmed_clipped_R2_paired	1.1717482666835926	1.217915714494327
ABLG10864_trimmed_clipped_R1_paired	1.2620595138807467	1.203508698188243
ABLG10864_trimmed_clipped_R2_paired	1.2781351786426682	0.9751310203548884
ABLG10865_trimmed_clipped_R1_paired	1.0765577200089338	1.1255733245049628
ABLG10865_trimmed_clipped_R2_paired	1.089861746430818	0.9229101189341908
ABLG10866_trimmed_clipped_R1_paired	1.2321582619201492	1.1313284728447823
ABLG10866_trimmed_clipped_R2_paired	1.2446788632016013	0.9675346888578331
ABLG10867_trimmed_clipped_R1_paired	1.018437729054743	1.0426360677139577
ABLG10867_trimmed_clipped_R2_paired	1.0351838527875223	0.8821998482786002
ABLG10868_trimmed_clipped_R1_paired	1.11309961791814	1.1799184649480197
ABLG10868_trimmed_clipped_R2_paired	1.1636340369636442	1.1712618738007015
ABLG10915_trimmed_clipped_R1_paired	1.4538095555399886	1.4127613176669451
ABLG10915_trimmed_clipped_R2_paired	1.4210478505986521	1.3793517824019101
ABLG10916_trimmed_clipped_R1_paired	2.024508645687896	4.427043282139406
ABLG10916_trimmed_clipped_R2_paired	2.300569219203093	4.102953495865105
ABLG10917_trimmed_clipped_R1_paired	1.5707656975741235	1.3728256223356108
ABLG10917_trimmed_clipped_R2_paired	1.491614344439945	1.3438224813440247
ABLG10918_trimmed_clipped_R1_paired	1.5515106279139188	1.783020168560691
ABLG10918_trimmed_clipped_R2_paired	1.623505344383298	1.6253909202908292
ABLG10920_trimmed_clipped_R1_paired	1.5946009073746308	1.4038440872335314
ABLG10920_trimmed_clipped_R2_paired	1.7023359659153123	1.3454508718979983
ABLG10921_trimmed_clipped_R1_paired	1.536948609817635	1.5825900211712882
ABLG10921_trimmed_clipped_R2_paired	1.5347290071105704	1.487838238544557
ABLG10922_trimmed_clipped_R1_paired	1.494369827599042	1.229749192131926
ABLG10922_trimmed_clipped_R2_paired	1.4634641634741559	1.1317750902649533
ABLG10923_trimmed_clipped_R1_paired	1.4304395687529625	1.2653116534061966
ABLG10923_trimmed_clipped_R2_paired	1.4123994865167904	1.3414742915764213
ABLG10928_trimmed_clipped_R1_paired	1.5180493957258965	1.3108509346576334
ABLG10928_trimmed_clipped_R2_paired	1.5936960222597458	1.3383367975892646
ABLG10930_trimmed_clipped_R1_paired	1.1937990020673777	1.2312461964036299
ABLG10930_trimmed_clipped_R2_paired	1.2155944393958995	1.1347611597466303
ABLG1927_trimmed_clipped_R1_paired	1.2651720912782602	1.8443470254246468
ABLG1927_trimmed_clipped_R2_paired	1.1661274640612327	1.9008873394611758
ABLG1928_trimmed_clipped_R1_paired	1.5899621780632767	1.8251185687698868
ABLG1928_trimmed_clipped_R2_paired	1.2634928258389866	2.2611664765564026
